path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,0.0,29341.802,38978.475,16.791,16.791,16.721,,,ANG MO KIO AVENUE 6,0.293
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,2.0,29341.142,38976.587,16.529,16.529,16.756,,,ANG MO KIO AVENUE 6,0.612
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,4.0,29340.481,38974.7,16.483,16.721,16.791,4.787,1.0,ANG MO KIO AVENUE 6,0.931
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,6.0,29339.82,38972.812,16.498,16.912,16.912,,,ANG MO KIO AVENUE 6,1.25
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,8.0,29339.16,38970.924,17.104,17.104,17.104,,,ANG MO KIO AVENUE 6,1.569
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,10.0,29338.499,38969.036,17.067,17.259,17.259,,,ANG MO KIO AVENUE 6,1.888
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,12.0,29337.827,38967.153,17.169,17.498,17.498,,,ANG MO KIO AVENUE 6,2.218
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,14.0,29337.131,38965.278,17.367,17.737,17.737,,,ANG MO KIO AVENUE 6,2.575
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,16.0,29336.435,38963.403,17.153,18.044,18.044,,,ANG MO KIO AVENUE 6,2.914
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,18.0,29335.738,38961.528,16.957,18.351,18.351,,,ANG MO KIO AVENUE 6,3.132
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,20.0,29335.042,38959.653,15.407,18.658,18.351,,,ANG MO KIO AVENUE 6,3.35
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,22.0,29334.21,38957.835,21.48,18.469,18.351,,,ANG MO KIO AVENUE 6,3.713
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,24.0,29333.354,38956.028,23.93,18.28,18.28,,,ANG MO KIO AVENUE 6,4.103
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,26.0,29332.497,38954.221,23.573,18.091,18.091,,,ANG MO KIO AVENUE 6,4.492
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,28.0,29331.64,38952.414,23.781,17.902,17.902,,,ANG MO KIO AVENUE 6,4.882
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,30.0,29330.784,38950.606,29.04,17.712,17.712,,,ANG MO KIO AVENUE 6,5.272
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,32.0,29329.927,38948.799,33.852,17.523,17.523,,,ANG MO KIO AVENUE 6,5.658
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,34.0,29329.055,38946.999,20.252,17.334,17.334,,,ANG MO KIO AVENUE 6,5.996
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,36.0,29328.169,38945.207,18.754,17.145,17.145,,,ANG MO KIO AVENUE 6,6.35
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,38.0,29327.282,38943.414,17.504,16.956,16.956,,,ANG MO KIO AVENUE 6,6.703
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,40.0,29326.396,38941.621,18.123,16.767,16.767,,,ANG MO KIO AVENUE 6,7.057
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,42.0,29325.51,38939.828,17.438,16.577,16.577,,,ANG MO KIO AVENUE 6,7.411
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,44.0,29324.674,38938.011,16.484,16.388,16.388,,,ANG MO KIO AVENUE 6,7.709
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,46.0,29323.88,38936.176,16.199,16.199,16.199,,,ANG MO KIO AVENUE 6,7.962
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,48.0,29323.086,38934.34,16.269,16.033,16.033,,,ANG MO KIO AVENUE 6,8.204
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,50.0,29322.291,38932.505,15.866,15.866,15.981,-2.729,1.0,ANG MO KIO AVENUE 6,8.411
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,52.0,29321.497,38930.669,15.886,15.886,15.981,-0.958,1.0,ANG MO KIO AVENUE 6,8.619
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,54.0,29320.76,38928.811,15.981,15.981,15.981,0.812,1.0,ANG MO KIO AVENUE 6,8.765
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,56.0,29320.097,38926.924,16.046,16.046,16.046,0.812,1.0,ANG MO KIO AVENUE 6,8.831
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,58.0,29319.434,38925.038,16.141,16.141,16.046,,,ANG MO KIO AVENUE 6,8.898
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,60.0,29318.771,38923.151,16.156,16.156,16.046,,,ANG MO KIO AVENUE 6,8.965
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,62.0,29318.108,38921.264,16.077,15.939,15.939,,,ANG MO KIO AVENUE 6,9.031
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,64.0,29317.48,38919.365,16.019,15.723,15.723,,,ANG MO KIO AVENUE 6,9.012
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,66.0,29316.889,38917.455,15.705,15.513,15.513,,,ANG MO KIO AVENUE 6,8.909
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,68.0,29316.298,38915.544,,15.304,15.304,,,ANG MO KIO AVENUE 6,8.806
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,70.0,29315.707,38913.633,14.66,15.095,15.18,,,ANG MO KIO AVENUE 6,8.703
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,72.0,29315.116,38911.722,14.885,14.885,15.18,,,ANG MO KIO AVENUE 6,8.6
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,74.0,29314.51,38909.817,14.885,15.18,15.18,,,ANG MO KIO AVENUE 6,8.514
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,76.0,29313.888,38907.916,11.371,15.57,15.57,,,ANG MO KIO AVENUE 6,8.444
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,78.0,29313.265,38906.015,11.371,15.961,15.961,,,ANG MO KIO AVENUE 6,8.374
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,80.0,29312.642,38904.115,11.346,16.351,16.351,,,ANG MO KIO AVENUE 6,8.25
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,82.0,29312.02,38902.214,14.78,16.742,16.742,,,ANG MO KIO AVENUE 6,8.111
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,84.0,29311.342,38900.333,19.004,16.883,16.883,,,ANG MO KIO AVENUE 6,8.031
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,86.0,29310.62,38898.468,20.417,17.024,16.883,,,ANG MO KIO AVENUE 6,7.998
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,88.0,29309.898,38896.603,21.12,16.884,16.883,,,ANG MO KIO AVENUE 6,7.965
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,90.0,29309.175,38894.738,21.09,16.744,16.744,,,ANG MO KIO AVENUE 6,7.932
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,92.0,29308.453,38892.873,22.613,16.604,16.604,,,ANG MO KIO AVENUE 6,7.899
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,94.0,29307.649,38891.042,22.6,16.464,16.464,,,ANG MO KIO AVENUE 6,7.954
ang_mo_kio_avenue_6,Ang Mo Kio Avenue 6,96.0,29306.835,38889.215,17.095,16.324,16.324,,,ANG MO KIO AVENUE 6,7.981
