path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
ang_mo_kio_avenue_9,1,Ang Mo Kio Avenue 9_Cam4_20250715_092724_468_D.jpg,,12.252,6.126,6.0,22.13,,
ang_mo_kio_avenue_9,2,Ang Mo Kio Avenue 9_Cam4_20250715_092727_554_D.jpg,,20.32,16.286,16.0,21.555,,
ang_mo_kio_avenue_9,3,Ang Mo Kio Avenue 9_Cam4_20250715_092729_484_D.jpg,,223.995,122.158,122.0,20.779,,
ang_mo_kio_avenue_9,4,Ang Mo Kio Avenue 9_Cam4_20250716_085720_548_B.jpg,,232.548,228.271,,,,
ang_mo_kio_avenue_9,5,Ang Mo Kio Avenue 9_Cam4_20250716_085722_951_B.jpg,,243.898,238.223,,,,
ang_mo_kio_avenue_9,6,Ang Mo Kio Avenue 9_Cam4_20250716_085726_554_B.jpg,,253.373,248.635,,,,
ang_mo_kio_avenue_9,7,Ang Mo Kio Avenue 9_Cam4_20250716_085729_561_B.jpg,,288.62,270.996,,,,
ang_mo_kio_avenue_9,8,Ang Mo Kio Avenue 9_Cam4_20250716_085740_371_B.jpg,,411.36,349.99,,,,
ang_mo_kio_avenue_9,9,Ang Mo Kio Avenue 9_Cam4_20250716_090236_565_B.jpg,,419.635,415.498,,,,
ang_mo_kio_avenue_9,10,Ang Mo Kio Avenue 9_Cam4_20250716_090238_968_B.jpg,,430.235,424.935,,,,
ang_mo_kio_avenue_9,11,Ang Mo Kio Avenue 9_Cam4_20250716_090241_971_B.jpg,,439.601,434.918,,,,
ang_mo_kio_avenue_9,12,Ang Mo Kio Avenue 9_Cam4_20250716_090244_374_B.jpg,,450.998,445.3,,,,
ang_mo_kio_avenue_9,13,Ang Mo Kio Avenue 9_Cam4_20250716_090247_376_B.jpg,,461.013,456.005,,,,
ang_mo_kio_avenue_9,14,Ang Mo Kio Avenue 9_Cam4_20250716_090250_380_B.jpg,,470.222,465.618,,,,
ang_mo_kio_avenue_9,15,Ang Mo Kio Avenue 9_Cam4_20250716_090253_381_B.jpg,,480.235,475.229,,,,
ang_mo_kio_avenue_9,16,Ang Mo Kio Avenue 9_Cam4_20250716_090256_383_B.jpg,,490.688,485.462,,,,
ang_mo_kio_avenue_9,17,Ang Mo Kio Avenue 9_Cam4_20250716_090259_988_B.jpg,,500.38,495.534,496.0,23.993,,
ang_mo_kio_avenue_9,18,Ang Mo Kio Avenue 9_Cam4_20250716_090305_994_B.jpg,,510.099,505.24,506.0,25.236,,
ang_mo_kio_avenue_9,19,Ang Mo Kio Avenue 9_Cam4_20250716_090310_206_B.jpg,,519.318,514.709,514.0,,,
ang_mo_kio_avenue_9,20,Ang Mo Kio Avenue 9_Cam4_20250716_090313_209_B.jpg,,529.22,524.269,524.0,29.142,,
ang_mo_kio_avenue_9,21,Ang Mo Kio Avenue 9_Cam4_20250716_090316_212_B.jpg,,538.985,534.102,,,,
ang_mo_kio_avenue_9,22,Ang Mo Kio Avenue 9_Cam4_20250716_090319_818_B.jpg,,548.739,543.862,,,,
ang_mo_kio_avenue_9,23,Ang Mo Kio Avenue 9_Cam4_20250716_090336_632_B.jpg,,558.652,553.695,,,,
