path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
ang_mo_kio_street_22,Ang Mo Kio Street 22,0.0,28452.133,38789.77,14.216,14.216,14.163,-0.486,1.0,ANG MO KIO STREET 22,10.545
ang_mo_kio_street_22,Ang Mo Kio Street 22,2.0,28451.207,38787.997,14.163,14.163,14.13,-1.111,1.0,ANG MO KIO STREET 22,10.254
ang_mo_kio_street_22,Ang Mo Kio Street 22,4.0,28450.281,38786.224,14.093,14.093,14.143,-0.868,1.0,ANG MO KIO STREET 22,9.962
ang_mo_kio_street_22,Ang Mo Kio Street 22,6.0,28449.355,38784.452,14.096,14.096,14.096,-3.785,1.0,ANG MO KIO STREET 22,9.671
ang_mo_kio_street_22,Ang Mo Kio Street 22,8.0,28448.429,38782.679,14.143,14.143,14.093,-6.701,1.0,ANG MO KIO STREET 22,9.38
ang_mo_kio_street_22,Ang Mo Kio Street 22,10.0,28447.503,38780.906,14.013,13.875,13.875,-8.646,1.0,ANG MO KIO STREET 22,9.088
ang_mo_kio_street_22,Ang Mo Kio Street 22,12.0,28446.72,38779.071,13.607,13.607,13.607,-8.715,1.0,ANG MO KIO STREET 22,8.953
ang_mo_kio_street_22,Ang Mo Kio Street 22,14.0,28446.048,38777.187,13.405,13.405,13.405,-5.677,1.0,ANG MO KIO STREET 22,8.937
ang_mo_kio_street_22,Ang Mo Kio Street 22,16.0,28445.375,38775.304,13.368,13.368,13.396,-2.639,1.0,ANG MO KIO STREET 22,8.921
ang_mo_kio_street_22,Ang Mo Kio Street 22,18.0,28444.702,38773.42,13.396,13.396,13.396,1.771,1.0,ANG MO KIO STREET 22,8.906
ang_mo_kio_street_22,Ang Mo Kio Street 22,20.0,28444.03,38771.537,13.313,13.313,13.396,4.583,1.0,ANG MO KIO STREET 22,8.89
ang_mo_kio_street_22,Ang Mo Kio Street 22,22.0,28443.357,38769.653,13.546,13.546,13.546,4.583,1.0,ANG MO KIO STREET 22,8.874
ang_mo_kio_street_22,Ang Mo Kio Street 22,24.0,28442.684,38767.77,13.763,13.763,13.763,4.583,1.0,ANG MO KIO STREET 22,8.858
ang_mo_kio_street_22,Ang Mo Kio Street 22,26.0,28442.011,38765.886,13.896,13.896,13.763,2.674,1.0,ANG MO KIO STREET 22,8.843
ang_mo_kio_street_22,Ang Mo Kio Street 22,28.0,28441.339,38764.003,14.049,14.049,13.763,-0.764,1.0,ANG MO KIO STREET 22,8.827
ang_mo_kio_street_22,Ang Mo Kio Street 22,30.0,28440.666,38762.119,13.76,13.76,13.76,,,ANG MO KIO STREET 22,8.811
