path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
ang_mo_kio_street_53,1,Ang Mo Kio Street 53_Cam4_20260101_074926_329_B.jpeg,,10.688,5.344,,,,
ang_mo_kio_street_53,2,Ang Mo Kio Street 53_Cam4_20260101_074929_333_B.jpeg,,21.471,16.08,,,,
ang_mo_kio_street_53,3,Ang Mo Kio Street 53_Cam4_20260101_074932_336_B.jpeg,,33.507,27.489,,,,
ang_mo_kio_street_53,4,Ang Mo Kio Street 53_Cam4_20260101_074935_940_B.jpeg,,40.973,37.24,,,,
ang_mo_kio_street_53,5,Ang Mo Kio Street 53_Cam4_20260101_074938_342_B.jpeg,,51.586,46.28,,,,
ang_mo_kio_street_53,6,Ang Mo Kio Street 53_Cam4_20260101_074941_945_B.jpeg,,77.582,64.584,,,,
ang_mo_kio_street_53,7,Ang Mo Kio Street 53_Cam4_20260101_074952_160_B.jpeg,,87.717,82.649,,,,
ang_mo_kio_street_53,8,Ang Mo Kio Street 53_Cam4_20260101_074956_964_B.jpeg,,100.289,94.003,,,,
ang_mo_kio_street_53,9,Ang Mo Kio Street 53_Cam4_20260101_075001_169_B.jpeg,,122.671,111.48,,,,
ang_mo_kio_street_53,10,Ang Mo Kio Street 53_Cam4_20260101_075008_976_B.jpeg,,133.261,127.966,,,,
ang_mo_kio_street_53,11,Ang Mo Kio Street 53_Cam4_20260101_075013_180_B.jpeg,,144.7,138.98,,,,
ang_mo_kio_street_53,12,Ang Mo Kio Street 53_Cam4_20260101_075017_387_B.jpeg,,155.029,149.865,,,,
ang_mo_kio_street_53,13,Ang Mo Kio Street 53_Cam4_20260101_075020_989_B.jpeg,,161.574,158.302,,,,
ang_mo_kio_street_53,14,Ang Mo Kio Street 53_Cam4_20260101_075023_391_B.jpeg,,518.046,339.81,340.0,18.702,,
ang_mo_kio_street_53,15,Ang Mo Kio Street 53_Cam4_20260101_101942_688_A.jpeg,,528.179,523.113,524.0,22.871,1.25,1.0
ang_mo_kio_street_53,16,Ang Mo Kio Street 53_Cam4_20260101_101948_096_A.jpeg,,554.517,541.348,542.0,22.675,,
ang_mo_kio_street_53,17,Ang Mo Kio Street 53_Cam4_20260101_102031_390_A.jpeg,,563.078,558.798,558.0,22.404,,
ang_mo_kio_street_53,18,Ang Mo Kio Street 53_Cam4_20260101_102034_392_A.jpeg,,576.149,569.614,570.0,22.572,,
ang_mo_kio_street_53,19,Ang Mo Kio Street 53_Cam4_20260101_102040_401_A.jpeg,,586.972,581.561,582.0,22.444,,
ang_mo_kio_street_53,20,Ang Mo Kio Street 53_Cam4_20260101_102044_609_A.jpeg,,593.086,590.029,590.0,22.219,,
ang_mo_kio_street_53,21,Ang Mo Kio Street 53_Cam4_20260101_102047_011_A.jpeg,,603.277,598.182,598.0,21.925,,
ang_mo_kio_street_53,22,Ang Mo Kio Street 53_Cam4_20260101_102050_028_A.jpeg,,613.781,608.529,608.0,22.4,,
ang_mo_kio_street_53,23,Ang Mo Kio Street 53_Cam4_20260101_102053_031_A.jpeg,,624.432,619.106,620.0,21.339,,
ang_mo_kio_street_53,24,Ang Mo Kio Street 53_Cam4_20260101_102056_638_A.jpeg,,634.029,629.23,630.0,21.887,,
ang_mo_kio_street_53,25,Ang Mo Kio Street 53_Cam4_20260101_102059_040_A.jpeg,,660.805,647.417,648.0,20.623,,
ang_mo_kio_street_53,26,Ang Mo Kio Street 53_Cam4_20260101_102105_051_A.jpeg,,670.24,665.522,666.0,20.256,-1.667,1.0
ang_mo_kio_street_53,27,Ang Mo Kio Street 53_Cam4_20260101_102107_455_A.jpeg,,694.617,682.428,682.0,21.174,,
ang_mo_kio_street_53,28,Ang Mo Kio Street 53_Cam4_20260101_102113_464_A.jpeg,,747.14,720.878,720.0,20.189,2.292,1.0
ang_mo_kio_street_53,29,Ang Mo Kio Street 53_Cam4_20260101_102135_100_A.jpeg,,804.617,775.878,776.0,22.573,,
ang_mo_kio_street_53,30,Ang Mo Kio Street 53_Cam4_20260101_102159_158_A.jpeg,,811.853,808.235,808.0,23.0,,
ang_mo_kio_street_53,31,Ang Mo Kio Street 53_Cam4_20260101_102202_160_A.jpeg,,822.349,817.101,818.0,22.509,,
ang_mo_kio_street_53,32,Ang Mo Kio Street 53_Cam4_20260101_102206_366_A.jpeg,,831.965,827.157,828.0,22.369,,
ang_mo_kio_street_53,33,Ang Mo Kio Street 53_Cam4_20260101_102210_005_A.jpeg,,842.468,837.216,838.0,22.322,1.316,1.0
ang_mo_kio_street_53,34,Ang Mo Kio Street 53_Cam4_20260101_102213_624_A.jpeg,,855.567,849.017,850.0,22.425,,
ang_mo_kio_street_53,35,Ang Mo Kio Street 53_Cam4_20260101_102217_829_A.jpeg,,862.196,858.881,858.0,22.506,,
ang_mo_kio_street_53,36,Ang Mo Kio Street 53_Cam4_20260101_102219_630_A.jpeg,,871.984,867.09,868.0,21.971,,
ang_mo_kio_street_53,37,Ang Mo Kio Street 53_Cam4_20260101_102222_034_A.jpeg,,882.043,877.014,878.0,22.664,,
ang_mo_kio_street_53,38,Ang Mo Kio Street 53_Cam4_20260101_102224_455_A.jpeg,,891.371,886.707,886.0,21.91,,
ang_mo_kio_street_53,39,Ang Mo Kio Street 53_Cam4_20260101_102226_859_A.jpeg,,901.446,896.408,896.0,22.077,,
ang_mo_kio_street_53,40,Ang Mo Kio Street 53_Cam4_20260101_102229_871_A.jpeg,,912.011,906.729,906.0,21.44,,
ang_mo_kio_street_53,41,Ang Mo Kio Street 53_Cam4_20260101_102234_074_A.jpeg,,922.265,917.138,918.0,21.088,,
ang_mo_kio_street_53,42,Ang Mo Kio Street 53_Cam4_20260101_102237_689_A.jpeg,,932.896,927.581,928.0,21.134,,
ang_mo_kio_street_53,43,Ang Mo Kio Street 53_Cam4_20260101_102240_692_A.jpeg,,943.587,938.241,938.0,21.398,,
ang_mo_kio_street_53,44,Ang Mo Kio Street 53_Cam4_20260101_102243_660_A.jpeg,,955.093,949.34,950.0,21.268,-1.25,1.0
ang_mo_kio_street_53,45,Ang Mo Kio Street 53_Cam4_20260101_102246_663_A.jpeg,,977.197,966.145,966.0,20.786,0.521,1.0
ang_mo_kio_street_53,46,Ang Mo Kio Street 53_Cam4_20260101_102252_670_A.jpeg,,987.736,982.467,982.0,20.061,,
ang_mo_kio_street_53,47,Ang Mo Kio Street 53_Cam4_20260101_102255_678_A.jpeg,,999.268,993.502,994.0,19.392,,
ang_mo_kio_street_53,48,Ang Mo Kio Street 53_Cam4_20260101_102259_881_A.jpeg,,1010.58,1004.924,1004.0,20.274,,
ang_mo_kio_street_53,49,Ang Mo Kio Street 53_Cam4_20260101_102304_095_A.jpeg,,1020.73,1015.655,1016.0,19.249,,
ang_mo_kio_street_53,50,Ang Mo Kio Street 53_Cam4_20260101_102307_708_A.jpeg,,1027.041,1023.885,1024.0,18.635,-5.521,1.0
ang_mo_kio_street_53,51,Ang Mo Kio Street 53_Cam4_20260101_102310_111_A.jpeg,,1038.213,1032.627,1032.0,18.06,-2.895,1.0
ang_mo_kio_street_53,52,Ang Mo Kio Street 53_Cam4_20260101_102314_320_A.jpeg,,1047.541,1042.877,1042.0,18.055,,
ang_mo_kio_street_53,53,Ang Mo Kio Street 53_Cam4_20260101_102317_324_A.jpeg,,1057.687,1052.614,1052.0,17.902,,
ang_mo_kio_street_53,54,Ang Mo Kio Street 53_Cam4_20260101_102320_327_A.jpeg,,1068.173,1062.93,1062.0,18.033,,
