path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
casuarina_road,Casuarina Road,0.0,27409.549,39814.489,35.785,,29.88,,,CASUARINA ROAD,1.213
casuarina_road,Casuarina Road,2.0,27409.453,39812.492,35.458,29.88,29.88,,,CASUARINA ROAD,1.017
casuarina_road,Casuarina Road,4.0,27409.357,39810.494,36.208,29.88,29.88,,,CASUARINA ROAD,0.822
casuarina_road,Casuarina Road,6.0,27409.262,39808.496,36.208,29.88,29.88,,,CASUARINA ROAD,0.627
casuarina_road,Casuarina Road,8.0,27409.166,39806.499,34.213,29.88,29.88,,,CASUARINA ROAD,0.431
casuarina_road,Casuarina Road,10.0,27409.07,39804.501,29.88,29.88,29.88,,,CASUARINA ROAD,0.236
casuarina_road,Casuarina Road,12.0,27408.969,39802.503,29.88,29.88,29.88,,,CASUARINA ROAD,0.035
casuarina_road,Casuarina Road,14.0,27408.86,39800.506,29.88,29.88,29.88,,,CASUARINA ROAD,0.174
casuarina_road,Casuarina Road,16.0,27408.751,39798.509,29.88,29.88,29.88,,,CASUARINA ROAD,0.382
casuarina_road,Casuarina Road,18.0,27408.642,39796.512,30.43,29.742,29.742,-2.278,1.0,CASUARINA ROAD,0.59
casuarina_road,Casuarina Road,20.0,27408.533,39794.515,30.43,29.604,29.697,-2.278,1.0,CASUARINA ROAD,0.799
casuarina_road,Casuarina Road,22.0,27408.339,39792.53,29.467,29.467,29.697,,,CASUARINA ROAD,1.091
casuarina_road,Casuarina Road,24.0,27407.886,39790.583,29.697,29.697,29.697,,,CASUARINA ROAD,1.642
casuarina_road,Casuarina Road,26.0,27407.432,39788.635,29.697,29.697,29.697,0.0,1.0,CASUARINA ROAD,2.192
casuarina_road,Casuarina Road,28.0,27406.978,39786.687,29.714,29.714,29.697,,,CASUARINA ROAD,2.743
casuarina_road,Casuarina Road,30.0,27406.524,39784.739,29.731,29.731,29.697,,,CASUARINA ROAD,3.293
casuarina_road,Casuarina Road,32.0,27406.071,39782.791,30.331,29.692,29.692,,,CASUARINA ROAD,3.843
casuarina_road,Casuarina Road,34.0,27405.874,39780.819,31.167,29.653,29.653,,,CASUARINA ROAD,4.138
casuarina_road,Casuarina Road,36.0,27405.953,39778.82,31.567,29.614,29.614,,,CASUARINA ROAD,4.16
casuarina_road,Casuarina Road,38.0,27406.031,39776.822,30.298,29.576,29.576,,,CASUARINA ROAD,4.181
casuarina_road,Casuarina Road,40.0,27406.11,39774.823,29.548,29.537,29.537,,,CASUARINA ROAD,4.202
casuarina_road,Casuarina Road,42.0,27406.188,39772.825,29.498,29.498,29.498,,,CASUARINA ROAD,4.223
casuarina_road,Casuarina Road,44.0,27406.267,39770.827,29.398,29.398,29.398,,,CASUARINA ROAD,4.245
casuarina_road,Casuarina Road,46.0,27406.081,39768.836,29.348,29.348,29.398,,,CASUARINA ROAD,4.53
casuarina_road,Casuarina Road,48.0,27405.877,39766.847,30.398,29.373,29.398,,,CASUARINA ROAD,4.833
casuarina_road,Casuarina Road,50.0,27405.673,39764.857,32.848,29.398,29.398,0.312,1.0,CASUARINA ROAD,5.136
casuarina_road,Casuarina Road,52.0,27405.746,39762.867,29.448,29.423,29.423,,,CASUARINA ROAD,5.162
casuarina_road,Casuarina Road,54.0,27405.942,39760.877,29.448,29.448,29.423,,,CASUARINA ROAD,5.066
casuarina_road,Casuarina Road,56.0,27406.138,39758.886,29.448,29.448,29.423,,,CASUARINA ROAD,4.97
casuarina_road,Casuarina Road,58.0,27406.334,39756.896,29.398,29.398,29.398,-0.312,1.0,CASUARINA ROAD,4.873
casuarina_road,Casuarina Road,60.0,27406.536,39754.906,29.348,29.348,29.398,1.198,1.0,CASUARINA ROAD,4.771
casuarina_road,Casuarina Road,62.0,27406.844,39752.93,29.348,29.348,29.398,2.708,1.0,CASUARINA ROAD,4.561
casuarina_road,Casuarina Road,64.0,27407.153,39750.954,29.248,29.482,29.482,,,CASUARINA ROAD,4.352
casuarina_road,Casuarina Road,66.0,27407.461,39748.978,34.16,29.615,29.615,,,CASUARINA ROAD,4.143
casuarina_road,Casuarina Road,68.0,27407.769,39747.002,34.69,29.917,29.917,,,CASUARINA ROAD,3.934
casuarina_road,Casuarina Road,70.0,27408.078,39745.026,30.348,30.218,30.218,,,CASUARINA ROAD,3.724
casuarina_road,Casuarina Road,72.0,27408.386,39743.05,30.498,30.52,30.52,,,CASUARINA ROAD,3.515
casuarina_road,Casuarina Road,74.0,27408.694,39741.074,29.248,30.822,30.822,,,CASUARINA ROAD,3.306
casuarina_road,Casuarina Road,76.0,27409.003,39739.098,30.198,31.123,31.123,,,CASUARINA ROAD,3.097
casuarina_road,Casuarina Road,78.0,27409.311,39737.122,29.298,31.425,31.425,,,CASUARINA ROAD,2.887
casuarina_road,Casuarina Road,80.0,27409.619,39735.145,32.848,31.706,31.706,,,CASUARINA ROAD,2.678
casuarina_road,Casuarina Road,82.0,27409.927,39733.169,32.867,31.988,31.988,,,CASUARINA ROAD,2.469
casuarina_road,Casuarina Road,84.0,27410.236,39731.193,31.636,32.269,32.269,,,CASUARINA ROAD,2.26
casuarina_road,Casuarina Road,86.0,27410.544,39729.217,29.749,32.551,32.551,,,CASUARINA ROAD,2.05
casuarina_road,Casuarina Road,88.0,27410.852,39727.241,33.114,32.833,32.739,,,CASUARINA ROAD,1.841
casuarina_road,Casuarina Road,90.0,27411.337,39725.326,33.401,32.909,32.739,,,CASUARINA ROAD,1.452
casuarina_road,Casuarina Road,92.0,27412.312,39723.579,33.294,32.739,32.739,,,CASUARINA ROAD,0.566
casuarina_road,Casuarina Road,94.0,27413.286,39721.832,33.276,32.57,32.57,,,CASUARINA ROAD,0.319
casuarina_road,Casuarina Road,96.0,27414.26,39720.086,32.571,32.4,32.4,,,CASUARINA ROAD,1.205
casuarina_road,Casuarina Road,98.0,27415.234,39718.339,29.474,32.231,32.231,,,CASUARINA ROAD,2.091
casuarina_road,Casuarina Road,100.0,27415.687,39716.422,31.891,32.078,32.191,,,CASUARINA ROAD,2.448
casuarina_road,Casuarina Road,102.0,27415.933,39714.437,31.926,31.926,32.078,,,CASUARINA ROAD,2.594
casuarina_road,Casuarina Road,104.0,27416.179,39712.452,32.191,32.191,31.976,,,CASUARINA ROAD,2.741
casuarina_road,Casuarina Road,106.0,27416.425,39710.468,32.091,31.976,31.926,-3.971,1.0,CASUARINA ROAD,2.888
casuarina_road,Casuarina Road,108.0,27416.671,39708.483,31.761,31.761,31.761,-2.959,1.0,CASUARINA ROAD,3.034
casuarina_road,Casuarina Road,110.0,27416.917,39706.498,29.324,31.739,31.761,,,CASUARINA ROAD,3.181
casuarina_road,Casuarina Road,112.0,27417.163,39704.513,31.717,31.717,31.739,,,CASUARINA ROAD,3.327
casuarina_road,Casuarina Road,114.0,27417.03,39702.521,32.493,31.843,31.717,,,CASUARINA ROAD,3.094
casuarina_road,Casuarina Road,116.0,27416.861,39700.528,32.5,31.674,31.674,,,CASUARINA ROAD,2.826
casuarina_road,Casuarina Road,118.0,27416.692,39698.535,32.094,31.506,31.506,,,CASUARINA ROAD,2.558
casuarina_road,Casuarina Road,120.0,27416.524,39696.542,31.96,31.138,31.138,,,CASUARINA ROAD,2.29
casuarina_road,Casuarina Road,122.0,27416.355,39694.549,31.988,30.77,30.77,,,CASUARINA ROAD,2.023
casuarina_road,Casuarina Road,124.0,27416.186,39692.557,29.428,30.402,30.402,,,CASUARINA ROAD,1.755
casuarina_road,Casuarina Road,126.0,27416.018,39690.564,28.995,30.034,30.034,,,CASUARINA ROAD,1.487
casuarina_road,Casuarina Road,128.0,27415.849,39688.571,29.089,29.666,29.666,,,CASUARINA ROAD,1.219
casuarina_road,Casuarina Road,130.0,27415.68,39686.578,28.607,29.298,29.509,,,CASUARINA ROAD,0.951
casuarina_road,Casuarina Road,132.0,27415.511,39684.585,28.607,29.403,29.509,,,CASUARINA ROAD,0.683
casuarina_road,Casuarina Road,134.0,27415.343,39682.592,28.557,29.509,29.509,,,CASUARINA ROAD,0.415
casuarina_road,Casuarina Road,136.0,27415.315,39680.599,28.507,29.615,29.615,,,CASUARINA ROAD,0.287
