path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
ellington_square,Ellington Square,82.0,28125.562,39248.42,24.429,24.429,24.257,,,ELLINGTON SQUARE,12.314
ellington_square,Ellington Square,84.0,28127.29,39247.412,22.404,24.257,24.171,,,ELLINGTON SQUARE,10.323
ellington_square,Ellington Square,86.0,28129.018,39246.405,23.343,24.085,24.085,,,ELLINGTON SQUARE,8.333
ellington_square,Ellington Square,88.0,28130.924,39246.55,23.66,23.913,23.913,,,ELLINGTON SQUARE,6.871
ellington_square,Ellington Square,90.0,28132.876,39246.986,23.345,23.742,23.781,,,ELLINGTON SQUARE,5.543
ellington_square,Ellington Square,92.0,28134.828,39247.423,23.57,23.57,23.781,,,ELLINGTON SQUARE,4.215
ellington_square,Ellington Square,94.0,28136.78,39247.86,22.185,23.781,23.781,,,ELLINGTON SQUARE,2.887
ellington_square,Ellington Square,96.0,28138.731,39248.296,22.63,23.991,23.991,,,ELLINGTON SQUARE,1.558
ellington_square,Ellington Square,98.0,28140.683,39248.733,23.858,24.202,24.202,,,ELLINGTON SQUARE,0.23
ellington_square,Ellington Square,100.0,28142.635,39249.169,24.397,24.412,24.412,,,ELLINGTON SQUARE,1.098
ellington_square,Ellington Square,102.0,28144.587,39249.606,24.097,24.623,24.547,,,ELLINGTON SQUARE,2.426
ellington_square,Ellington Square,104.0,28146.539,39250.042,25.208,24.833,24.547,,,ELLINGTON SQUARE,3.754
ellington_square,Ellington Square,106.0,28148.447,39250.544,25.044,24.547,24.547,,,ELLINGTON SQUARE,5.01
ellington_square,Ellington Square,108.0,28149.608,39252.173,25.472,24.262,24.262,,,ELLINGTON SQUARE,4.999
ellington_square,Ellington Square,110.0,28150.768,39253.802,23.709,23.976,23.976,,,ELLINGTON SQUARE,4.988
ellington_square,Ellington Square,112.0,28151.929,39255.43,23.367,23.69,23.69,,,ELLINGTON SQUARE,4.977
ellington_square,Ellington Square,114.0,28153.077,39257.068,23.405,23.405,23.405,,,ELLINGTON SQUARE,4.951
ellington_square,Ellington Square,116.0,28154.225,39258.706,23.3,23.3,23.405,,,ELLINGTON SQUARE,4.925
ellington_square,Ellington Square,118.0,28155.372,39260.344,23.171,23.171,23.405,,,ELLINGTON SQUARE,4.898
ellington_square,Ellington Square,120.0,28156.52,39261.982,23.442,23.442,23.442,6.146,1.0,ELLINGTON SQUARE,4.871
ellington_square,Ellington Square,122.0,28157.668,39263.62,23.48,23.669,23.669,8.594,1.0,ELLINGTON SQUARE,4.847
ellington_square,Ellington Square,124.0,28158.853,39265.23,23.896,23.896,23.896,10.104,2.0,ELLINGTON SQUARE,4.87
ellington_square,Ellington Square,126.0,28160.039,39266.841,24.092,24.092,24.092,7.422,1.0,ELLINGTON SQUARE,4.893
ellington_square,Ellington Square,128.0,28161.225,39268.451,24.275,24.275,24.25,4.74,1.0,ELLINGTON SQUARE,4.916
ellington_square,Ellington Square,130.0,28162.411,39270.062,24.25,24.25,24.275,1.979,1.0,ELLINGTON SQUARE,4.926
ellington_square,Ellington Square,132.0,28163.597,39271.673,24.384,24.384,24.275,,,ELLINGTON SQUARE,4.926
ellington_square,Ellington Square,134.0,28164.758,39273.301,24.367,24.367,24.25,,,ELLINGTON SQUARE,4.895
ellington_square,Ellington Square,136.0,28165.919,39274.93,23.817,24.085,24.085,,,ELLINGTON SQUARE,4.864
ellington_square,Ellington Square,138.0,28167.079,39276.558,24.092,23.802,24.015,,,ELLINGTON SQUARE,4.833
ellington_square,Ellington Square,140.0,28168.24,39278.187,23.52,23.908,24.015,,,ELLINGTON SQUARE,4.802
ellington_square,Ellington Square,142.0,28169.401,39279.816,23.407,24.015,24.015,,,ELLINGTON SQUARE,4.77
ellington_square,Ellington Square,144.0,28170.559,39281.446,23.445,24.412,24.412,,,ELLINGTON SQUARE,4.737
ellington_square,Ellington Square,146.0,28171.691,39283.095,23.638,24.81,24.81,,,ELLINGTON SQUARE,4.669
ellington_square,Ellington Square,148.0,28172.822,39284.745,23.67,25.208,25.208,,,ELLINGTON SQUARE,4.602
ellington_square,Ellington Square,150.0,28173.953,39286.394,23.707,25.606,25.606,,,ELLINGTON SQUARE,4.535
ellington_square,Ellington Square,152.0,28175.084,39288.043,28.319,26.003,26.003,,,ELLINGTON SQUARE,4.468
ellington_square,Ellington Square,154.0,28176.321,39289.615,30.149,26.012,26.012,,,ELLINGTON SQUARE,4.532
ellington_square,Ellington Square,156.0,28177.561,39291.184,31.849,26.022,26.022,,,ELLINGTON SQUARE,4.6
ellington_square,Ellington Square,158.0,28178.802,39292.753,29.263,26.031,26.031,,,ELLINGTON SQUARE,4.669
ellington_square,Ellington Square,160.0,28180.043,39294.321,26.651,26.04,26.04,,,ELLINGTON SQUARE,4.738
ellington_square,Ellington Square,162.0,28181.27,39295.9,25.538,26.049,26.049,,,ELLINGTON SQUARE,4.789
ellington_square,Ellington Square,164.0,28182.408,39297.544,25.382,26.058,26.058,,,ELLINGTON SQUARE,4.731
ellington_square,Ellington Square,166.0,28183.547,39299.188,24.987,26.067,26.067,,,ELLINGTON SQUARE,4.673
ellington_square,Ellington Square,168.0,28184.686,39300.833,24.945,26.076,26.076,,,ELLINGTON SQUARE,4.615
ellington_square,Ellington Square,170.0,28185.825,39302.477,24.829,26.085,26.085,,,ELLINGTON SQUARE,4.557
ellington_square,Ellington Square,172.0,28186.964,39304.121,26.095,26.095,26.095,,,ELLINGTON SQUARE,4.499
ellington_square,Ellington Square,174.0,28188.102,39305.765,27.888,26.299,26.299,,,ELLINGTON SQUARE,4.441
ellington_square,Ellington Square,176.0,28189.251,39307.401,28.17,26.503,26.503,,,ELLINGTON SQUARE,4.396
ellington_square,Ellington Square,178.0,28190.482,39308.978,26.707,26.707,26.676,,,ELLINGTON SQUARE,4.452
ellington_square,Ellington Square,180.0,28191.712,39310.555,27.112,26.692,26.676,,,ELLINGTON SQUARE,4.507
ellington_square,Ellington Square,182.0,28192.91,39312.156,26.442,26.676,26.676,-0.192,1.0,ELLINGTON SQUARE,4.523
ellington_square,Ellington Square,184.0,28194.062,39313.791,26.661,26.661,26.661,,,ELLINGTON SQUARE,4.48
