path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
jalan_gelenggang,Jalan Gelenggang,24.0,27682.752,39749.412,35.209,35.209,35.116,,,JALAN GELENGGANG,15.428
jalan_gelenggang,Jalan Gelenggang,26.0,27681.104,39748.278,35.809,35.116,35.069,,,JALAN GELENGGANG,14.735
jalan_gelenggang,Jalan Gelenggang,28.0,27679.457,39747.145,35.566,35.023,35.023,,,JALAN GELENGGANG,13.69
jalan_gelenggang,Jalan Gelenggang,30.0,27677.809,39746.011,34.93,34.771,34.771,,,JALAN GELENGGANG,12.072
jalan_gelenggang,Jalan Gelenggang,32.0,27676.161,39744.878,34.655,34.518,34.518,,,JALAN GELENGGANG,10.455
jalan_gelenggang,Jalan Gelenggang,34.0,27674.513,39743.744,33.965,34.266,34.266,,,JALAN GELENGGANG,8.837
jalan_gelenggang,Jalan Gelenggang,36.0,27672.866,39742.611,35.085,34.02,34.02,,,JALAN GELENGGANG,7.219
jalan_gelenggang,Jalan Gelenggang,38.0,27671.218,39741.477,32.52,33.774,33.774,,,JALAN GELENGGANG,5.601
jalan_gelenggang,Jalan Gelenggang,40.0,27669.57,39740.344,33.44,33.528,33.528,,,JALAN GELENGGANG,3.983
jalan_gelenggang,Jalan Gelenggang,42.0,27667.922,39739.21,32.603,33.282,33.282,,,JALAN GELENGGANG,2.365
jalan_gelenggang,Jalan Gelenggang,44.0,27666.275,39738.077,32.324,33.035,33.035,,,JALAN GELENGGANG,0.747
jalan_gelenggang,Jalan Gelenggang,46.0,27665.655,39736.681,31.79,32.789,32.789,,,JALAN GELENGGANG,0.163
jalan_gelenggang,Jalan Gelenggang,48.0,27666.558,39734.897,32.55,32.543,32.762,,,JALAN GELENGGANG,1.113
jalan_gelenggang,Jalan Gelenggang,50.0,27667.462,39733.112,34.955,32.653,32.762,,,JALAN GELENGGANG,2.062
jalan_gelenggang,Jalan Gelenggang,52.0,27668.365,39731.328,35.745,32.762,32.762,,,JALAN GELENGGANG,3.011
jalan_gelenggang,Jalan Gelenggang,54.0,27668.795,39729.43,35.165,32.872,32.872,,,JALAN GELENGGANG,3.491
jalan_gelenggang,Jalan Gelenggang,56.0,27668.805,39727.43,33.495,32.982,32.982,,,JALAN GELENGGANG,3.552
jalan_gelenggang,Jalan Gelenggang,58.0,27668.815,39725.43,34.555,33.092,33.092,,,JALAN GELENGGANG,3.614
jalan_gelenggang,Jalan Gelenggang,60.0,27668.825,39723.43,34.56,33.201,33.201,,,JALAN GELENGGANG,3.675
jalan_gelenggang,Jalan Gelenggang,62.0,27668.835,39721.43,34.195,33.311,33.311,,,JALAN GELENGGANG,3.737
jalan_gelenggang,Jalan Gelenggang,64.0,27668.845,39719.43,31.823,33.421,33.421,,,JALAN GELENGGANG,3.799
jalan_gelenggang,Jalan Gelenggang,66.0,27668.855,39717.43,31.817,33.53,33.421,,,JALAN GELENGGANG,3.86
jalan_gelenggang,Jalan Gelenggang,68.0,27668.865,39715.43,33.198,33.463,33.421,,,JALAN GELENGGANG,3.922
jalan_gelenggang,Jalan Gelenggang,70.0,27668.875,39713.43,33.395,33.395,33.395,,,JALAN GELENGGANG,3.984
jalan_gelenggang,Jalan Gelenggang,72.0,27668.885,39711.43,34.64,33.335,33.335,,,JALAN GELENGGANG,4.045
jalan_gelenggang,Jalan Gelenggang,74.0,27668.895,39709.43,33.055,33.274,33.274,,,JALAN GELENGGANG,4.107
jalan_gelenggang,Jalan Gelenggang,76.0,27668.905,39707.43,32.367,33.213,33.213,,,JALAN GELENGGANG,4.169
jalan_gelenggang,Jalan Gelenggang,78.0,27668.915,39705.43,33.142,33.011,33.011,,,JALAN GELENGGANG,4.23
jalan_gelenggang,Jalan Gelenggang,80.0,27668.906,39703.43,33.092,32.808,32.808,,,JALAN GELENGGANG,4.274
jalan_gelenggang,Jalan Gelenggang,82.0,27668.878,39701.43,34.217,32.326,32.326,,,JALAN GELENGGANG,4.297
jalan_gelenggang,Jalan Gelenggang,84.0,27668.849,39699.43,34.673,31.844,31.844,,,JALAN GELENGGANG,4.32
jalan_gelenggang,Jalan Gelenggang,86.0,27668.82,39697.431,35.515,31.362,31.362,,,JALAN GELENGGANG,4.343
jalan_gelenggang,Jalan Gelenggang,88.0,27668.792,39695.431,32.782,,30.879,,,JALAN GELENGGANG,4.366
jalan_gelenggang,Jalan Gelenggang,90.0,27668.763,39693.431,31.215,,30.397,,,JALAN GELENGGANG,4.389
jalan_gelenggang,Jalan Gelenggang,92.0,27668.247,39691.519,28.769,29.915,29.915,,,JALAN GELENGGANG,3.923
jalan_gelenggang,Jalan Gelenggang,94.0,27667.577,39689.634,28.694,29.433,29.433,,,JALAN GELENGGANG,3.302
jalan_gelenggang,Jalan Gelenggang,96.0,27666.907,39687.75,28.619,28.951,28.951,,,JALAN GELENGGANG,2.681
jalan_gelenggang,Jalan Gelenggang,98.0,27666.237,39685.866,28.469,28.469,28.571,,,JALAN GELENGGANG,2.06
jalan_gelenggang,Jalan Gelenggang,100.0,27665.567,39683.981,30.011,28.52,28.571,,,JALAN GELENGGANG,1.438
jalan_gelenggang,Jalan Gelenggang,102.0,27664.958,39682.085,29.017,28.571,28.571,0.0,1.0,JALAN GELENGGANG,0.878
jalan_gelenggang,Jalan Gelenggang,104.0,27664.88,39680.087,28.473,28.622,28.571,,,JALAN GELENGGANG,0.852
jalan_gelenggang,Jalan Gelenggang,106.0,27664.801,39678.088,28.673,28.673,28.571,,,JALAN GELENGGANG,0.825
jalan_gelenggang,Jalan Gelenggang,108.0,27664.723,39676.09,28.382,28.382,28.382,,,JALAN GELENGGANG,0.799
jalan_gelenggang,Jalan Gelenggang,110.0,27664.645,39674.091,28.332,28.332,28.365,,,JALAN GELENGGANG,0.772
jalan_gelenggang,Jalan Gelenggang,112.0,27664.566,39672.093,27.594,28.349,28.365,0.0,1.0,JALAN GELENGGANG,0.745
jalan_gelenggang,Jalan Gelenggang,114.0,27664.488,39670.094,27.469,28.365,28.365,1.305,1.0,JALAN GELENGGANG,0.719
jalan_gelenggang,Jalan Gelenggang,116.0,27664.41,39668.096,28.382,28.382,28.382,,,JALAN GELENGGANG,0.692
jalan_gelenggang,Jalan Gelenggang,118.0,27664.331,39666.097,28.654,28.654,28.47,,,JALAN GELENGGANG,0.665
jalan_gelenggang,Jalan Gelenggang,120.0,27664.253,39664.099,28.604,28.604,28.47,,,JALAN GELENGGANG,0.639
jalan_gelenggang,Jalan Gelenggang,122.0,27664.175,39662.1,28.04,28.47,28.47,,,JALAN GELENGGANG,0.612
jalan_gelenggang,Jalan Gelenggang,124.0,27664.096,39660.102,28.615,28.335,28.335,,,JALAN GELENGGANG,0.586
jalan_gelenggang,Jalan Gelenggang,126.0,27663.986,39658.105,28.532,28.09,28.09,,,JALAN GELENGGANG,0.527
jalan_gelenggang,Jalan Gelenggang,128.0,27663.87,39656.108,28.065,27.793,27.793,,,JALAN GELENGGANG,0.462
jalan_gelenggang,Jalan Gelenggang,130.0,27663.754,39654.112,27.982,27.494,27.494,,,JALAN GELENGGANG,0.398
jalan_gelenggang,Jalan Gelenggang,132.0,27663.638,39652.115,27.799,27.195,27.195,,,JALAN GELENGGANG,0.333
jalan_gelenggang,Jalan Gelenggang,134.0,27663.521,39650.118,26.344,26.93,26.93,,,JALAN GELENGGANG,0.269
jalan_gelenggang,Jalan Gelenggang,136.0,27663.402,39648.122,26.219,26.664,26.664,,,JALAN GELENGGANG,0.202
jalan_gelenggang,Jalan Gelenggang,138.0,27663.264,39646.127,26.094,26.399,26.399,,,JALAN GELENGGANG,0.114
jalan_gelenggang,Jalan Gelenggang,140.0,27663.125,39644.132,25.994,26.134,26.134,,,JALAN GELENGGANG,0.027
jalan_gelenggang,Jalan Gelenggang,142.0,27662.986,39642.137,25.869,25.869,25.869,,,JALAN GELENGGANG,0.06
jalan_gelenggang,Jalan Gelenggang,144.0,27662.847,39640.141,25.744,25.744,25.744,,,JALAN GELENGGANG,0.148
jalan_gelenggang,Jalan Gelenggang,146.0,27662.708,39638.146,25.644,25.644,25.644,-5.625,1.0,JALAN GELENGGANG,0.235
jalan_gelenggang,Jalan Gelenggang,148.0,27662.657,39636.147,25.519,25.519,25.519,-5.625,1.0,JALAN GELENGGANG,0.234
jalan_gelenggang,Jalan Gelenggang,150.0,27662.618,39634.147,25.419,25.419,25.419,-5.938,1.0,JALAN GELENGGANG,0.221
jalan_gelenggang,Jalan Gelenggang,152.0,27662.579,39632.148,25.294,25.294,25.294,-5.938,1.0,JALAN GELENGGANG,0.208
jalan_gelenggang,Jalan Gelenggang,154.0,27662.541,39630.148,25.169,25.169,25.169,-6.25,1.0,JALAN GELENGGANG,0.195
jalan_gelenggang,Jalan Gelenggang,156.0,27662.502,39628.149,25.044,25.044,25.044,-6.562,1.0,JALAN GELENGGANG,0.182
jalan_gelenggang,Jalan Gelenggang,158.0,27662.464,39626.149,24.919,24.919,24.919,-6.25,1.0,JALAN GELENGGANG,0.169
jalan_gelenggang,Jalan Gelenggang,160.0,27662.425,39624.149,24.769,24.769,24.769,-6.25,1.0,JALAN GELENGGANG,0.156
jalan_gelenggang,Jalan Gelenggang,162.0,27662.386,39622.15,24.669,24.669,24.669,-6.25,1.0,JALAN GELENGGANG,0.143
jalan_gelenggang,Jalan Gelenggang,164.0,27662.348,39620.15,24.544,24.544,24.544,-5.625,1.0,JALAN GELENGGANG,0.13
jalan_gelenggang,Jalan Gelenggang,166.0,27662.309,39618.15,24.419,24.419,24.419,-5.625,1.0,JALAN GELENGGANG,0.117
jalan_gelenggang,Jalan Gelenggang,168.0,27662.27,39616.151,24.319,24.319,24.319,-5.313,1.0,JALAN GELENGGANG,0.104
jalan_gelenggang,Jalan Gelenggang,170.0,27662.207,39614.152,24.219,24.219,24.219,-5.0,1.0,JALAN GELENGGANG,0.116
jalan_gelenggang,Jalan Gelenggang,172.0,27662.126,39612.154,24.119,24.119,24.119,-4.688,1.0,JALAN GELENGGANG,0.144
jalan_gelenggang,Jalan Gelenggang,174.0,27662.046,39610.155,24.019,24.019,24.019,-4.688,1.0,JALAN GELENGGANG,0.173
jalan_gelenggang,Jalan Gelenggang,176.0,27661.966,39608.157,23.944,23.944,23.944,-4.375,1.0,JALAN GELENGGANG,0.202
jalan_gelenggang,Jalan Gelenggang,178.0,27661.885,39606.158,23.844,23.844,23.844,-4.219,1.0,JALAN GELENGGANG,0.23
jalan_gelenggang,Jalan Gelenggang,180.0,27661.805,39604.16,23.769,23.769,23.769,-4.375,1.0,JALAN GELENGGANG,0.259
jalan_gelenggang,Jalan Gelenggang,182.0,27661.727,39602.162,23.681,23.681,23.681,-4.062,1.0,JALAN GELENGGANG,0.301
