path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
jalan_lanjut,1,Jalan Lanjut_Cam4_20251231_074756_463_A.jpeg,,10.51,5.255,6.0,19.811,,
jalan_lanjut,2,Jalan Lanjut_Cam4_20251231_074800_013_A.jpeg,,347.952,179.231,180.0,19.551,,
jalan_lanjut,3,Jalan Lanjut_Cam4_20260105_083000_156_A.jpeg,,377.264,362.608,,,,
jalan_lanjut,4,Jalan Lanjut_Cam4_20260105_083013_373_A.jpeg,,388.096,382.68,382.0,25.881,,
jalan_lanjut,5,Jalan Lanjut_Cam4_20260105_083017_578_A.jpeg,,399.718,393.907,394.0,26.146,,
jalan_lanjut,6,Jalan Lanjut_Cam4_20260105_083021_784_A.jpeg,,422.96,411.339,412.0,25.119,,
jalan_lanjut,7,Jalan Lanjut_Cam4_20260105_083029_596_A.jpeg,,434.236,428.598,428.0,23.963,,
jalan_lanjut,8,Jalan Lanjut_Cam4_20260105_083033_200_A.jpeg,,445.974,440.105,440.0,24.331,,
jalan_lanjut,9,Jalan Lanjut_Cam4_20260105_083036_803_A.jpeg,,451.898,448.936,448.0,23.169,,
jalan_lanjut,10,Jalan Lanjut_Cam4_20260105_083038_605_A.jpeg,,463.746,457.822,458.0,22.04,,
jalan_lanjut,11,Jalan Lanjut_Cam4_20260105_083042_208_A.jpeg,,472.017,467.882,468.0,21.328,-10.938,2.0
jalan_lanjut,12,Jalan Lanjut_Cam4_20260105_083044_611_A.jpeg,,482.496,477.256,478.0,20.591,,
jalan_lanjut,13,Jalan Lanjut_Cam4_20260105_083047_613_A.jpeg,,493.132,487.814,488.0,19.829,,
jalan_lanjut,14,Jalan Lanjut_Cam4_20260105_083050_616_A.jpeg,,503.147,498.139,498.0,18.607,,
jalan_lanjut,15,Jalan Lanjut_Cam4_20260105_083053_621_A.jpeg,,512.52,507.833,508.0,18.057,-4.792,1.0
jalan_lanjut,16,Jalan Lanjut_Cam4_20260105_083056_624_A.jpeg,,524.023,518.271,518.0,17.24,-6.771,1.0
jalan_lanjut,17,Jalan Lanjut_Cam4_20260105_083100_228_A.jpeg,,535.176,529.599,530.0,16.419,,
jalan_lanjut,18,Jalan Lanjut_Cam4_20260105_083103_230_A.jpeg,,541.982,538.579,538.0,15.633,,
jalan_lanjut,19,Jalan Lanjut_Cam4_20260105_083105_032_A.jpeg,,553.624,547.803,548.0,14.813,-8.563,1.0
jalan_lanjut,20,Jalan Lanjut_Cam4_20260105_083108_036_A.jpeg,,563.203,558.414,558.0,14.338,,
jalan_lanjut,21,Jalan Lanjut_Cam4_20260105_083110_439_A.jpeg,,573.01,568.106,568.0,15.02,,
jalan_lanjut,22,Jalan Lanjut_Cam4_20260105_083112_841_A.jpeg,,582.789,577.899,578.0,13.966,,
jalan_lanjut,23,Jalan Lanjut_Cam4_20260105_083115_243_A.jpeg,,592.664,587.726,588.0,13.025,-1.771,1.0
jalan_lanjut,24,Jalan Lanjut_Cam4_20260105_083117_647_A.jpeg,,602.888,597.776,598.0,13.001,,
jalan_lanjut,25,Jalan Lanjut_Cam4_20260105_083120_050_A.jpeg,,613.187,608.038,608.0,12.182,,
jalan_lanjut,26,Jalan Lanjut_Cam4_20260105_083122_452_A.jpeg,,623.162,618.175,618.0,12.154,-1.403,1.0
jalan_lanjut,27,Jalan Lanjut_Cam4_20260105_083124_854_A.jpeg,,632.76,627.961,628.0,11.785,-2.853,1.0
jalan_lanjut,28,Jalan Lanjut_Cam4_20260105_083127_257_A.jpeg,,658.488,645.624,646.0,13.851,,
jalan_lanjut,29,Jalan Lanjut_Cam4_20260105_083138_067_A.jpeg,,669.747,664.117,664.0,19.358,,
jalan_lanjut,30,Jalan Lanjut_Cam4_20260105_083143_474_A.jpeg,,679.322,674.535,674.0,20.52,,
jalan_lanjut,31,Jalan Lanjut_Cam4_20260105_083151_285_A.jpeg,,745.998,712.66,712.0,13.967,,
