path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
lentor_green,1,Lentor Green_Cam4_20251231_085506_065_A.jpeg,,9.71,4.855,,,,
lentor_green,2,Lentor Green_Cam4_20251231_085509_670_A.jpeg,,332.576,171.143,,,,
lentor_green,3,Lentor Green_Cam4_20251231_095522_860_B.jpeg,,351.464,342.02,342.0,19.009,,
lentor_green,4,Lentor Green_Cam4_20251231_095546_390_B.jpeg,,417.51,384.487,384.0,21.978,,
lentor_green,5,Lentor Green_Cam4_20251231_095613_078_B.jpeg,,443.296,430.403,430.0,20.133,,
lentor_green,6,Lentor Green_Cam4_20251231_095625_703_B.jpeg,,451.632,447.464,448.0,21.699,5.31,1.0
lentor_green,7,Lentor Green_Cam4_20251231_095629_944_B.jpeg,,477.635,464.634,464.0,22.354,,
lentor_green,8,Lentor Green_Cam4_20251231_095726_681_B.jpeg,,484.226,480.93,480.0,22.045,,
lentor_green,9,Lentor Green_Cam4_20251231_095741_138_B.jpeg,,528.38,506.303,506.0,23.902,,
lentor_green,10,Lentor Green_Cam4_20251231_095800_004_B.jpeg,,696.774,612.577,612.0,27.861,,
lentor_green,11,Lentor Green_Cam4_20251231_095922_134_B.jpeg,,709.807,703.29,,,,
lentor_green,12,Lentor Green_Cam4_20251231_095927_652_B.jpeg,,734.587,722.197,722.0,23.954,,
lentor_green,13,Lentor Green_Cam4_20251231_095938_582_B.jpeg,,760.225,747.406,748.0,23.625,,
lentor_green,14,Lentor Green_Cam4_20251231_095947_016_B.jpeg,,769.758,764.991,764.0,25.147,,
lentor_green,15,Lentor Green_Cam4_20251231_095950_112_B.jpeg,,779.518,774.638,774.0,24.292,,
lentor_green,16,Lentor Green_Cam4_20251231_095953_117_B.jpeg,,791.039,785.278,786.0,23.499,1.094,1.0
lentor_green,17,Lentor Green_Cam4_20251231_095956_726_B.jpeg,,799.279,795.159,796.0,23.623,,
lentor_green,18,Lentor Green_Cam4_20251231_095959_129_B.jpeg,,810.827,805.053,806.0,22.861,-5.517,1.0
lentor_green,19,Lentor Green_Cam4_20251231_100002_144_B.jpeg,,822.266,816.546,816.0,22.505,-4.453,1.0
lentor_green,20,Lentor Green_Cam4_20251231_100005_152_B.jpeg,,829.426,825.846,826.0,21.592,-7.752,1.0
lentor_green,21,Lentor Green_Cam4_20251231_100006_953_B.jpeg,,840.913,835.17,836.0,21.208,,
lentor_green,22,Lentor Green_Cam4_20251231_100009_957_B.jpeg,,852.425,846.669,846.0,21.002,,
lentor_green,23,Lentor Green_Cam4_20251231_100012_965_B.jpeg,,860.783,856.604,856.0,20.456,-3.828,1.0
lentor_green,24,Lentor Green_Cam4_20251231_100015_367_B.jpeg,,926.902,893.842,894.0,21.905,6.484,1.0
lentor_green,25,Lentor Green_Cam4_20251231_100103_900_B.jpeg,,933.265,930.084,930.0,24.342,,
lentor_green,26,Lentor Green_Cam4_20251231_100106_902_B.jpeg,,943.568,938.417,938.0,23.657,,
lentor_green,27,Lentor Green_Cam4_20251231_100111_112_B.jpeg,,973.35,958.459,958.0,23.795,,
lentor_green,28,Lentor Green_Cam4_20251231_100122_806_B.jpeg,,981.098,977.224,978.0,24.063,-2.813,1.0
lentor_green,29,Lentor Green_Cam4_20251231_100125_812_B.jpeg,,991.286,986.192,986.0,23.724,,
lentor_green,30,Lentor Green_Cam4_20251231_100130_020_B.jpeg,,1001.604,996.445,996.0,23.481,,
lentor_green,31,Lentor Green_Cam4_20251231_100134_827_B.jpeg,,1011.291,1006.447,1006.0,23.062,-7.484,1.0
lentor_green,32,Lentor Green_Cam4_20251231_100138_431_B.jpeg,,1020.583,1015.937,1016.0,22.301,,
lentor_green,33,Lentor Green_Cam4_20251231_100141_499_B.jpeg,,1030.672,1025.627,1026.0,22.038,-1.094,1.0
lentor_green,34,Lentor Green_Cam4_20251231_100144_514_B.jpeg,,1040.492,1035.582,1036.0,22.443,6.307,1.0
lentor_green,35,Lentor Green_Cam4_20251231_100147_516_B.jpeg,,1053.123,1046.808,1046.0,23.197,,
lentor_green,36,Lentor Green_Cam4_20251231_100157_864_B.jpeg,,1077.141,1065.132,1066.0,23.591,,
lentor_green,37,Lentor Green_Cam4_20251231_100206_288_B.jpeg,,1101.116,1089.128,1090.0,21.344,,
lentor_green,38,Lentor Green_Cam4_20251231_100213_030_B.jpeg,,1111.479,1106.298,1106.0,20.096,,
lentor_green,39,Lentor Green_Cam4_20251231_100216_034_B.jpeg,,1186.441,1148.96,1148.0,22.855,,
lentor_green,40,Lentor Green_Cam4_20251231_100253_596_B.jpeg,,1196.388,1191.414,1192.0,22.323,,
lentor_green,41,Lentor Green_Cam4_20251231_100257_800_B.jpeg,,1206.412,1201.4,1202.0,22.89,,
lentor_green,42,Lentor Green_Cam4_20251231_100301_403_B.jpeg,,1234.686,1220.549,1220.0,23.547,,
lentor_green,43,Lentor Green_Cam4_20251231_100313_439_B.jpeg,,1242.351,1238.518,1238.0,23.83,,
lentor_green,44,Lentor Green_Cam4_20251231_100316_486_B.jpeg,,1267.833,1255.092,1256.0,23.386,,
lentor_green,45,Lentor Green_Cam4_20251231_100326_235_B.jpeg,,1290.698,1279.265,1280.0,26.247,,
lentor_green,46,Lentor Green_Cam4_20251231_100337_718_B.jpeg,,1303.09,1296.894,1296.0,23.51,,
lentor_green,47,Lentor Green_Cam4_20251231_100341_992_B.jpeg,,1311.11,1307.1,1308.0,23.78,,
lentor_green,48,Lentor Green_Cam4_20251231_100345_596_B.jpeg,,1322.165,1316.638,1316.0,24.339,,
lentor_green,49,Lentor Green_Cam4_20251231_100350_548_B.jpeg,,1346.027,1334.096,1334.0,24.446,,
lentor_green,50,Lentor Green_Cam4_20251231_100405_762_B.jpeg,,1369.424,1357.725,1358.0,23.881,,
lentor_green,51,Lentor Green_Cam4_20251231_100416_080_B.jpeg,,1456.67,1413.047,1414.0,24.337,,
lentor_green,52,Lentor Green_Cam4_20251231_100527_125_B.jpeg,,1463.53,1460.1,1460.0,25.72,,
lentor_green,53,Lentor Green_Cam4_20251231_100529_530_B.jpeg,,1575.318,1519.424,1520.0,28.182,,
lentor_green,54,Lentor Green_Cam4_20251231_100714_778_B.jpeg,,1654.324,1614.821,,,,
lentor_green,55,Lentor Green_Cam4_20251231_100742_013_B.jpeg,,1699.264,1676.794,,,,
lentor_green,56,Lentor Green_Cam4_20251231_100758_994_B.jpeg,,1706.409,1702.837,,,,
lentor_green,57,Lentor Green_Cam4_20251231_100802_070_B.jpeg,,1716.652,1711.53,,,,
lentor_green,58,Lentor Green_Cam4_20251231_100805_163_B.jpeg,,1725.224,1720.938,,,,
lentor_green,59,Lentor Green_Cam4_20251231_100807_567_B.jpeg,,1776.626,1750.925,,,,
lentor_green,60,Lentor Green_Cam4_20251231_100839_564_B.jpeg,,1786.291,1781.458,,,,
lentor_green,61,Lentor Green_Cam4_20251231_100844_410_B.jpeg,,1799.753,1793.022,,,,
lentor_green,62,Lentor Green_Cam4_20251231_100848_627_B.jpeg,,1805.885,1802.819,,,,
lentor_green,63,Lentor Green_Cam4_20251231_100850_431_B.jpeg,,1816.554,1811.219,,,,
lentor_green,64,Lentor Green_Cam4_20251231_100854_036_B.jpeg,,1826.494,1821.524,,,,
