path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
lentor_lane,Lentor Lane,0.0,28314.655,41183.268,11.648,11.648,11.598,-2.344,1.0,LENTOR LANE,6.281
lentor_lane,Lentor Lane,2.0,28312.659,41183.146,11.598,11.598,11.551,-2.797,1.0,LENTOR LANE,5.752
lentor_lane,Lentor Lane,4.0,28310.663,41183.024,11.504,11.504,11.504,-2.306,1.0,LENTOR LANE,5.223
lentor_lane,Lentor Lane,6.0,28308.666,41182.902,11.43,11.43,11.43,-1.929,1.0,LENTOR LANE,4.694
lentor_lane,Lentor Lane,8.0,28306.67,41182.78,11.414,11.414,11.414,-1.968,1.0,LENTOR LANE,4.166
lentor_lane,Lentor Lane,10.0,28304.674,41182.658,11.397,11.397,11.397,,,LENTOR LANE,3.637
lentor_lane,Lentor Lane,12.0,28302.678,41182.533,11.33,11.33,11.347,,,LENTOR LANE,3.111
lentor_lane,Lentor Lane,14.0,28300.683,41182.384,12.797,11.339,11.347,,,LENTOR LANE,2.608
lentor_lane,Lentor Lane,16.0,28298.689,41182.236,11.48,11.347,11.347,0.208,1.0,LENTOR LANE,2.104
lentor_lane,Lentor Lane,18.0,28296.694,41182.087,11.664,11.355,11.355,,,LENTOR LANE,1.601
lentor_lane,Lentor Lane,20.0,28294.7,41181.939,11.364,11.364,11.364,,,LENTOR LANE,1.098
lentor_lane,Lentor Lane,22.0,28292.712,41181.759,11.364,11.364,11.364,,,LENTOR LANE,0.626
lentor_lane,Lentor Lane,24.0,28290.81,41181.138,11.364,11.657,11.657,,,LENTOR LANE,0.6
lentor_lane,Lentor Lane,26.0,28288.909,41180.518,11.364,11.95,11.95,,,LENTOR LANE,0.574
lentor_lane,Lentor Lane,28.0,28287.008,41179.897,12.13,12.244,12.244,,,LENTOR LANE,0.548
lentor_lane,Lentor Lane,30.0,28285.107,41179.276,12.147,12.537,12.537,,,LENTOR LANE,0.521
lentor_lane,Lentor Lane,32.0,28283.205,41178.656,12.83,12.83,12.83,,,LENTOR LANE,0.495
lentor_lane,Lentor Lane,34.0,28281.329,41177.979,12.955,12.955,12.955,,,LENTOR LANE,0.53
lentor_lane,Lentor Lane,36.0,28279.605,41176.966,12.98,12.98,12.98,4.167,1.0,LENTOR LANE,0.732
lentor_lane,Lentor Lane,38.0,28277.88,41175.953,13.014,13.014,13.014,,,LENTOR LANE,0.451
lentor_lane,Lentor Lane,40.0,28276.156,41174.94,13.164,13.164,13.164,,,LENTOR LANE,0.17
lentor_lane,Lentor Lane,42.0,28274.583,41173.723,14.755,13.324,13.164,,,LENTOR LANE,0.143
lentor_lane,Lentor Lane,44.0,28273.112,41172.367,14.614,13.178,13.164,,,LENTOR LANE,0.019
lentor_lane,Lentor Lane,46.0,28271.642,41171.011,13.646,12.942,12.942,,,LENTOR LANE,0.212
lentor_lane,Lentor Lane,48.0,28270.172,41169.655,14.321,12.706,12.706,,,LENTOR LANE,0.444
lentor_lane,Lentor Lane,50.0,28268.702,41168.3,11.676,12.461,12.461,,,LENTOR LANE,0.675
lentor_lane,Lentor Lane,52.0,28267.281,41166.895,11.676,12.216,12.216,,,LENTOR LANE,0.837
lentor_lane,Lentor Lane,54.0,28265.962,41165.392,11.726,11.971,11.971,,,LENTOR LANE,0.858
lentor_lane,Lentor Lane,56.0,28264.643,41163.888,11.726,11.726,11.776,,,LENTOR LANE,0.879
lentor_lane,Lentor Lane,58.0,28263.324,41162.385,11.776,11.776,11.776,,,LENTOR LANE,0.9
lentor_lane,Lentor Lane,60.0,28262.005,41160.881,11.776,11.776,11.776,0.625,1.0,LENTOR LANE,0.92
lentor_lane,Lentor Lane,62.0,28260.731,41159.341,11.776,11.776,11.776,0.625,1.0,LENTOR LANE,0.883
lentor_lane,Lentor Lane,64.0,28259.483,41157.778,11.826,11.826,11.826,1.25,1.0,LENTOR LANE,0.811
lentor_lane,Lentor Lane,66.0,28258.234,41156.215,11.826,11.826,11.826,1.25,1.0,LENTOR LANE,0.74
lentor_lane,Lentor Lane,68.0,28256.986,41154.653,11.876,11.876,11.876,0.625,1.0,LENTOR LANE,0.668
lentor_lane,Lentor Lane,70.0,28255.738,41153.09,11.876,11.876,11.876,1.25,1.0,LENTOR LANE,0.626
lentor_lane,Lentor Lane,72.0,28254.748,41151.361,11.876,11.876,11.876,0.625,1.0,LENTOR LANE,0.477
lentor_lane,Lentor Lane,74.0,28253.844,41149.577,11.926,11.926,11.926,0.625,1.0,LENTOR LANE,0.228
lentor_lane,Lentor Lane,76.0,28252.94,41147.793,11.926,11.926,11.926,0.625,1.0,LENTOR LANE,0.022
lentor_lane,Lentor Lane,78.0,28252.036,41146.009,11.926,11.926,11.926,0.625,1.0,LENTOR LANE,0.272
lentor_lane,Lentor Lane,80.0,28251.131,41144.225,11.926,11.926,11.926,1.25,1.0,LENTOR LANE,0.167
lentor_lane,Lentor Lane,82.0,28250.227,41142.441,11.976,11.976,11.976,1.875,1.0,LENTOR LANE,0.01
lentor_lane,Lentor Lane,84.0,28249.407,41140.618,12.026,12.026,12.026,1.875,1.0,LENTOR LANE,0.094
lentor_lane,Lentor Lane,86.0,28248.635,41138.773,12.076,12.076,12.076,1.875,1.0,LENTOR LANE,0.126
lentor_lane,Lentor Lane,88.0,28247.863,41136.929,12.076,12.076,12.076,1.875,1.0,LENTOR LANE,0.157
lentor_lane,Lentor Lane,90.0,28247.091,41135.084,15.782,12.126,12.126,1.875,1.0,LENTOR LANE,0.189
