path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
lentor_place,Lentor Place,0.0,28269.862,41249.069,10.723,9.907,9.907,,,LENTOR PLACE,1.948
lentor_place,Lentor Place,2.0,28267.961,41248.447,8.413,9.907,9.907,,,LENTOR PLACE,1.881
lentor_place,Lentor Place,4.0,28266.061,41247.825,8.388,9.907,9.907,,,LENTOR PLACE,1.815
lentor_place,Lentor Place,6.0,28264.16,41247.203,8.413,9.728,9.728,,,LENTOR PLACE,1.749
lentor_place,Lentor Place,8.0,28262.259,41246.581,11.775,9.55,9.55,,,LENTOR PLACE,1.682
lentor_place,Lentor Place,10.0,28260.358,41245.959,11.838,9.371,9.371,,,LENTOR PLACE,1.616
lentor_place,Lentor Place,12.0,28258.479,41245.275,11.288,9.192,9.192,,,LENTOR PLACE,1.616
lentor_place,Lentor Place,14.0,28256.607,41244.571,12.375,9.013,9.013,,,LENTOR PLACE,1.635
lentor_place,Lentor Place,16.0,28254.735,41243.868,12.138,8.834,8.834,,,LENTOR PLACE,1.655
lentor_place,Lentor Place,18.0,28252.862,41243.165,8.477,8.655,8.655,,,LENTOR PLACE,1.675
lentor_place,Lentor Place,20.0,28250.99,41242.462,8.477,8.477,8.576,,,LENTOR PLACE,1.694
lentor_place,Lentor Place,22.0,28249.118,41241.758,8.526,8.526,8.576,,,LENTOR PLACE,1.714
lentor_place,Lentor Place,24.0,28247.259,41241.023,8.576,8.576,8.576,0.625,1.0,LENTOR PLACE,1.769
lentor_place,Lentor Place,26.0,28245.426,41240.222,8.576,8.576,8.576,1.25,1.0,LENTOR PLACE,1.893
lentor_place,Lentor Place,28.0,28243.593,41239.422,8.627,8.627,8.627,1.875,1.0,LENTOR PLACE,1.997
lentor_place,Lentor Place,30.0,28241.76,41238.622,8.677,8.677,8.677,1.875,1.0,LENTOR PLACE,2.079
lentor_place,Lentor Place,32.0,28240.015,41237.691,8.727,8.727,8.727,,,LENTOR PLACE,2.315
lentor_place,Lentor Place,34.0,28238.584,41236.294,8.727,8.727,8.727,,,LENTOR PLACE,3.099
lentor_place,Lentor Place,36.0,28237.153,41234.897,9.352,8.885,8.885,4.479,1.0,LENTOR PLACE,3.425
lentor_place,Lentor Place,38.0,28235.722,41233.499,9.026,9.043,9.043,,,LENTOR PLACE,3.464
lentor_place,Lentor Place,40.0,28234.291,41232.102,9.202,9.202,9.085,,,LENTOR PLACE,3.502
lentor_place,Lentor Place,42.0,28232.86,41230.705,9.927,9.143,9.085,,,LENTOR PLACE,3.541
lentor_place,Lentor Place,44.0,28231.429,41229.308,8.977,9.085,9.085,-0.729,1.0,LENTOR PLACE,3.579
lentor_place,Lentor Place,46.0,28229.998,41227.91,9.026,9.026,9.026,,,LENTOR PLACE,3.618
lentor_place,Lentor Place,48.0,28228.567,41226.513,9.026,9.026,9.026,,,LENTOR PLACE,3.619
lentor_place,Lentor Place,50.0,28227.136,41225.116,9.026,9.026,9.026,0.0,1.0,LENTOR PLACE,3.426
lentor_place,Lentor Place,52.0,28225.705,41223.719,8.977,8.977,9.026,0.625,1.0,LENTOR PLACE,3.233
lentor_place,Lentor Place,54.0,28224.274,41222.321,9.102,9.102,9.026,0.625,1.0,LENTOR PLACE,3.04
lentor_place,Lentor Place,56.0,28222.843,41220.924,9.152,9.152,9.076,0.625,1.0,LENTOR PLACE,2.848
lentor_place,Lentor Place,58.0,28221.412,41219.527,9.026,9.026,9.076,,,LENTOR PLACE,2.655
lentor_place,Lentor Place,60.0,28219.981,41218.13,9.076,9.076,9.076,,,LENTOR PLACE,2.462
lentor_place,Lentor Place,62.0,28218.55,41216.732,10.477,9.076,9.076,0.0,1.0,LENTOR PLACE,2.269
lentor_place,Lentor Place,64.0,28217.119,41215.335,9.076,9.076,9.076,0.0,1.0,LENTOR PLACE,2.077
lentor_place,Lentor Place,66.0,28215.688,41213.938,9.076,9.076,9.076,,,LENTOR PLACE,1.884
lentor_place,Lentor Place,68.0,28214.257,41212.541,9.076,9.076,9.076,,,LENTOR PLACE,1.691
lentor_place,Lentor Place,70.0,28212.826,41211.144,9.127,9.127,9.127,0.625,1.0,LENTOR PLACE,1.498
lentor_place,Lentor Place,72.0,28211.424,41209.719,9.127,9.127,9.127,0.625,1.0,LENTOR PLACE,1.345
lentor_place,Lentor Place,74.0,28210.118,41208.205,9.127,9.127,9.127,0.0,1.0,LENTOR PLACE,1.323
lentor_place,Lentor Place,76.0,28208.811,41206.691,9.127,9.127,9.127,0.0,1.0,LENTOR PLACE,1.301
lentor_place,Lentor Place,78.0,28207.504,41205.177,9.127,9.127,9.127,0.0,1.0,LENTOR PLACE,1.278
lentor_place,Lentor Place,80.0,28206.198,41203.662,9.127,9.127,9.127,0.0,1.0,LENTOR PLACE,1.256
lentor_place,Lentor Place,82.0,28204.891,41202.148,9.127,9.127,9.127,0.625,1.0,LENTOR PLACE,1.234
lentor_place,Lentor Place,84.0,28203.584,41200.634,9.127,9.127,9.127,0.625,1.0,LENTOR PLACE,1.211
lentor_place,Lentor Place,86.0,28202.47,41198.979,9.177,9.177,9.177,,,LENTOR PLACE,1.427
lentor_place,Lentor Place,88.0,28201.411,41197.282,9.177,9.177,9.177,,,LENTOR PLACE,1.712
lentor_place,Lentor Place,90.0,28200.353,41195.585,10.227,9.187,9.187,,,LENTOR PLACE,1.998
lentor_place,Lentor Place,92.0,28199.295,41193.888,9.927,9.197,9.197,,,LENTOR PLACE,2.283
lentor_place,Lentor Place,94.0,28198.236,41192.191,9.977,9.207,9.207,,,LENTOR PLACE,2.568
lentor_place,Lentor Place,96.0,28197.178,41190.494,9.177,9.217,9.217,,,LENTOR PLACE,2.854
lentor_place,Lentor Place,98.0,28196.119,41188.796,9.227,9.227,9.227,,,LENTOR PLACE,3.139
lentor_place,Lentor Place,100.0,28195.061,41187.099,9.227,9.227,9.227,,,LENTOR PLACE,3.401
lentor_place,Lentor Place,102.0,28194.003,41185.402,9.227,9.227,9.227,,,LENTOR PLACE,3.266
lentor_place,Lentor Place,104.0,28192.944,41183.705,9.326,9.326,9.326,,,LENTOR PLACE,3.131
lentor_place,Lentor Place,106.0,28191.886,41182.008,10.427,9.376,9.376,2.5,1.0,LENTOR PLACE,2.996
lentor_place,Lentor Place,108.0,28190.828,41180.311,9.477,9.426,9.377,1.875,1.0,LENTOR PLACE,2.862
lentor_place,Lentor Place,110.0,28189.769,41178.614,9.477,9.477,9.426,,,LENTOR PLACE,2.727
lentor_place,Lentor Place,112.0,28188.711,41176.917,9.377,9.377,9.477,,,LENTOR PLACE,2.592
lentor_place,Lentor Place,114.0,28187.653,41175.22,9.477,9.477,9.477,2.5,1.0,LENTOR PLACE,2.409
lentor_place,Lentor Place,116.0,28186.594,41173.523,9.526,9.526,9.526,2.5,1.0,LENTOR PLACE,2.051
lentor_place,Lentor Place,118.0,28185.536,41171.826,9.627,9.627,9.627,3.125,1.0,LENTOR PLACE,1.693
lentor_place,Lentor Place,120.0,28184.477,41170.129,9.677,9.677,9.677,3.125,1.0,LENTOR PLACE,1.336
lentor_place,Lentor Place,122.0,28183.419,41168.432,9.727,9.727,9.727,1.875,1.0,LENTOR PLACE,0.978
lentor_place,Lentor Place,124.0,28182.361,41166.735,9.776,9.776,9.776,1.25,1.0,LENTOR PLACE,0.62
lentor_place,Lentor Place,126.0,28181.302,41165.038,9.776,9.776,9.776,0.625,1.0,LENTOR PLACE,0.262
lentor_place,Lentor Place,128.0,28180.372,41163.28,9.776,9.776,9.776,0.0,1.0,LENTOR PLACE,0.046
lentor_place,Lentor Place,130.0,28179.714,41161.391,9.776,9.776,9.776,,,LENTOR PLACE,0.131
lentor_place,Lentor Place,132.0,28179.056,41159.503,9.776,9.776,9.776,,,LENTOR PLACE,0.216
lentor_place,Lentor Place,134.0,28178.398,41157.614,9.776,9.927,9.927,,,LENTOR PLACE,0.301
lentor_place,Lentor Place,136.0,28177.74,41155.725,9.776,10.078,10.078,,,LENTOR PLACE,0.386
lentor_place,Lentor Place,138.0,28177.082,41153.837,9.826,10.378,10.378,,,LENTOR PLACE,0.471
lentor_place,Lentor Place,140.0,28176.42,41151.949,10.3,10.678,10.678,,,LENTOR PLACE,0.551
lentor_place,Lentor Place,142.0,28175.755,41150.063,10.263,10.977,10.977,,,LENTOR PLACE,0.629
lentor_place,Lentor Place,144.0,28175.09,41148.177,12.188,11.277,11.277,,,LENTOR PLACE,0.707
lentor_place,Lentor Place,146.0,28174.426,41146.291,12.005,11.577,11.577,,,LENTOR PLACE,0.785
lentor_place,Lentor Place,148.0,28173.761,41144.404,12.405,11.877,11.621,,,LENTOR PLACE,0.863
lentor_place,Lentor Place,150.0,28173.096,41142.518,12.471,11.749,11.749,,,LENTOR PLACE,0.94
lentor_place,Lentor Place,152.0,28172.313,41140.68,11.621,11.621,11.758,,,LENTOR PLACE,0.89
lentor_place,Lentor Place,154.0,28171.471,41138.866,11.221,11.758,11.749,,,LENTOR PLACE,0.777
lentor_place,Lentor Place,156.0,28170.629,41137.051,11.046,11.895,11.738,,,LENTOR PLACE,0.664
lentor_place,Lentor Place,158.0,28169.792,41135.236,12.032,11.738,11.738,,,LENTOR PLACE,0.555
lentor_place,Lentor Place,160.0,28169.231,41133.316,11.857,11.58,11.58,,,LENTOR PLACE,0.742
lentor_place,Lentor Place,162.0,28168.671,41131.396,11.596,11.422,11.422,,,LENTOR PLACE,0.929
lentor_place,Lentor Place,164.0,28168.11,41129.476,11.121,11.155,11.155,,,LENTOR PLACE,1.116
lentor_place,Lentor Place,166.0,28167.55,41127.556,10.551,10.889,10.889,,,LENTOR PLACE,1.303
lentor_place,Lentor Place,168.0,28166.763,41125.744,10.521,10.622,10.622,,,LENTOR PLACE,1.24
lentor_place,Lentor Place,170.0,28165.626,41124.099,10.131,10.356,10.356,,,LENTOR PLACE,0.791
lentor_place,Lentor Place,172.0,28164.489,41122.453,10.701,10.19,10.19,,,LENTOR PLACE,0.341
lentor_place,Lentor Place,174.0,28163.353,41120.808,10.686,10.025,10.025,,,LENTOR PLACE,0.109
lentor_place,Lentor Place,176.0,28162.216,41119.162,9.86,9.86,9.872,,,LENTOR PLACE,0.559
lentor_place,Lentor Place,178.0,28161.079,41117.517,9.872,9.872,9.872,,,LENTOR PLACE,1.009
lentor_place,Lentor Place,180.0,28159.942,41115.871,9.872,9.872,9.872,1.237,1.0,LENTOR PLACE,1.459
lentor_place,Lentor Place,182.0,28158.805,41114.226,9.91,9.91,9.91,,,LENTOR PLACE,1.909
lentor_place,Lentor Place,184.0,28157.668,41112.581,9.971,9.971,9.971,,,LENTOR PLACE,2.359
lentor_place,Lentor Place,186.0,28156.531,41110.935,10.38,9.971,9.971,,,LENTOR PLACE,2.808
lentor_place,Lentor Place,188.0,28155.564,41109.536,10.714,9.971,9.971,,,LENTOR PLACE,3.191
