path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
lentor_terrace,Lentor Terrace,0.0,28452.568,41054.114,18.759,19.359,19.359,,,LENTOR TERRACE,10.728
lentor_terrace,Lentor Terrace,2.0,28451.674,41055.903,19.359,19.359,19.393,,,LENTOR TERRACE,9.857
lentor_terrace,Lentor Terrace,4.0,28450.78,41057.692,20.495,19.427,19.427,,,LENTOR TERRACE,8.986
lentor_terrace,Lentor Terrace,6.0,28449.887,41059.481,20.198,19.495,19.495,1.271,1.0,LENTOR TERRACE,8.114
lentor_terrace,Lentor Terrace,8.0,28448.993,41061.271,19.563,19.563,19.495,,,LENTOR TERRACE,7.243
lentor_terrace,Lentor Terrace,10.0,28448.099,41063.06,19.681,19.681,19.495,,,LENTOR TERRACE,6.372
lentor_terrace,Lentor Terrace,12.0,28447.198,41064.845,19.638,19.489,19.489,,,LENTOR TERRACE,5.509
lentor_terrace,Lentor Terrace,14.0,28446.292,41066.628,19.297,19.297,19.297,,,LENTOR TERRACE,4.839
lentor_terrace,Lentor Terrace,16.0,28445.386,41068.411,17.848,19.222,19.222,,,LENTOR TERRACE,4.193
lentor_terrace,Lentor Terrace,18.0,28444.48,41070.194,18.656,19.147,19.147,-2.512,1.0,LENTOR TERRACE,3.546
lentor_terrace,Lentor Terrace,20.0,28443.574,41071.977,18.61,19.072,19.147,,,LENTOR TERRACE,2.9
lentor_terrace,Lentor Terrace,22.0,28442.667,41073.76,18.997,18.997,19.096,,,LENTOR TERRACE,2.254
lentor_terrace,Lentor Terrace,24.0,28441.761,41075.543,20.564,19.233,19.072,,,LENTOR TERRACE,1.608
lentor_terrace,Lentor Terrace,26.0,28440.855,41077.326,20.522,19.096,18.997,-3.426,1.0,LENTOR TERRACE,0.962
lentor_terrace,Lentor Terrace,28.0,28439.949,41079.109,19.706,18.959,18.959,,,LENTOR TERRACE,0.316
lentor_terrace,Lentor Terrace,30.0,28439.043,41080.892,18.822,18.822,18.822,,,LENTOR TERRACE,0.464
lentor_terrace,Lentor Terrace,32.0,28438.137,41082.675,17.778,18.69,18.69,,,LENTOR TERRACE,0.709
lentor_terrace,Lentor Terrace,34.0,28437.231,41084.458,17.713,18.558,18.558,,,LENTOR TERRACE,0.955
lentor_terrace,Lentor Terrace,36.0,28436.325,41086.241,18.427,18.427,18.558,,,LENTOR TERRACE,1.201
lentor_terrace,Lentor Terrace,38.0,28435.492,41088.058,19.447,18.507,18.507,,,LENTOR TERRACE,1.367
lentor_terrace,Lentor Terrace,40.0,28434.723,41089.904,19.427,18.588,18.427,,,LENTOR TERRACE,1.462
lentor_terrace,Lentor Terrace,42.0,28433.953,41091.75,18.668,18.301,18.301,,,LENTOR TERRACE,1.558
lentor_terrace,Lentor Terrace,44.0,28433.184,41093.596,17.872,18.015,18.015,,,LENTOR TERRACE,1.654
lentor_terrace,Lentor Terrace,46.0,28432.415,41095.442,17.248,17.919,17.919,,,LENTOR TERRACE,1.749
lentor_terrace,Lentor Terrace,48.0,28431.646,41097.288,16.171,17.822,17.822,,,LENTOR TERRACE,1.845
lentor_terrace,Lentor Terrace,50.0,28430.877,41099.135,16.055,17.726,17.726,,,LENTOR TERRACE,1.94
lentor_terrace,Lentor Terrace,52.0,28430.107,41100.981,15.947,17.63,17.63,,,LENTOR TERRACE,2.036
lentor_terrace,Lentor Terrace,54.0,28429.338,41102.827,15.897,17.533,17.533,,,LENTOR TERRACE,2.132
lentor_terrace,Lentor Terrace,56.0,28428.569,41104.673,17.797,17.437,17.437,,,LENTOR TERRACE,2.227
lentor_terrace,Lentor Terrace,58.0,28427.8,41106.519,18.182,17.15,17.15,,,LENTOR TERRACE,2.323
lentor_terrace,Lentor Terrace,60.0,28427.031,41108.365,19.412,16.863,16.863,,,LENTOR TERRACE,2.418
lentor_terrace,Lentor Terrace,62.0,28426.354,41110.244,18.332,16.577,16.577,,,LENTOR TERRACE,2.416
lentor_terrace,Lentor Terrace,64.0,28425.786,41112.162,18.172,16.29,16.29,,,LENTOR TERRACE,2.298
lentor_terrace,Lentor Terrace,66.0,28425.218,41114.08,15.728,16.003,16.003,,,LENTOR TERRACE,2.18
lentor_terrace,Lentor Terrace,68.0,28424.65,41115.997,15.716,15.716,15.716,,,LENTOR TERRACE,2.062
lentor_terrace,Lentor Terrace,70.0,28424.082,41117.915,15.441,15.441,15.441,,,LENTOR TERRACE,1.944
lentor_terrace,Lentor Terrace,72.0,28423.514,41119.833,15.247,15.247,15.341,,,LENTOR TERRACE,1.826
lentor_terrace,Lentor Terrace,74.0,28423.059,41121.777,16.08,15.201,15.341,,,LENTOR TERRACE,1.593
lentor_terrace,Lentor Terrace,76.0,28422.699,41123.745,14.972,15.341,15.341,,,LENTOR TERRACE,1.262
lentor_terrace,Lentor Terrace,78.0,28422.34,41125.712,15.11,15.481,15.481,,,LENTOR TERRACE,0.931
lentor_terrace,Lentor Terrace,80.0,28421.981,41127.68,15.122,15.72,15.72,,,LENTOR TERRACE,0.6
lentor_terrace,Lentor Terrace,82.0,28421.622,41129.647,16.131,15.959,15.959,,,LENTOR TERRACE,0.269
lentor_terrace,Lentor Terrace,84.0,28421.262,41131.615,15.911,16.197,16.197,,,LENTOR TERRACE,0.063
lentor_terrace,Lentor Terrace,86.0,28420.827,41133.566,15.781,16.264,16.26,,,LENTOR TERRACE,0.317
