path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
mayflower_crescent,1,Mayflower Crescent_Cam4_20251231_083137_914_C.jpeg,,10.802,5.401,,,,
mayflower_crescent,2,Mayflower Crescent_Cam4_20251231_083141_519_C.jpeg,,20.762,15.782,,,,
mayflower_crescent,3,Mayflower Crescent_Cam4_20251231_083152_284_C.jpeg,,30.307,25.534,26.0,28.346,,
mayflower_crescent,4,Mayflower Crescent_Cam4_20251231_083206_102_C.jpeg,,43.566,36.937,36.0,28.586,,
mayflower_crescent,5,Mayflower Crescent_Cam4_20251231_083212_709_C.jpeg,,54.413,48.99,48.0,28.682,,
mayflower_crescent,6,Mayflower Crescent_Cam4_20251231_083217_514_C.jpeg,,60.011,57.212,58.0,28.288,,
mayflower_crescent,7,Mayflower Crescent_Cam4_20251231_083219_921_C.jpeg,,69.677,64.844,64.0,28.8,,
mayflower_crescent,8,Mayflower Crescent_Cam4_20251231_083224_727_C.jpeg,,80.186,74.932,74.0,30.698,,
mayflower_crescent,9,Mayflower Crescent_Cam4_20251231_083230_734_C.jpeg,,89.861,85.024,86.0,32.094,,
mayflower_crescent,10,Mayflower Crescent_Cam4_20251231_083234_343_C.jpeg,,102.434,96.148,96.0,32.308,,
mayflower_crescent,11,Mayflower Crescent_Cam4_20251231_083238_547_C.jpeg,,113.765,108.099,108.0,31.525,,
mayflower_crescent,12,Mayflower Crescent_Cam4_20251231_083242_151_C.jpeg,,119.165,116.465,116.0,31.003,,
mayflower_crescent,13,Mayflower Crescent_Cam4_20251231_083243_954_C.jpeg,,129.72,124.442,124.0,30.48,,
mayflower_crescent,14,Mayflower Crescent_Cam4_20251231_083247_560_C.jpeg,,139.16,134.44,134.0,30.018,,
mayflower_crescent,15,Mayflower Crescent_Cam4_20251231_083250_564_C.jpeg,,150.307,144.733,144.0,30.898,,
mayflower_crescent,16,Mayflower Crescent_Cam4_20251231_083254_167_C.jpeg,,163.452,156.879,156.0,32.49,,
mayflower_crescent,17,Mayflower Crescent_Cam4_20251231_083258_858_C.jpeg,,169.001,166.226,166.0,31.263,,
mayflower_crescent,18,Mayflower Crescent_Cam4_20251231_083301_259_C.jpeg,,179.996,174.498,174.0,28.899,,
mayflower_crescent,19,Mayflower Crescent_Cam4_20251231_083305_463_C.jpeg,,189.007,184.501,184.0,25.79,,
mayflower_crescent,20,Mayflower Crescent_Cam4_20251231_083310_269_C.jpeg,,202.584,195.795,196.0,24.159,,
mayflower_crescent,21,Mayflower Crescent_Cam4_20251231_083317_477_C.jpeg,,220.228,211.406,212.0,24.893,,
mayflower_crescent,22,Mayflower Crescent_Cam4_20251231_083330_696_C.jpeg,,227.375,223.801,224.0,24.66,,
mayflower_crescent,23,Mayflower Crescent_Cam4_20251231_083333_711_C.jpeg,,237.448,232.411,232.0,24.756,,
mayflower_crescent,24,Mayflower Crescent_Cam4_20251231_083338_516_C.jpeg,,268.773,253.111,254.0,26.75,,
mayflower_crescent,25,Mayflower Crescent_Cam4_20251231_083354_115_C.jpeg,,277.452,273.113,274.0,33.376,,
mayflower_crescent,26,Mayflower Crescent_Cam4_20251231_083357_720_C.jpeg,,319.105,298.278,298.0,38.427,,
mayflower_crescent,27,Mayflower Crescent_Cam4_20251231_083416_317_C.jpeg,,329.952,324.528,324.0,37.103,,
mayflower_crescent,28,Mayflower Crescent_Cam4_20251231_083421_121_C.jpeg,,377.511,353.732,354.0,36.447,,
mayflower_crescent,29,Mayflower Crescent_Cam4_20251231_083443_347_C.jpeg,,536.342,456.927,456.0,28.299,,
