path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
mayflower_lane,Mayflower Lane,2.0,28847.24,39226.081,18.156,18.156,17.971,,,MAYFLOWER LANE,7.433
mayflower_lane,Mayflower Lane,4.0,28845.251,39226.293,17.863,17.971,17.879,,,MAYFLOWER LANE,6.952
mayflower_lane,Mayflower Lane,6.0,28843.262,39226.505,20.35,17.786,17.786,,,MAYFLOWER LANE,6.471
mayflower_lane,Mayflower Lane,8.0,28841.274,39226.716,20.333,17.601,17.601,,,MAYFLOWER LANE,5.99
mayflower_lane,Mayflower Lane,10.0,28839.285,39226.928,19.192,17.416,17.416,,,MAYFLOWER LANE,5.509
mayflower_lane,Mayflower Lane,12.0,28837.296,39227.135,18.783,17.23,17.245,,,MAYFLOWER LANE,5.034
mayflower_lane,Mayflower Lane,14.0,28835.305,39227.327,17.045,17.045,17.245,,,MAYFLOWER LANE,4.572
mayflower_lane,Mayflower Lane,16.0,28833.314,39227.519,17.245,17.245,17.245,,,MAYFLOWER LANE,4.11
mayflower_lane,Mayflower Lane,18.0,28831.323,39227.712,17.295,17.295,17.295,3.75,1.0,MAYFLOWER LANE,3.648
mayflower_lane,Mayflower Lane,20.0,28829.333,39227.904,17.845,17.42,17.42,5.938,1.0,MAYFLOWER LANE,3.187
mayflower_lane,Mayflower Lane,22.0,28827.342,39228.096,17.545,17.545,17.545,6.875,1.0,MAYFLOWER LANE,2.725
mayflower_lane,Mayflower Lane,24.0,28825.408,39227.826,17.72,17.72,17.72,6.406,1.0,MAYFLOWER LANE,2.729
mayflower_lane,Mayflower Lane,26.0,28823.522,39227.161,17.845,17.845,17.845,5.937,1.0,MAYFLOWER LANE,3.131
mayflower_lane,Mayflower Lane,28.0,28821.636,39226.495,17.945,17.945,17.945,6.25,1.0,MAYFLOWER LANE,3.534
mayflower_lane,Mayflower Lane,30.0,28819.75,39225.829,18.02,18.02,18.02,,,MAYFLOWER LANE,3.936
mayflower_lane,Mayflower Lane,32.0,28817.764,39225.593,18.22,18.22,18.22,,,MAYFLOWER LANE,3.9
mayflower_lane,Mayflower Lane,34.0,28815.778,39225.36,18.97,18.32,18.32,6.25,1.0,MAYFLOWER LANE,3.86
mayflower_lane,Mayflower Lane,36.0,28813.791,39225.127,18.995,18.42,18.42,5.313,1.0,MAYFLOWER LANE,3.82
mayflower_lane,Mayflower Lane,38.0,28811.805,39224.895,18.52,18.52,18.52,,,MAYFLOWER LANE,3.78
mayflower_lane,Mayflower Lane,40.0,28809.819,39224.662,18.645,18.645,18.645,,,MAYFLOWER LANE,3.74
mayflower_lane,Mayflower Lane,42.0,28807.832,39224.429,18.745,18.917,18.917,,,MAYFLOWER LANE,3.699
mayflower_lane,Mayflower Lane,44.0,28805.846,39224.197,18.895,19.19,19.19,,,MAYFLOWER LANE,3.659
mayflower_lane,Mayflower Lane,46.0,28803.859,39223.964,19.245,19.52,19.52,,,MAYFLOWER LANE,3.619
mayflower_lane,Mayflower Lane,48.0,28801.873,39223.731,19.97,19.85,19.85,,,MAYFLOWER LANE,3.579
mayflower_lane,Mayflower Lane,50.0,28799.887,39223.499,21.213,20.18,20.18,,,MAYFLOWER LANE,3.539
mayflower_lane,Mayflower Lane,52.0,28797.9,39223.266,21.18,,20.51,,,MAYFLOWER LANE,3.498
mayflower_lane,Mayflower Lane,54.0,28795.914,39223.033,21.463,20.84,20.84,,,MAYFLOWER LANE,3.458
mayflower_lane,Mayflower Lane,56.0,28793.927,39222.801,21.497,21.17,21.17,,,MAYFLOWER LANE,3.418
mayflower_lane,Mayflower Lane,58.0,28791.942,39222.749,21.763,21.5,21.5,,,MAYFLOWER LANE,3.199
mayflower_lane,Mayflower Lane,60.0,28789.96,39223.012,21.563,21.83,21.83,,,MAYFLOWER LANE,2.668
mayflower_lane,Mayflower Lane,62.0,28787.977,39223.275,21.897,21.897,21.83,,,MAYFLOWER LANE,2.137
mayflower_lane,Mayflower Lane,64.0,28785.994,39223.538,21.93,21.93,21.897,,,MAYFLOWER LANE,1.606
mayflower_lane,Mayflower Lane,66.0,28784.012,39223.801,21.805,21.805,21.93,,,MAYFLOWER LANE,1.076
mayflower_lane,Mayflower Lane,68.0,28782.03,39224.021,21.89,22.04,22.04,7.685,1.0,MAYFLOWER LANE,0.588
mayflower_lane,Mayflower Lane,70.0,28780.053,39223.717,21.996,22.276,22.276,,,MAYFLOWER LANE,0.62
mayflower_lane,Mayflower Lane,72.0,28778.076,39223.412,22.511,22.511,22.511,,,MAYFLOWER LANE,0.652
mayflower_lane,Mayflower Lane,74.0,28776.099,39223.108,22.578,22.695,22.695,,,MAYFLOWER LANE,0.684
mayflower_lane,Mayflower Lane,76.0,28774.123,39222.804,20.891,22.878,22.878,,,MAYFLOWER LANE,0.716
mayflower_lane,Mayflower Lane,78.0,28772.146,39222.499,23.195,23.178,22.878,,,MAYFLOWER LANE,0.749
mayflower_lane,Mayflower Lane,80.0,28770.169,39222.195,23.62,22.961,22.878,,,MAYFLOWER LANE,0.781
mayflower_lane,Mayflower Lane,82.0,28768.269,39221.572,23.778,22.744,22.744,,,MAYFLOWER LANE,1.139
mayflower_lane,Mayflower Lane,84.0,28766.368,39220.95,24.228,22.527,22.527,,,MAYFLOWER LANE,1.497
mayflower_lane,Mayflower Lane,86.0,28764.468,39220.327,21.983,22.309,22.309,,,MAYFLOWER LANE,1.855
mayflower_lane,Mayflower Lane,88.0,28762.567,39219.704,21.583,22.092,22.092,,,MAYFLOWER LANE,2.212
mayflower_lane,Mayflower Lane,90.0,28760.666,39219.082,21.633,21.875,21.875,,,MAYFLOWER LANE,2.57
mayflower_lane,Mayflower Lane,92.0,28758.766,39218.459,21.658,21.658,21.875,,,MAYFLOWER LANE,2.928
mayflower_lane,Mayflower Lane,94.0,28756.865,39217.836,21.708,21.708,21.875,,,MAYFLOWER LANE,3.286
mayflower_lane,Mayflower Lane,96.0,28754.964,39217.214,21.883,21.883,21.883,,,MAYFLOWER LANE,3.644
mayflower_lane,Mayflower Lane,98.0,28753.064,39216.591,21.958,21.958,21.958,,,MAYFLOWER LANE,4.001
mayflower_lane,Mayflower Lane,100.0,28751.163,39215.969,24.289,22.149,22.149,,,MAYFLOWER LANE,4.359
mayflower_lane,Mayflower Lane,102.0,28749.263,39215.346,24.224,22.341,22.341,7.177,1.0,MAYFLOWER LANE,4.717
mayflower_lane,Mayflower Lane,104.0,28747.561,39216.174,22.764,22.532,22.532,,,MAYFLOWER LANE,3.665
mayflower_lane,Mayflower Lane,106.0,28745.898,39217.285,22.724,22.724,22.532,,,MAYFLOWER LANE,2.338
