path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
mayflower_terrace,Mayflower Terrace,26.0,28849.324,39286.528,21.275,20.258,20.258,,,MAYFLOWER TERRACE,14.957
mayflower_terrace,Mayflower Terrace,28.0,28848.25,39288.215,22.55,20.258,20.258,,,MAYFLOWER TERRACE,13.14
mayflower_terrace,Mayflower Terrace,30.0,28847.176,39289.902,22.45,20.258,20.258,,,MAYFLOWER TERRACE,11.322
mayflower_terrace,Mayflower Terrace,32.0,28846.102,39291.589,19.75,20.124,20.229,,,MAYFLOWER TERRACE,9.504
mayflower_terrace,Mayflower Terrace,34.0,28845.027,39293.276,21.142,19.989,20.229,,,MAYFLOWER TERRACE,7.686
mayflower_terrace,Mayflower Terrace,36.0,28843.953,39294.963,19.633,20.229,20.229,,,MAYFLOWER TERRACE,5.868
mayflower_terrace,Mayflower Terrace,38.0,28842.274,39295.274,19.142,20.468,20.468,,,MAYFLOWER TERRACE,5.331
mayflower_terrace,Mayflower Terrace,40.0,28840.304,39294.925,20.35,20.708,20.708,,,MAYFLOWER TERRACE,5.408
mayflower_terrace,Mayflower Terrace,42.0,28838.335,39294.577,20.625,20.947,20.947,,,MAYFLOWER TERRACE,5.485
mayflower_terrace,Mayflower Terrace,44.0,28836.357,39294.439,21.186,21.186,20.947,,,MAYFLOWER TERRACE,5.351
mayflower_terrace,Mayflower Terrace,46.0,28834.365,39294.619,21.12,21.12,20.947,,,MAYFLOWER TERRACE,4.901
mayflower_terrace,Mayflower Terrace,48.0,28832.373,39294.799,20.836,20.836,20.836,,,MAYFLOWER TERRACE,4.45
mayflower_terrace,Mayflower Terrace,50.0,28830.381,39294.98,19.317,20.689,20.689,-3.466,1.0,MAYFLOWER TERRACE,4.0
mayflower_terrace,Mayflower Terrace,52.0,28828.389,39295.16,20.186,20.542,20.67,-2.812,1.0,MAYFLOWER TERRACE,3.55
mayflower_terrace,Mayflower Terrace,54.0,28826.397,39295.34,20.395,20.395,20.67,,,MAYFLOWER TERRACE,3.099
mayflower_terrace,Mayflower Terrace,56.0,28824.471,39294.969,20.67,20.67,20.611,,,MAYFLOWER TERRACE,3.204
mayflower_terrace,Mayflower Terrace,58.0,28822.575,39294.33,20.786,20.786,20.67,0.833,1.0,MAYFLOWER TERRACE,3.579
mayflower_terrace,Mayflower Terrace,60.0,28820.68,39293.691,20.611,20.611,20.678,1.562,1.0,MAYFLOWER TERRACE,3.953
mayflower_terrace,Mayflower Terrace,62.0,28818.785,39293.052,20.736,20.736,20.736,2.681,1.0,MAYFLOWER TERRACE,4.327
mayflower_terrace,Mayflower Terrace,64.0,28816.89,39292.414,20.678,20.678,20.736,3.799,1.0,MAYFLOWER TERRACE,4.701
mayflower_terrace,Mayflower Terrace,66.0,28814.995,39291.775,21.094,20.83,20.83,,,MAYFLOWER TERRACE,5.076
