path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
thomson_green,Thomson Green,10.0,27824.687,40177.986,40.48,40.48,40.322,,,THOMSON GREEN,7.785
thomson_green,Thomson Green,12.0,27826.015,40177.47,40.701,40.322,40.242,-5.287,1.0,THOMSON GREEN,6.734
thomson_green,Thomson Green,14.0,27827.98,40177.841,42.815,40.163,40.163,,,THOMSON GREEN,6.195
thomson_green,Thomson Green,16.0,27829.946,40178.212,40.004,40.004,40.004,,,THOMSON GREEN,5.656
thomson_green,Thomson Green,18.0,27831.911,40178.583,39.444,39.512,39.512,,,THOMSON GREEN,5.116
thomson_green,Thomson Green,20.0,27833.876,40178.954,38.739,39.019,39.019,,,THOMSON GREEN,4.577
thomson_green,Thomson Green,22.0,27835.842,40179.325,38.241,38.527,38.527,,,THOMSON GREEN,4.038
thomson_green,Thomson Green,24.0,27837.807,40179.696,37.04,,38.034,,,THOMSON GREEN,3.499
thomson_green,Thomson Green,26.0,27839.772,40180.067,36.209,37.541,37.541,,,THOMSON GREEN,2.959
thomson_green,Thomson Green,28.0,27841.737,40180.438,35.634,37.049,37.049,,,THOMSON GREEN,2.42
thomson_green,Thomson Green,30.0,27843.703,40180.809,35.954,36.556,36.556,,,THOMSON GREEN,1.881
thomson_green,Thomson Green,32.0,27845.668,40181.18,36.064,36.064,36.064,,,THOMSON GREEN,1.342
thomson_green,Thomson Green,34.0,27847.59,40181.685,35.851,35.851,36.051,,,THOMSON GREEN,0.942
thomson_green,Thomson Green,36.0,27849.407,40182.522,36.051,36.051,36.019,,,THOMSON GREEN,0.886
thomson_green,Thomson Green,38.0,27851.223,40183.359,35.951,35.951,36.019,,,THOMSON GREEN,0.831
thomson_green,Thomson Green,40.0,27853.04,40184.196,35.634,36.019,36.051,,,THOMSON GREEN,0.775
thomson_green,Thomson Green,42.0,27854.856,40185.033,36.591,36.086,36.086,,,THOMSON GREEN,0.72
thomson_green,Thomson Green,44.0,27856.673,40185.87,37.895,36.154,36.154,,,THOMSON GREEN,0.664
thomson_green,Thomson Green,46.0,27858.489,40186.707,38.239,36.221,36.221,,,THOMSON GREEN,0.609
thomson_green,Thomson Green,48.0,27860.305,40187.544,37.699,36.289,36.289,,,THOMSON GREEN,0.553
thomson_green,Thomson Green,50.0,27862.122,40188.381,37.073,36.356,36.356,,,THOMSON GREEN,0.498
thomson_green,Thomson Green,52.0,27863.938,40189.218,36.244,36.423,36.423,,,THOMSON GREEN,0.442
thomson_green,Thomson Green,54.0,27865.755,40190.055,35.506,36.491,36.491,,,THOMSON GREEN,0.432
thomson_green,Thomson Green,56.0,27867.571,40190.892,35.631,36.558,36.558,,,THOMSON GREEN,0.548
thomson_green,Thomson Green,58.0,27869.388,40191.729,36.003,36.626,36.626,,,THOMSON GREEN,0.665
thomson_green,Thomson Green,60.0,27871.207,40192.559,36.693,36.693,36.693,,,THOMSON GREEN,0.773
thomson_green,Thomson Green,62.0,27873.049,40193.339,36.518,36.885,36.885,,,THOMSON GREEN,0.826
thomson_green,Thomson Green,64.0,27874.891,40194.118,37.076,37.076,36.983,4.205,1.0,THOMSON GREEN,0.88
thomson_green,Thomson Green,66.0,27876.733,40194.898,37.298,37.03,36.988,,,THOMSON GREEN,0.934
thomson_green,Thomson Green,68.0,27878.574,40195.678,36.983,36.983,37.03,,,THOMSON GREEN,0.988
thomson_green,Thomson Green,70.0,27880.412,40196.467,36.988,36.988,37.03,,,THOMSON GREEN,1.052
thomson_green,Thomson Green,72.0,27882.214,40197.334,36.983,37.217,37.217,,,THOMSON GREEN,1.201
thomson_green,Thomson Green,74.0,27884.016,40198.201,36.532,37.445,37.445,8.04,1.0,THOMSON GREEN,1.351
thomson_green,Thomson Green,76.0,27885.819,40199.068,36.676,37.673,37.673,,,THOMSON GREEN,1.5
thomson_green,Thomson Green,78.0,27887.621,40199.935,37.901,37.901,37.673,,,THOMSON GREEN,1.649
thomson_green,Thomson Green,80.0,27889.424,40200.801,37.907,37.728,37.673,,,THOMSON GREEN,1.798
thomson_green,Thomson Green,82.0,27891.226,40201.668,37.914,37.556,37.556,,,THOMSON GREEN,1.947
thomson_green,Thomson Green,84.0,27893.028,40202.535,38.407,37.342,37.342,,,THOMSON GREEN,2.097
thomson_green,Thomson Green,86.0,27894.831,40203.402,38.432,37.128,37.128,,,THOMSON GREEN,2.246
thomson_green,Thomson Green,88.0,27896.633,40204.269,36.5,36.914,36.914,,,THOMSON GREEN,2.395
thomson_green,Thomson Green,90.0,27898.436,40205.135,36.7,36.7,36.768,,,THOMSON GREEN,2.544
thomson_green,Thomson Green,92.0,27900.238,40206.002,36.625,36.625,36.768,,,THOMSON GREEN,2.694
thomson_green,Thomson Green,94.0,27902.04,40206.869,36.45,36.768,36.768,,,THOMSON GREEN,2.843
thomson_green,Thomson Green,96.0,27903.855,40207.707,36.75,36.91,36.91,,,THOMSON GREEN,2.96
thomson_green,Thomson Green,98.0,27905.724,40208.42,36.859,37.052,37.052,,,THOMSON GREEN,2.944
thomson_green,Thomson Green,100.0,27907.592,40209.134,36.725,37.324,37.324,,,THOMSON GREEN,2.927
thomson_green,Thomson Green,102.0,27909.46,40209.848,39.672,37.597,37.597,,,THOMSON GREEN,2.911
thomson_green,Thomson Green,104.0,27911.328,40210.562,38.584,37.87,37.597,,,THOMSON GREEN,2.895
thomson_green,Thomson Green,106.0,27913.196,40211.277,38.572,37.677,37.597,,,THOMSON GREEN,2.879
thomson_green,Thomson Green,108.0,27915.064,40211.993,38.566,37.485,37.485,,,THOMSON GREEN,2.866
thomson_green,Thomson Green,110.0,27916.931,40212.71,38.084,37.23,37.23,,,THOMSON GREEN,2.853
thomson_green,Thomson Green,112.0,27918.798,40213.427,38.384,36.975,36.975,,,THOMSON GREEN,2.839
thomson_green,Thomson Green,114.0,27920.665,40214.143,36.019,36.736,36.736,,,THOMSON GREEN,2.826
thomson_green,Thomson Green,116.0,27922.486,40214.967,36.019,36.497,36.497,,,THOMSON GREEN,2.929
thomson_green,Thomson Green,118.0,27924.282,40215.846,36.019,36.258,36.258,,,THOMSON GREEN,3.092
thomson_green,Thomson Green,120.0,27926.079,40216.724,36.019,36.019,36.176,,,THOMSON GREEN,3.255
thomson_green,Thomson Green,122.0,27927.876,40217.602,36.044,36.044,36.176,,,THOMSON GREEN,3.417
thomson_green,Thomson Green,124.0,27929.673,40218.48,37.95,36.176,36.176,,,THOMSON GREEN,3.58
thomson_green,Thomson Green,126.0,27931.444,40219.408,37.175,36.307,36.307,4.922,1.0,THOMSON GREEN,3.798
thomson_green,Thomson Green,128.0,27933.198,40220.37,37.184,36.438,36.438,,,THOMSON GREEN,4.055
thomson_green,Thomson Green,130.0,27934.951,40221.333,36.569,36.569,36.569,,,THOMSON GREEN,4.334
thomson_green,Thomson Green,132.0,27936.704,40222.295,36.569,36.569,36.569,,,THOMSON GREEN,4.739
thomson_green,Thomson Green,134.0,27938.457,40223.257,36.569,36.763,36.763,4.034,1.0,THOMSON GREEN,5.145
thomson_green,Thomson Green,136.0,27940.309,40223.989,36.957,36.957,36.892,4.034,1.0,THOMSON GREEN,5.301
thomson_green,Thomson Green,138.0,27942.218,40224.583,36.892,36.892,36.892,2.121,1.0,THOMSON GREEN,5.309
thomson_green,Thomson Green,140.0,27944.128,40225.178,37.067,37.067,36.892,0.208,1.0,THOMSON GREEN,5.317
thomson_green,Thomson Green,142.0,27946.037,40225.772,36.817,36.817,36.892,0.208,1.0,THOMSON GREEN,5.325
thomson_green,Thomson Green,144.0,27947.947,40226.366,36.834,36.834,36.909,0.208,1.0,THOMSON GREEN,5.332
thomson_green,Thomson Green,146.0,27949.88,40226.88,36.909,36.909,36.909,0.208,1.0,THOMSON GREEN,5.256
thomson_green,Thomson Green,148.0,27951.813,40227.395,37.142,37.142,36.909,,,THOMSON GREEN,5.181
thomson_green,Thomson Green,150.0,27953.746,40227.909,37.194,37.194,36.909,,,THOMSON GREEN,5.105
thomson_green,Thomson Green,152.0,27955.678,40228.423,37.519,36.898,36.898,-7.553,1.0,THOMSON GREEN,5.03
thomson_green,Thomson Green,154.0,27957.611,40228.938,36.305,36.601,36.601,-7.553,1.0,THOMSON GREEN,4.954
thomson_green,Thomson Green,156.0,27959.544,40229.452,36.305,36.305,36.305,,,THOMSON GREEN,4.879
thomson_green,Thomson Green,158.0,27961.452,40230.05,36.254,36.254,36.305,,,THOMSON GREEN,4.891
thomson_green,Thomson Green,160.0,27963.36,40230.651,36.254,36.254,36.305,,,THOMSON GREEN,4.906
thomson_green,Thomson Green,162.0,27965.267,40231.252,36.254,36.501,36.501,,,THOMSON GREEN,4.92
thomson_green,Thomson Green,164.0,27967.175,40231.853,36.305,36.747,36.747,,,THOMSON GREEN,4.935
thomson_green,Thomson Green,166.0,27969.082,40232.454,36.305,37.089,37.089,,,THOMSON GREEN,4.95
thomson_green,Thomson Green,168.0,27971.02,40232.779,36.354,37.432,37.432,,,THOMSON GREEN,4.692
thomson_green,Thomson Green,170.0,27973.011,40232.597,36.305,37.775,37.775,,,THOMSON GREEN,3.934
thomson_green,Thomson Green,172.0,27975.003,40232.416,36.254,38.118,37.907,,,THOMSON GREEN,3.176
thomson_green,Thomson Green,174.0,27976.995,40232.235,41.961,38.013,37.907,,,THOMSON GREEN,2.419
thomson_green,Thomson Green,176.0,27978.987,40232.054,41.936,37.907,37.907,,,THOMSON GREEN,1.661
thomson_green,Thomson Green,178.0,27980.979,40231.873,42.954,37.802,37.802,,,THOMSON GREEN,0.903
thomson_green,Thomson Green,180.0,27982.882,40232.405,42.929,37.697,37.697,,,THOMSON GREEN,0.854
thomson_green,Thomson Green,182.0,27984.768,40233.069,45.189,37.592,37.592,,,THOMSON GREEN,0.935
thomson_green,Thomson Green,184.0,27986.655,40233.733,45.735,37.486,37.486,,,THOMSON GREEN,1.016
thomson_green,Thomson Green,186.0,27988.541,40234.397,45.5,37.381,37.381,,,THOMSON GREEN,1.097
thomson_green,Thomson Green,188.0,27990.428,40235.06,45.51,37.276,37.276,,,THOMSON GREEN,1.178
thomson_green,Thomson Green,190.0,27992.315,40235.724,44.338,37.171,37.171,,,THOMSON GREEN,1.264
thomson_green,Thomson Green,192.0,27994.201,40236.388,40.052,37.065,37.065,,,THOMSON GREEN,1.35
thomson_green,Thomson Green,194.0,27996.088,40237.052,40.052,36.96,36.96,,,THOMSON GREEN,1.436
thomson_green,Thomson Green,196.0,27997.974,40237.716,40.078,36.855,36.855,,,THOMSON GREEN,1.522
thomson_green,Thomson Green,198.0,27999.861,40238.38,36.294,36.75,36.75,,,THOMSON GREEN,1.608
thomson_green,Thomson Green,200.0,28001.748,40239.044,36.644,36.644,36.644,,,THOMSON GREEN,1.694
thomson_green,Thomson Green,202.0,28003.634,40239.707,36.757,36.469,36.469,,,THOMSON GREEN,1.78
thomson_green,Thomson Green,204.0,28005.268,40239.088,36.294,36.294,36.469,-1.719,1.0,THOMSON GREEN,0.712
thomson_green,Thomson Green,206.0,28006.761,40237.758,36.294,36.294,36.469,,,THOMSON GREEN,0.995
thomson_green,Thomson Green,208.0,28008.255,40236.428,36.507,36.507,36.507,,,THOMSON GREEN,2.703
thomson_green,Thomson Green,210.0,28009.749,40235.098,36.507,36.507,36.507,5.313,1.0,THOMSON GREEN,3.875
