path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
thomson_heights,Thomson Heights,8.0,27818.019,39833.405,34.4,34.4,34.467,,,THOMSON HEIGHTS,7.953
thomson_heights,Thomson Heights,10.0,27819.129,39835.068,33.375,34.467,34.5,,,THOMSON HEIGHTS,6.001
thomson_heights,Thomson Heights,12.0,27820.239,39836.732,33.812,34.534,34.534,,,THOMSON HEIGHTS,4.049
thomson_heights,Thomson Heights,14.0,27819.936,39838.003,33.828,34.79,34.79,,,THOMSON HEIGHTS,3.389
thomson_heights,Thomson Heights,16.0,27818.127,39838.855,34.668,35.079,35.079,,,THOMSON HEIGHTS,4.106
thomson_heights,Thomson Heights,18.0,27816.317,39839.707,34.641,35.368,35.368,,,THOMSON HEIGHTS,4.823
thomson_heights,Thomson Heights,20.0,27814.508,39840.56,35.934,35.647,35.647,,,THOMSON HEIGHTS,5.54
thomson_heights,Thomson Heights,22.0,27812.699,39841.412,36.013,35.926,35.926,,,THOMSON HEIGHTS,6.258
thomson_heights,Thomson Heights,24.0,27810.89,39842.265,36.206,36.206,36.206,,,THOMSON HEIGHTS,6.975
thomson_heights,Thomson Heights,26.0,27809.08,39843.117,35.817,36.265,36.265,,,THOMSON HEIGHTS,7.692
thomson_heights,Thomson Heights,28.0,27807.271,39843.97,35.771,36.324,36.265,1.48,1.0,THOMSON HEIGHTS,8.409
thomson_heights,Thomson Heights,30.0,27805.462,39844.822,36.383,36.383,36.265,,,THOMSON HEIGHTS,9.126
thomson_heights,Thomson Heights,32.0,27803.653,39845.675,36.208,36.208,36.324,,,THOMSON HEIGHTS,9.843
thomson_heights,Thomson Heights,34.0,27801.844,39846.527,37.408,36.252,36.383,,,THOMSON HEIGHTS,10.56
thomson_heights,Thomson Heights,36.0,27800.034,39847.379,36.464,36.449,36.449,,,THOMSON HEIGHTS,11.278
thomson_heights,Thomson Heights,38.0,27798.225,39848.232,36.339,36.646,36.646,,,THOMSON HEIGHTS,11.995
thomson_heights,Thomson Heights,40.0,27796.416,39849.084,35.881,37.137,37.137,,,THOMSON HEIGHTS,12.712
thomson_heights,Thomson Heights,42.0,27794.607,39849.937,36.223,37.628,37.628,,,THOMSON HEIGHTS,13.429
thomson_heights,Thomson Heights,44.0,27792.797,39850.789,34.716,38.119,38.119,,,THOMSON HEIGHTS,14.146
thomson_heights,Thomson Heights,46.0,27790.988,39851.642,37.629,38.61,38.61,,,THOMSON HEIGHTS,14.863
thomson_heights,Thomson Heights,48.0,27789.179,39852.494,36.941,39.101,39.101,,,THOMSON HEIGHTS,15.58
thomson_heights,Thomson Heights,50.0,27787.37,39853.347,39.622,39.592,39.592,,,THOMSON HEIGHTS,16.298
thomson_heights,Thomson Heights,52.0,27785.56,39854.199,42.067,40.083,40.083,,,THOMSON HEIGHTS,17.015
thomson_heights,Thomson Heights,54.0,27783.751,39855.051,42.947,40.618,40.618,,,THOMSON HEIGHTS,17.732
thomson_heights,Thomson Heights,56.0,27781.942,39855.904,44.152,41.153,41.153,,,THOMSON HEIGHTS,18.449
thomson_heights,Thomson Heights,58.0,27780.133,39856.756,44.977,41.688,41.688,,,THOMSON HEIGHTS,19.167
thomson_heights,Thomson Heights,60.0,27778.323,39857.609,44.392,42.222,42.222,,,THOMSON HEIGHTS,19.884
thomson_heights,Thomson Heights,62.0,27776.514,39858.461,42.691,42.757,42.757,,,THOMSON HEIGHTS,20.601
thomson_heights,Thomson Heights,64.0,27774.705,39859.314,43.949,43.292,43.292,,,THOMSON HEIGHTS,21.318
thomson_heights,Thomson Heights,66.0,27772.896,39860.166,41.091,43.827,43.704,,,THOMSON HEIGHTS,22.036
thomson_heights,Thomson Heights,68.0,27771.087,39861.019,43.704,43.704,43.704,,,THOMSON HEIGHTS,22.753
thomson_heights,Thomson Heights,70.0,27769.277,39861.871,43.721,43.721,43.704,,,THOMSON HEIGHTS,23.47
thomson_heights,Thomson Heights,72.0,27767.468,39862.723,45.804,43.605,43.605,,,THOMSON HEIGHTS,24.187
thomson_heights,Thomson Heights,74.0,27765.659,39863.576,43.871,43.488,43.488,,,THOMSON HEIGHTS,24.904
thomson_heights,Thomson Heights,76.0,27763.85,39864.428,44.33,42.883,42.883,,,THOMSON HEIGHTS,25.622
thomson_heights,Thomson Heights,78.0,27762.04,39865.281,42.037,42.278,42.278,,,THOMSON HEIGHTS,26.339
thomson_heights,Thomson Heights,80.0,27760.231,39866.133,40.973,41.674,41.674,,,THOMSON HEIGHTS,27.056
thomson_heights,Thomson Heights,82.0,27758.422,39866.986,40.41,,41.069,,,THOMSON HEIGHTS,27.773
thomson_heights,Thomson Heights,84.0,27756.613,39867.838,39.66,,40.464,,,THOMSON HEIGHTS,28.491
thomson_heights,Thomson Heights,86.0,27754.803,39868.691,39.723,39.859,39.859,,,THOMSON HEIGHTS,29.208
thomson_heights,Thomson Heights,88.0,27752.994,39869.543,39.748,39.255,39.255,,,THOMSON HEIGHTS,29.925
thomson_heights,Thomson Heights,90.0,27751.185,39870.395,39.773,38.65,38.65,,,THOMSON HEIGHTS,30.642
thomson_heights,Thomson Heights,92.0,27749.376,39871.248,38.045,38.045,38.33,,,THOMSON HEIGHTS,31.36
thomson_heights,Thomson Heights,94.0,27747.566,39872.1,38.07,38.07,38.33,,,THOMSON HEIGHTS,32.077
thomson_heights,Thomson Heights,96.0,27745.757,39872.953,38.12,38.33,38.33,,,THOMSON HEIGHTS,32.794
thomson_heights,Thomson Heights,98.0,27743.948,39873.805,38.17,38.59,38.59,,,THOMSON HEIGHTS,33.511
thomson_heights,Thomson Heights,100.0,27742.139,39874.658,38.17,38.85,38.85,,,THOMSON HEIGHTS,34.228
thomson_heights,Thomson Heights,102.0,27740.33,39875.51,,39.109,39.109,,,THOMSON HEIGHTS,34.946
thomson_heights,Thomson Heights,104.0,27738.52,39876.363,,39.369,39.369,,,THOMSON HEIGHTS,35.663
thomson_heights,Thomson Heights,106.0,27736.711,39877.215,,39.658,39.658,,,THOMSON HEIGHTS,36.38
thomson_heights,Thomson Heights,108.0,27734.902,39878.067,,39.947,39.947,,,THOMSON HEIGHTS,37.097
thomson_heights,Thomson Heights,110.0,27733.093,39878.92,,40.237,40.237,,,THOMSON HEIGHTS,37.815
thomson_heights,Thomson Heights,162.0,27686.052,39901.084,38.382,40.526,40.526,,,THOMSON HEIGHTS,25.463
