path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
thomson_terrace,Thomson Terrace,0.0,27892.667,39880.754,33.653,32.602,32.602,,,THOMSON TERRACE,5.537
thomson_terrace,Thomson Terrace,2.0,27893.749,39879.072,33.21,32.602,32.602,,,THOMSON TERRACE,5.156
thomson_terrace,Thomson Terrace,4.0,27894.832,39877.391,32.602,32.602,32.602,,,THOMSON TERRACE,4.775
thomson_terrace,Thomson Terrace,6.0,27895.915,39875.709,32.688,32.688,32.602,,,THOMSON TERRACE,4.394
thomson_terrace,Thomson Terrace,8.0,27896.998,39874.028,32.653,32.653,32.602,,,THOMSON TERRACE,4.012
thomson_terrace,Thomson Terrace,10.0,27898.08,39872.346,33.395,32.409,32.409,,,THOMSON TERRACE,3.631
thomson_terrace,Thomson Terrace,12.0,27899.163,39870.664,33.086,32.165,32.165,,,THOMSON TERRACE,3.25
thomson_terrace,Thomson Terrace,14.0,27900.331,39869.044,32.266,31.921,31.921,,,THOMSON TERRACE,2.973
thomson_terrace,Thomson Terrace,16.0,27901.569,39867.473,32.686,31.677,31.677,,,THOMSON TERRACE,2.78
thomson_terrace,Thomson Terrace,18.0,27902.807,39865.902,32.045,31.433,31.433,,,THOMSON TERRACE,2.588
thomson_terrace,Thomson Terrace,20.0,27904.046,39864.332,31.218,31.189,31.189,,,THOMSON TERRACE,2.396
thomson_terrace,Thomson Terrace,22.0,27905.33,39862.8,31.768,30.945,30.945,,,THOMSON TERRACE,2.264
thomson_terrace,Thomson Terrace,24.0,27906.691,39861.335,32.573,30.701,30.701,,,THOMSON TERRACE,2.234
thomson_terrace,Thomson Terrace,26.0,27908.053,39859.87,31.178,30.457,30.457,,,THOMSON TERRACE,2.203
thomson_terrace,Thomson Terrace,28.0,27909.414,39858.405,31.963,30.213,30.213,,,THOMSON TERRACE,2.173
thomson_terrace,Thomson Terrace,30.0,27910.775,39856.94,29.756,29.969,29.969,,,THOMSON TERRACE,2.143
thomson_terrace,Thomson Terrace,32.0,27912.143,39855.481,29.725,29.725,29.725,,,THOMSON TERRACE,2.122
thomson_terrace,Thomson Terrace,34.0,27913.533,39854.043,31.644,29.584,29.584,,,THOMSON TERRACE,2.131
thomson_terrace,Thomson Terrace,36.0,27914.923,39852.604,30.619,29.443,29.443,,,THOMSON TERRACE,2.139
thomson_terrace,Thomson Terrace,38.0,27916.312,39851.166,29.388,29.301,29.301,,,THOMSON TERRACE,2.148
thomson_terrace,Thomson Terrace,40.0,27917.702,39849.727,29.469,29.16,29.16,,,THOMSON TERRACE,2.156
thomson_terrace,Thomson Terrace,42.0,27919.127,39848.324,29.019,29.019,29.019,,,THOMSON TERRACE,2.215
thomson_terrace,Thomson Terrace,44.0,27920.554,39846.923,28.919,28.919,28.963,,,THOMSON TERRACE,2.277
thomson_terrace,Thomson Terrace,46.0,27921.982,39845.522,28.838,28.838,28.963,-0.703,1.0,THOMSON TERRACE,2.339
thomson_terrace,Thomson Terrace,48.0,27923.409,39844.122,28.963,28.963,28.919,0.156,1.0,THOMSON TERRACE,2.401
thomson_terrace,Thomson Terrace,50.0,27924.837,39842.721,29.005,29.005,28.963,0.156,1.0,THOMSON TERRACE,2.463
thomson_terrace,Thomson Terrace,52.0,27925.923,39841.655,28.915,28.915,28.975,0.703,1.0,THOMSON TERRACE,2.51
thomson_terrace,Thomson Terrace,54.0,27924.496,39843.057,29.035,29.035,28.975,0.907,1.0,THOMSON TERRACE,2.449
thomson_terrace,Thomson Terrace,56.0,27923.07,39844.459,28.975,28.975,28.975,,,THOMSON TERRACE,2.389
thomson_terrace,Thomson Terrace,58.0,27921.643,39845.861,28.863,28.863,29.035,,,THOMSON TERRACE,2.328
thomson_terrace,Thomson Terrace,60.0,27920.217,39847.263,28.931,29.051,29.051,,,THOMSON TERRACE,2.268
thomson_terrace,Thomson Terrace,62.0,27918.79,39848.664,29.056,29.309,29.309,,,THOMSON TERRACE,2.207
thomson_terrace,Thomson Terrace,64.0,27917.364,39850.066,29.556,29.568,29.568,,,THOMSON TERRACE,2.146
thomson_terrace,Thomson Terrace,66.0,27915.937,39851.468,30.481,29.867,29.867,,,THOMSON TERRACE,2.086
thomson_terrace,Thomson Terrace,68.0,27914.511,39852.87,30.525,30.167,30.167,,,THOMSON TERRACE,2.025
thomson_terrace,Thomson Terrace,70.0,27913.084,39854.272,31.488,30.466,30.466,,,THOMSON TERRACE,1.965
thomson_terrace,Thomson Terrace,72.0,27911.658,39855.674,29.694,30.765,30.765,,,THOMSON TERRACE,1.904
thomson_terrace,Thomson Terrace,74.0,27910.231,39857.075,30.05,31.065,31.065,,,THOMSON TERRACE,1.844
thomson_terrace,Thomson Terrace,76.0,27908.805,39858.477,32.018,31.244,31.244,,,THOMSON TERRACE,1.783
thomson_terrace,Thomson Terrace,78.0,27907.378,39859.879,31.268,31.424,31.424,,,THOMSON TERRACE,1.723
