path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,2.0,28427.671,38692.904,,,,,,ANG MO KIO AVENUE 1,18.148
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,4.0,28429.501,38692.097,,,,,,ANG MO KIO AVENUE 1,18.002
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,6.0,28431.331,38691.29,,,,,,ANG MO KIO AVENUE 1,17.856
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,8.0,28433.161,38690.483,,,,,,ANG MO KIO AVENUE 1,17.709
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,10.0,28434.991,38689.677,,,,,,ANG MO KIO AVENUE 1,17.563
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,12.0,28436.821,38688.87,,,,,,ANG MO KIO AVENUE 1,17.417
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,14.0,28438.651,38688.063,,,,,,ANG MO KIO AVENUE 1,17.271
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,16.0,28440.561,38687.471,,,,,,ANG MO KIO AVENUE 1,17.353
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,18.0,28442.473,38686.884,,,,,,ANG MO KIO AVENUE 1,17.442
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,20.0,28444.385,38686.298,,,,,,ANG MO KIO AVENUE 1,17.532
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,22.0,28446.268,38685.623,,,,,,ANG MO KIO AVENUE 1,17.527
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,24.0,28448.149,38684.944,,,,,,ANG MO KIO AVENUE 1,17.519
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,26.0,28450.031,38684.266,,,,,,ANG MO KIO AVENUE 1,17.511
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,28.0,28451.912,38683.587,,,,,,ANG MO KIO AVENUE 1,17.503
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,30.0,28453.793,38682.908,,,,,,ANG MO KIO AVENUE 1,17.494
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,32.0,28455.675,38682.23,,,,,,ANG MO KIO AVENUE 1,17.486
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,34.0,28457.556,38681.551,,,,,,ANG MO KIO AVENUE 1,17.478
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,36.0,28459.437,38680.872,,,,,,ANG MO KIO AVENUE 1,17.47
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,38.0,28461.319,38680.194,,,,,,ANG MO KIO AVENUE 1,17.462
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,40.0,28463.2,38679.515,,,,,,ANG MO KIO AVENUE 1,17.453
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,42.0,28465.081,38678.836,,,,,,ANG MO KIO AVENUE 1,17.445
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,44.0,28466.963,38678.158,,,,,,ANG MO KIO AVENUE 1,17.437
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,46.0,28468.844,38677.479,,,,,,ANG MO KIO AVENUE 1,17.429
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,48.0,28470.725,38676.801,,,,,,ANG MO KIO AVENUE 1,17.421
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,50.0,28472.645,38676.242,,,,,,ANG MO KIO AVENUE 1,17.539
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,52.0,28474.573,38675.71,,,,,,ANG MO KIO AVENUE 1,17.684
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,54.0,28476.501,38675.178,,,,,,ANG MO KIO AVENUE 1,17.83
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,56.0,28478.429,38674.646,,,,,,ANG MO KIO AVENUE 1,17.975
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,58.0,28480.357,38674.114,,,,,,ANG MO KIO AVENUE 1,18.121
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,60.0,28482.285,38673.582,,,,,,ANG MO KIO AVENUE 1,18.266
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,62.0,28484.22,38673.079,,,,,,ANG MO KIO AVENUE 1,18.442
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,64.0,28486.158,38672.582,,,,,,ANG MO KIO AVENUE 1,18.624
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,66.0,28488.095,38672.085,,,,,,ANG MO KIO AVENUE 1,18.805
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,68.0,28490.032,38671.588,,,,,,ANG MO KIO AVENUE 1,18.987
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,70.0,28491.97,38671.091,,,,,,ANG MO KIO AVENUE 1,19.169
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,72.0,28493.901,38670.574,,,,,,ANG MO KIO AVENUE 1,19.33
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,74.0,28495.8,38669.947,,,,,,ANG MO KIO AVENUE 1,19.376
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,76.0,28497.699,38669.32,,,,,,ANG MO KIO AVENUE 1,19.423
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,78.0,28499.598,38668.694,,,,,,ANG MO KIO AVENUE 1,19.469
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,80.0,28501.498,38668.067,,,,,,ANG MO KIO AVENUE 1,19.516
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,82.0,28503.397,38667.44,,,,,,ANG MO KIO AVENUE 1,19.562
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,84.0,28505.296,38666.813,,,,,,ANG MO KIO AVENUE 1,19.609
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,86.0,28507.195,38666.186,,,,,,ANG MO KIO AVENUE 1,19.655
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,88.0,28509.094,38665.559,,,,,,ANG MO KIO AVENUE 1,19.702
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,90.0,28510.994,38664.932,,,,,,ANG MO KIO AVENUE 1,19.748
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,92.0,28512.893,38664.305,,,,,,ANG MO KIO AVENUE 1,19.795
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,94.0,28514.792,38663.678,,,,,,ANG MO KIO AVENUE 1,19.841
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,96.0,28516.713,38663.156,,,,,,ANG MO KIO AVENUE 1,19.994
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,98.0,28518.703,38662.955,,,,,,ANG MO KIO AVENUE 1,20.472
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,100.0,28520.693,38662.754,,,,,,ANG MO KIO AVENUE 1,20.951
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,102.0,28522.683,38662.553,,,,,,ANG MO KIO AVENUE 1,21.429
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,104.0,28524.673,38662.353,,,,,,ANG MO KIO AVENUE 1,21.907
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,106.0,28526.663,38662.152,,,,,,ANG MO KIO AVENUE 1,22.386
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,108.0,28528.604,38661.766,,,,,,ANG MO KIO AVENUE 1,22.674
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,110.0,28530.437,38660.965,,,,,,ANG MO KIO AVENUE 1,22.534
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,112.0,28532.269,38660.163,,,,,,ANG MO KIO AVENUE 1,22.393
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,114.0,28534.097,38659.353,,,,,,ANG MO KIO AVENUE 1,22.243
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,116.0,28535.773,38658.261,,,,,,ANG MO KIO AVENUE 1,21.777
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,118.0,28537.449,38657.17,,,,,,ANG MO KIO AVENUE 1,21.311
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,120.0,28539.125,38656.079,,,,,,ANG MO KIO AVENUE 1,20.845
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,122.0,28540.801,38654.988,,,,,,ANG MO KIO AVENUE 1,20.38
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,124.0,28542.477,38653.897,,,,,,ANG MO KIO AVENUE 1,19.914
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,126.0,28544.161,38652.82,,,,,,ANG MO KIO AVENUE 1,19.465
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,128.0,28545.982,38651.992,,,,,,ANG MO KIO AVENUE 1,19.296
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,130.0,28547.802,38651.165,,,,,,ANG MO KIO AVENUE 1,19.127
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,132.0,28549.623,38650.337,,,,,,ANG MO KIO AVENUE 1,18.958
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,134.0,28551.444,38649.509,,,,,,ANG MO KIO AVENUE 1,18.789
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,136.0,28553.335,38648.862,,,,,,ANG MO KIO AVENUE 1,18.814
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,138.0,28555.233,38648.232,,,,,,ANG MO KIO AVENUE 1,18.856
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,140.0,28557.131,38647.601,,,,,,ANG MO KIO AVENUE 1,18.899
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,142.0,28559.029,38646.971,,,,,,ANG MO KIO AVENUE 1,18.942
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,144.0,28560.928,38646.34,,,,,,ANG MO KIO AVENUE 1,18.985
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,146.0,28562.785,38645.606,,,,,,ANG MO KIO AVENUE 1,18.916
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,148.0,28564.614,38644.797,,,,,,ANG MO KIO AVENUE 1,18.768
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,150.0,28566.444,38643.988,,,,,,ANG MO KIO AVENUE 1,18.619
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,152.0,28568.273,38643.179,,,,,,ANG MO KIO AVENUE 1,18.471
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,154.0,28570.102,38642.37,,,,,,ANG MO KIO AVENUE 1,18.322
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,156.0,28571.931,38641.561,,,,,,ANG MO KIO AVENUE 1,18.174
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,158.0,28573.825,38640.926,,,,,,ANG MO KIO AVENUE 1,18.211
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,160.0,28575.734,38640.329,,,,,,ANG MO KIO AVENUE 1,18.289
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,162.0,28577.643,38639.731,,,,,,ANG MO KIO AVENUE 1,18.366
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,164.0,28579.551,38639.133,,,,,,ANG MO KIO AVENUE 1,18.443
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,166.0,28581.46,38638.536,,,,,,ANG MO KIO AVENUE 1,18.521
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,168.0,28583.32,38637.818,,,,,,ANG MO KIO AVENUE 1,18.468
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,170.0,28585.107,38636.919,,,,,,ANG MO KIO AVENUE 1,18.221
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,172.0,28586.894,38636.021,,,,,,ANG MO KIO AVENUE 1,17.974
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,174.0,28588.68,38635.123,,,,,,ANG MO KIO AVENUE 1,17.727
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,176.0,28590.495,38634.285,,,,,,ANG MO KIO AVENUE 1,17.547
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,178.0,28592.337,38633.506,,,,,,ANG MO KIO AVENUE 1,17.431
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,180.0,28594.18,38632.727,,,,,,ANG MO KIO AVENUE 1,17.316
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,182.0,28596.022,38631.949,,,,,,ANG MO KIO AVENUE 1,17.2
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,184.0,28597.864,38631.17,,,,,,ANG MO KIO AVENUE 1,17.085
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,186.0,28599.696,38630.368,,,,,,ANG MO KIO AVENUE 1,16.944
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,188.0,28601.518,38629.544,,,,,,ANG MO KIO AVENUE 1,16.779
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,190.0,28603.341,38628.72,,,,,,ANG MO KIO AVENUE 1,16.614
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,192.0,28605.163,38627.896,,,,,,ANG MO KIO AVENUE 1,16.448
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,194.0,28606.985,38627.071,,,,,,ANG MO KIO AVENUE 1,16.283
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,196.0,28608.85,38626.354,,,,,,ANG MO KIO AVENUE 1,16.233
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,198.0,28610.739,38625.695,,,,,,ANG MO KIO AVENUE 1,16.246
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,200.0,28612.627,38625.037,,,,,,ANG MO KIO AVENUE 1,16.259
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,202.0,28614.516,38624.378,,,,,,ANG MO KIO AVENUE 1,16.273
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,204.0,28616.404,38623.72,,,10.394,,,ANG MO KIO AVENUE 1,16.286
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,206.0,28618.276,38623.016,,,10.394,,,ANG MO KIO AVENUE 1,16.251
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,208.0,28620.148,38622.312,,,10.394,0.0,1.0,ANG MO KIO AVENUE 1,16.215
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,210.0,28622.02,38621.608,,10.394,10.394,0.0,1.0,ANG MO KIO AVENUE 1,16.18
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,212.0,28623.892,38620.904,,10.394,10.394,0.0,1.0,ANG MO KIO AVENUE 1,16.145
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,214.0,28625.764,38620.2,,10.394,10.394,0.0,1.0,ANG MO KIO AVENUE 1,16.11
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,216.0,28627.644,38619.518,,10.394,10.394,0.0,1.0,ANG MO KIO AVENUE 1,16.098
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,218.0,28629.534,38618.863,,10.394,10.394,0.0,1.0,ANG MO KIO AVENUE 1,16.115
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,220.0,28631.423,38618.208,,10.394,10.394,0.0,1.0,ANG MO KIO AVENUE 1,16.131
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,222.0,28633.313,38617.553,,10.394,10.394,0.0,1.0,ANG MO KIO AVENUE 1,16.148
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,224.0,28635.203,38616.897,,10.394,10.394,0.0,1.0,ANG MO KIO AVENUE 1,16.165
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,226.0,28637.092,38616.242,,10.394,10.394,0.0,1.0,ANG MO KIO AVENUE 1,16.182
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,228.0,28638.983,38615.59,,10.394,10.394,0.0,1.0,ANG MO KIO AVENUE 1,16.201
ang_mo_kio_avenue_1,Ang Mo Kio Avenue 1,230.0,28640.88,38614.956,,10.394,10.394,0.0,1.0,ANG MO KIO AVENUE 1,16.241
