path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
ang_mo_kio_avenue_1,1,Ang Mo Kio Avenue 1_Cam4_20251231_072559_299_A.jpeg,,14.054,7.027,8.0,,,
ang_mo_kio_avenue_1,2,Ang Mo Kio Avenue 1_Cam4_20251231_072606_506_A.jpeg,,20.078,17.066,18.0,,,
ang_mo_kio_avenue_1,3,Ang Mo Kio Avenue 1_Cam4_20251231_072608_909_A.jpeg,,48.357,34.218,34.0,,,
ang_mo_kio_avenue_1,4,Ang Mo Kio Avenue 1_Cam4_20251231_072619_720_A.jpeg,,60.328,54.343,54.0,,,
ang_mo_kio_avenue_1,5,Ang Mo Kio Avenue 1_Cam4_20251231_072624_524_A.jpeg,,71.69,66.009,66.0,,,
ang_mo_kio_avenue_1,6,Ang Mo Kio Avenue 1_Cam4_20251231_072628_731_A.jpeg,,95.51,83.6,84.0,,,
ang_mo_kio_avenue_1,7,Ang Mo Kio Avenue 1_Cam4_20251231_072637_613_A.jpeg,,107.385,101.447,102.0,,,
ang_mo_kio_avenue_1,8,Ang Mo Kio Avenue 1_Cam4_20251231_072642_418_A.jpeg,,113.937,110.661,110.0,,,
ang_mo_kio_avenue_1,9,Ang Mo Kio Avenue 1_Cam4_20251231_072644_820_A.jpeg,,125.889,119.913,120.0,,,
ang_mo_kio_avenue_1,10,Ang Mo Kio Avenue 1_Cam4_20251231_072648_425_A.jpeg,,134.171,130.03,130.0,,,
ang_mo_kio_avenue_1,11,Ang Mo Kio Avenue 1_Cam4_20251231_072650_827_A.jpeg,,144.833,139.502,140.0,,,
ang_mo_kio_avenue_1,12,Ang Mo Kio Avenue 1_Cam4_20251231_072654_435_A.jpeg,,156.352,150.593,150.0,,,
ang_mo_kio_avenue_1,13,Ang Mo Kio Avenue 1_Cam4_20251231_072658_039_A.jpeg,,167.198,161.775,162.0,,,
ang_mo_kio_avenue_1,14,Ang Mo Kio Avenue 1_Cam4_20251231_072701_517_A.jpeg,,174.986,171.092,172.0,,,
ang_mo_kio_avenue_1,15,Ang Mo Kio Avenue 1_Cam4_20251231_072703_919_A.jpeg,,185.004,179.995,180.0,,,
ang_mo_kio_avenue_1,16,Ang Mo Kio Avenue 1_Cam4_20251231_072706_921_A.jpeg,,194.715,189.86,190.0,,,
ang_mo_kio_avenue_1,17,Ang Mo Kio Avenue 1_Cam4_20251231_072709_924_A.jpeg,,203.99,199.352,200.0,,,
