path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
bishan_street_12,1,Bishan Street 12_Cam4_20260102_075507_848_A.jpeg,,12.746,6.373,6.0,11.287,,
bishan_street_12,2,Bishan Street 12_Cam4_20260102_075512_656_A.jpeg,,23.714,18.23,18.0,11.116,,
bishan_street_12,3,Bishan Street 12_Cam4_20260102_075516_862_A.jpeg,,46.52,35.117,36.0,10.983,,
bishan_street_12,4,Bishan Street 12_Cam4_20260102_075524_670_A.jpeg,,56.78,51.65,52.0,11.954,,
bishan_street_12,5,Bishan Street 12_Cam4_20260102_075528_274_A.jpeg,,69.69,63.235,64.0,11.508,,
bishan_street_12,6,Bishan Street 12_Cam4_20260102_075533_080_A.jpeg,,80.289,74.99,74.0,11.189,,
bishan_street_12,7,Bishan Street 12_Cam4_20260102_075536_685_A.jpeg,,103.673,91.981,92.0,11.633,2.031,1.0
bishan_street_12,8,Bishan Street 12_Cam4_20260102_075544_378_A.jpeg,,117.036,110.355,110.0,12.024,,
bishan_street_12,9,Bishan Street 12_Cam4_20260102_075549_182_A.jpeg,,122.726,119.881,120.0,11.946,-0.391,1.0
bishan_street_12,10,Bishan Street 12_Cam4_20260102_075551_593_A.jpeg,,133.503,128.114,128.0,11.914,,
bishan_street_12,11,Bishan Street 12_Cam4_20260102_075555_801_A.jpeg,,145.472,139.488,140.0,11.853,,
bishan_street_12,12,Bishan Street 12_Cam4_20260102_075559_972_A.jpeg,,156.133,150.803,150.0,12.264,9.794,2.0
bishan_street_12,13,Bishan Street 12_Cam4_20260102_075603_575_A.jpeg,,178.951,167.542,168.0,12.895,,
bishan_street_12,14,Bishan Street 12_Cam4_20260102_075613_188_A.jpeg,,187.874,183.413,184.0,11.571,2.188,1.0
bishan_street_12,15,Bishan Street 12_Cam4_20260102_075616_191_A.jpeg,,202.121,194.998,194.0,11.721,0.937,1.0
bishan_street_12,16,Bishan Street 12_Cam4_20260102_075620_997_A.jpeg,,224.536,213.328,214.0,11.871,0.937,1.0
bishan_street_12,17,Bishan Street 12_Cam4_20260102_075628_207_A.jpeg,,235.062,229.799,230.0,12.046,1.25,1.0
bishan_street_12,18,Bishan Street 12_Cam4_20260102_075631_810_A.jpeg,,247.494,241.278,242.0,12.171,0.938,1.0
bishan_street_12,19,Bishan Street 12_Cam4_20260102_075636_013_A.jpeg,,254.859,251.177,252.0,12.246,0.937,1.0
bishan_street_12,20,Bishan Street 12_Cam4_20260102_075638_417_A.jpeg,,282.228,268.544,268.0,12.371,1.25,1.0
bishan_street_12,21,Bishan Street 12_Cam4_20260102_075647_426_A.jpeg,,290.127,286.177,286.0,12.546,1.25,1.0
bishan_street_12,22,Bishan Street 12_Cam4_20260102_075649_827_A.jpeg,,304.451,297.289,298.0,12.721,0.937,1.0
bishan_street_12,23,Bishan Street 12_Cam4_20260102_075654_632_A.jpeg,,311.265,307.858,308.0,12.884,,
bishan_street_12,24,Bishan Street 12_Cam4_20260102_075657_035_A.jpeg,,337.698,324.482,324.0,13.196,,
bishan_street_12,25,Bishan Street 12_Cam4_20260102_075705_449_A.jpeg,,349.318,343.508,344.0,13.246,-0.312,1.0
bishan_street_12,26,Bishan Street 12_Cam4_20260102_075709_052_A.jpeg,,358.122,353.72,354.0,13.171,-1.146,1.0
bishan_street_12,27,Bishan Street 12_Cam4_20260102_075712_057_A.jpeg,,384.129,371.125,372.0,13.021,-0.313,1.0
bishan_street_12,28,Bishan Street 12_Cam4_20260102_075720_463_A.jpeg,,396.244,390.186,390.0,12.846,0.625,1.0
bishan_street_12,29,Bishan Street 12_Cam4_20260102_075724_067_A.jpeg,,403.151,399.697,400.0,12.896,0.313,1.0
bishan_street_12,30,Bishan Street 12_Cam4_20260102_075726_470_A.jpeg,,414.721,408.936,408.0,12.921,-0.937,1.0
bishan_street_12,31,Bishan Street 12_Cam4_20260102_075730_673_A.jpeg,,424.233,419.477,420.0,12.096,-6.875,1.0
bishan_street_12,32,Bishan Street 12_Cam4_20260102_075733_075_A.jpeg,,434.278,429.256,430.0,11.621,-2.5,1.0
bishan_street_12,33,Bishan Street 12_Cam4_20260102_075735_446_A.jpeg,,444.782,439.53,440.0,11.296,-2.5,1.0
bishan_street_12,34,Bishan Street 12_Cam4_20260102_075738_449_A.jpeg,,485.753,465.267,466.0,10.046,-2.813,1.0
bishan_street_12,35,Bishan Street 12_Cam4_20260102_075750_408_A.jpeg,,497.13,491.441,492.0,10.733,,
bishan_street_12,36,Bishan Street 12_Cam4_20260102_075753_410_A.jpeg,,507.903,502.516,502.0,9.65,,
bishan_street_12,37,Bishan Street 12_Cam4_20260102_075756_414_A.jpeg,,533.587,520.745,520.0,8.687,-1.25,1.0
bishan_street_12,38,Bishan Street 12_Cam4_20260102_075817_432_A.jpeg,,545.287,539.437,540.0,9.623,,
bishan_street_12,39,Bishan Street 12_Cam4_20260102_075821_637_A.jpeg,,554.508,549.897,550.0,9.868,,
bishan_street_12,40,Bishan Street 12_Cam4_20260102_075824_640_A.jpeg,,562.328,558.418,558.0,8.737,,
bishan_street_12,41,Bishan Street 12_Cam4_20260102_075827_041_A.jpeg,,589.425,575.876,576.0,8.612,-0.625,1.0
