path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
bishan_street_13,Bishan Street 13,0.0,30105.596,37014.114,7.429,7.865,7.865,,,BISHAN STREET 13,13.758
bishan_street_13,Bishan Street 13,2.0,30103.651,37014.579,7.865,7.865,7.835,,,BISHAN STREET 13,13.8
bishan_street_13,Bishan Street 13,4.0,30101.706,37015.043,7.533,7.806,7.806,,,BISHAN STREET 13,13.841
bishan_street_13,Bishan Street 13,6.0,30099.76,37015.508,7.747,7.747,7.747,,,BISHAN STREET 13,13.882
bishan_street_13,Bishan Street 13,8.0,30097.815,37015.973,7.972,7.701,7.701,,,BISHAN STREET 13,13.923
bishan_street_13,Bishan Street 13,10.0,30095.87,37016.438,7.118,7.656,7.656,-1.964,1.0,BISHAN STREET 13,13.965
bishan_street_13,Bishan Street 13,12.0,30093.921,37016.888,7.34,7.623,7.623,,,BISHAN STREET 13,13.991
bishan_street_13,Bishan Street 13,14.0,30091.965,37017.304,7.59,7.59,7.59,,,BISHAN STREET 13,13.982
bishan_street_13,Bishan Street 13,16.0,30090.009,37017.72,7.384,7.313,7.313,,,BISHAN STREET 13,13.973
bishan_street_13,Bishan Street 13,18.0,30088.053,37018.136,7.037,7.037,7.195,,,BISHAN STREET 13,13.964
bishan_street_13,Bishan Street 13,20.0,30086.096,37018.552,6.922,6.922,7.195,,,BISHAN STREET 13,13.955
bishan_street_13,Bishan Street 13,22.0,30084.39,37017.588,6.882,7.195,7.195,,,BISHAN STREET 13,12.651
bishan_street_13,Bishan Street 13,24.0,30082.703,37016.512,7.468,7.468,7.468,,,BISHAN STREET 13,11.242
bishan_street_13,Bishan Street 13,26.0,30084.191,37015.965,7.54,7.669,7.669,,,BISHAN STREET 13,11.023
bishan_street_13,Bishan Street 13,28.0,30086.134,37015.493,7.284,7.87,7.87,,,BISHAN STREET 13,10.975
bishan_street_13,Bishan Street 13,30.0,30088.078,37015.022,8.2,8.025,8.025,,,BISHAN STREET 13,10.927
bishan_street_13,Bishan Street 13,32.0,30090.021,37014.55,8.025,8.179,8.179,,,BISHAN STREET 13,10.878
bishan_street_13,Bishan Street 13,34.0,30091.965,37014.079,8.112,8.334,8.334,,,BISHAN STREET 13,10.83
bishan_street_13,Bishan Street 13,36.0,30093.909,37013.607,8.643,8.388,8.334,,,BISHAN STREET 13,10.782
bishan_street_13,Bishan Street 13,38.0,30095.852,37013.136,9.262,8.442,8.334,,,BISHAN STREET 13,10.734
bishan_street_13,Bishan Street 13,40.0,30097.796,37012.664,8.462,8.24,8.24,,,BISHAN STREET 13,10.686
bishan_street_13,Bishan Street 13,42.0,30099.739,37012.192,8.806,7.945,7.945,,,BISHAN STREET 13,10.637
bishan_street_13,Bishan Street 13,44.0,30101.683,37011.721,8.103,7.586,7.586,,,BISHAN STREET 13,10.589
bishan_street_13,Bishan Street 13,46.0,30103.627,37011.249,7.672,7.227,7.227,,,BISHAN STREET 13,10.541
bishan_street_13,Bishan Street 13,48.0,30105.57,37010.778,7.434,6.929,6.929,,,BISHAN STREET 13,10.493
bishan_street_13,Bishan Street 13,50.0,30107.514,37010.306,7.368,6.632,6.632,,,BISHAN STREET 13,10.445
bishan_street_13,Bishan Street 13,72.0,30128.894,37005.119,5.337,6.334,6.334,,,BISHAN STREET 13,9.994
bishan_street_13,Bishan Street 13,74.0,30130.837,37004.647,5.398,6.036,6.036,,,BISHAN STREET 13,9.962
bishan_street_13,Bishan Street 13,76.0,30132.781,37004.176,5.739,5.739,6.036,,,BISHAN STREET 13,9.93
bishan_street_13,Bishan Street 13,78.0,30134.724,37003.704,5.905,6.014,6.036,,,BISHAN STREET 13,9.897
bishan_street_13,Bishan Street 13,80.0,30136.668,37003.233,6.16,6.289,6.289,,,BISHAN STREET 13,9.865
bishan_street_13,Bishan Street 13,82.0,30138.612,37002.761,6.066,6.564,6.564,,,BISHAN STREET 13,9.832
bishan_street_13,Bishan Street 13,84.0,30140.555,37002.289,6.647,6.839,6.839,,,BISHAN STREET 13,9.8
bishan_street_13,Bishan Street 13,86.0,30142.499,37001.818,6.844,7.121,7.121,,,BISHAN STREET 13,9.768
bishan_street_13,Bishan Street 13,88.0,30144.442,37001.346,8.328,7.403,7.403,,,BISHAN STREET 13,9.735
bishan_street_13,Bishan Street 13,90.0,30146.406,37000.965,9.841,7.684,7.684,,,BISHAN STREET 13,9.795
bishan_street_13,Bishan Street 13,92.0,30148.369,37000.585,7.966,7.966,7.966,,,BISHAN STREET 13,9.857
bishan_street_13,Bishan Street 13,94.0,30150.333,37000.205,7.166,8.079,8.079,,,BISHAN STREET 13,9.918
