path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
fulton_avenue,1,Fulton Avenue_Cam4_20260103_085117_355_B.jpeg,,12.381,6.19,6.0,17.423,,
fulton_avenue,2,Fulton Avenue_Cam4_20260103_085121_560_B.jpeg,,20.594,16.487,16.0,17.607,1.406,1.0
fulton_avenue,3,Fulton Avenue_Cam4_20260103_085124_565_B.jpeg,,30.093,25.344,26.0,17.607,-1.406,1.0
fulton_avenue,4,Fulton Avenue_Cam4_20260103_085127_579_B.jpeg,,41.305,35.699,36.0,17.704,,
fulton_avenue,5,Fulton Avenue_Cam4_20260103_085131_054_B.jpeg,,50.671,45.988,46.0,18.877,,
fulton_avenue,6,Fulton Avenue_Cam4_20260103_085134_660_B.jpeg,,60.482,55.576,56.0,19.253,,
fulton_avenue,7,Fulton Avenue_Cam4_20260103_085138_865_B.jpeg,,70.382,65.432,66.0,19.19,,
fulton_avenue,8,Fulton Avenue_Cam4_20260103_085143_071_B.jpeg,,80.217,75.299,76.0,18.803,,
fulton_avenue,9,Fulton Avenue_Cam4_20260103_085147_276_B.jpeg,,91.882,86.049,86.0,18.709,,
fulton_avenue,10,Fulton Avenue_Cam4_20260103_085157_498_B.jpeg,,104.029,97.955,98.0,18.811,,
fulton_avenue,11,Fulton Avenue_Cam4_20260103_085201_702_B.jpeg,,128.315,116.172,116.0,17.862,,
fulton_avenue,12,Fulton Avenue_Cam4_20260103_085209_511_B.jpeg,,141.88,135.098,136.0,17.081,,
fulton_avenue,13,Fulton Avenue_Cam4_20260103_085213_114_B.jpeg,,148.238,145.059,146.0,16.682,-5.015,1.0
fulton_avenue,14,Fulton Avenue_Cam4_20260103_085214_915_B.jpeg,,158.526,153.382,154.0,16.505,,
fulton_avenue,15,Fulton Avenue_Cam4_20260103_085217_918_B.jpeg,,168.886,163.706,164.0,16.63,,
fulton_avenue,16,Fulton Avenue_Cam4_20260103_085220_920_B.jpeg,,179.339,174.112,174.0,16.389,,
fulton_avenue,17,Fulton Avenue_Cam4_20260103_085223_924_B.jpeg,,189.012,184.175,184.0,15.276,,
fulton_avenue,18,Fulton Avenue_Cam4_20260103_085226_326_B.jpeg,,200.302,194.657,194.0,14.619,,
fulton_avenue,19,Fulton Avenue_Cam4_20260103_085228_735_B.jpeg,,208.17,204.236,204.0,14.195,,
fulton_avenue,20,Fulton Avenue_Cam4_20260103_085230_537_B.jpeg,,221.584,214.877,214.0,13.97,,
fulton_avenue,21,Fulton Avenue_Cam4_20260103_085234_743_B.jpeg,,227.434,224.509,224.0,15.102,,
fulton_avenue,22,Fulton Avenue_Cam4_20260103_085236_544_B.jpeg,,239.046,233.24,234.0,14.284,,
fulton_avenue,23,Fulton Avenue_Cam4_20260103_085240_147_B.jpeg,,247.96,243.503,244.0,14.29,8.65,1.0
fulton_avenue,24,Fulton Avenue_Cam4_20260103_085243_155_B.jpeg,,258.165,253.062,254.0,14.778,,
fulton_avenue,25,Fulton Avenue_Cam4_20260103_085246_757_B.jpeg,,267.981,263.073,264.0,14.022,,
fulton_avenue,26,Fulton Avenue_Cam4_20260103_085250_962_B.jpeg,,328.58,298.281,298.0,15.846,,
fulton_avenue,27,Fulton Avenue_Cam4_20260103_085319_194_B.jpeg,,338.319,333.45,334.0,11.506,,
fulton_avenue,28,Fulton Avenue_Cam4_20260103_085321_597_B.jpeg,,571.317,454.818,454.0,20.813,,
