path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
island_club_road,Island Club Road,4.0,27304.167,38138.975,22.37,21.29,21.29,,,ISLAND CLUB ROAD,9.529
island_club_road,Island Club Road,6.0,27303.656,38140.909,22.57,21.29,21.29,,,ISLAND CLUB ROAD,7.619
island_club_road,Island Club Road,8.0,27303.144,38142.842,22.513,21.29,21.29,,,ISLAND CLUB ROAD,5.71
island_club_road,Island Club Road,10.0,27302.632,38144.776,21.29,21.29,21.29,,,ISLAND CLUB ROAD,3.801
island_club_road,Island Club Road,12.0,27301.555,38145.932,21.033,21.484,21.484,,,ISLAND CLUB ROAD,2.693
island_club_road,Island Club Road,14.0,27299.558,38145.824,21.119,21.677,21.677,,,ISLAND CLUB ROAD,2.888
island_club_road,Island Club Road,16.0,27297.561,38145.717,21.136,21.87,21.87,,,ISLAND CLUB ROAD,3.082
island_club_road,Island Club Road,18.0,27295.563,38145.609,21.607,22.063,22.063,,,ISLAND CLUB ROAD,3.277
island_club_road,Island Club Road,20.0,27293.566,38145.502,22.256,22.256,22.141,,,ISLAND CLUB ROAD,3.471
island_club_road,Island Club Road,22.0,27291.575,38145.65,22.266,22.266,22.193,,,ISLAND CLUB ROAD,3.41
island_club_road,Island Club Road,24.0,27289.585,38145.847,22.141,22.141,22.244,,,ISLAND CLUB ROAD,3.3
island_club_road,Island Club Road,26.0,27287.594,38146.044,22.71,22.193,22.244,1.292,1.0,ISLAND CLUB ROAD,3.19
island_club_road,Island Club Road,28.0,27285.604,38146.242,22.846,22.244,22.244,0.646,1.0,ISLAND CLUB ROAD,3.079
island_club_road,Island Club Road,30.0,27283.614,38146.439,22.296,22.296,22.296,,,ISLAND CLUB ROAD,2.969
island_club_road,Island Club Road,32.0,27281.624,38146.637,22.303,22.303,22.296,,,ISLAND CLUB ROAD,2.858
island_club_road,Island Club Road,34.0,27279.634,38146.834,22.31,22.31,22.296,,,ISLAND CLUB ROAD,2.748
island_club_road,Island Club Road,36.0,27277.637,38146.854,21.381,22.085,22.085,,,ISLAND CLUB ROAD,2.815
island_club_road,Island Club Road,38.0,27275.638,38146.803,21.406,21.86,21.86,-10.866,2.0,ISLAND CLUB ROAD,2.954
island_club_road,Island Club Road,40.0,27273.638,38146.751,21.885,21.635,21.635,,,ISLAND CLUB ROAD,3.093
island_club_road,Island Club Road,42.0,27271.639,38146.699,21.41,21.41,21.427,,,ISLAND CLUB ROAD,3.232
