path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
jalan_berjaya,1,Jalan Berjaya_Cam4_20260103_081447_273_A.jpeg,,10.725,5.362,,,,
jalan_berjaya,2,Jalan Berjaya_Cam4_20260103_081452_680_A.jpeg,,22.207,16.466,,,,
jalan_berjaya,3,Jalan Berjaya_Cam4_20260103_081532_318_A.jpeg,,34.241,28.224,28.0,16.286,,
jalan_berjaya,4,Jalan Berjaya_Cam4_20260103_081555_141_A.jpeg,,41.158,37.7,38.0,16.528,,
jalan_berjaya,5,Jalan Berjaya_Cam4_20260103_081559_344_A.jpeg,,49.992,45.575,46.0,17.728,,
jalan_berjaya,6,Jalan Berjaya_Cam4_20260103_081602_948_A.jpeg,,60.197,55.094,56.0,19.731,,
jalan_berjaya,7,Jalan Berjaya_Cam4_20260103_081606_552_A.jpeg,,70.189,65.193,66.0,21.279,,
jalan_berjaya,8,Jalan Berjaya_Cam4_20260103_081610_155_A.jpeg,,80.774,75.481,76.0,21.805,,
jalan_berjaya,9,Jalan Berjaya_Cam4_20260103_081627_573_A.jpeg,,104.591,92.683,92.0,21.044,,
jalan_berjaya,10,Jalan Berjaya_Cam4_20260103_081637_783_A.jpeg,,115.398,109.995,110.0,21.345,,
jalan_berjaya,11,Jalan Berjaya_Cam4_20260103_081641_386_A.jpeg,,126.878,121.138,122.0,20.653,,
jalan_berjaya,12,Jalan Berjaya_Cam4_20260103_081644_989_A.jpeg,,138.85,132.864,132.0,20.719,,
jalan_berjaya,13,Jalan Berjaya_Cam4_20260103_081648_592_A.jpeg,,149.232,144.041,144.0,20.688,,
jalan_berjaya,14,Jalan Berjaya_Cam4_20260103_081651_595_A.jpeg,,171.278,160.255,160.0,19.515,,
jalan_berjaya,15,Jalan Berjaya_Cam4_20260103_081657_600_A.jpeg,,182.693,176.986,176.0,20.161,,
jalan_berjaya,16,Jalan Berjaya_Cam4_20260103_081700_605_A.jpeg,,194.116,188.405,188.0,19.756,-6.146,1.0
jalan_berjaya,17,Jalan Berjaya_Cam4_20260103_081703_608_A.jpeg,,216.456,205.286,206.0,17.997,,
jalan_berjaya,18,Jalan Berjaya_Cam4_20260103_081709_017_A.jpeg,,228.223,222.34,222.0,16.697,,
jalan_berjaya,19,Jalan Berjaya_Cam4_20260103_081712_020_A.jpeg,,236.431,232.327,232.0,16.343,,
jalan_berjaya,20,Jalan Berjaya_Cam4_20260103_081714_422_A.jpeg,,250.518,243.475,244.0,15.843,,
jalan_berjaya,21,Jalan Berjaya_Cam4_20260103_081718_626_A.jpeg,,337.926,294.222,294.0,11.244,,
jalan_berjaya,22,Jalan Berjaya_Cam4_20260103_081846_311_A.jpeg,,349.788,343.857,344.0,9.606,,
jalan_berjaya,23,Jalan Berjaya_Cam4_20260103_081850_514_A.jpeg,,370.056,359.922,360.0,9.453,,
jalan_berjaya,24,Jalan Berjaya_Cam4_20260103_081900_134_A.jpeg,,381.002,375.529,376.0,11.772,,
jalan_berjaya,25,Jalan Berjaya_Cam4_20260103_081904_940_A.jpeg,,391.9,386.451,386.0,12.511,,
jalan_berjaya,26,Jalan Berjaya_Cam4_20260103_081911_551_A.jpeg,,403.111,397.506,398.0,12.716,,
jalan_berjaya,27,Jalan Berjaya_Cam4_20260103_081919_359_A.jpeg,,413.963,408.537,408.0,11.872,,
jalan_berjaya,28,Jalan Berjaya_Cam4_20260103_081927_165_A.jpeg,,416.961,415.462,416.0,11.372,,
jalan_berjaya,29,Jalan Berjaya_Cam4_20260103_085100_143_A.jpeg,,426.042,421.501,422.0,11.533,,
jalan_berjaya,30,Jalan Berjaya_Cam4_20260103_085102_546_A.jpeg,,435.896,430.969,430.0,11.628,,
jalan_berjaya,31,Jalan Berjaya_Cam4_20260103_085104_949_A.jpeg,,445.501,440.699,440.0,13.525,,
jalan_berjaya,32,Jalan Berjaya_Cam4_20260103_085107_352_A.jpeg,,468.978,457.24,458.0,14.379,,
jalan_berjaya,33,Jalan Berjaya_Cam4_20260103_085117_569_A.jpeg,,479.417,474.198,474.0,11.874,,
jalan_berjaya,34,Jalan Berjaya_Cam4_20260103_085121_772_A.jpeg,,486.057,482.737,482.0,12.692,,
jalan_berjaya,35,Jalan Berjaya_Cam4_20260103_085124_175_A.jpeg,,513.421,499.739,500.0,14.935,,
jalan_berjaya,36,Jalan Berjaya_Cam4_20260103_085133_785_A.jpeg,,524.217,518.819,518.0,15.639,,
jalan_berjaya,37,Jalan Berjaya_Cam4_20260103_085137_989_A.jpeg,,536.271,530.244,530.0,16.377,4.896,1.0
jalan_berjaya,38,Jalan Berjaya_Cam4_20260103_085142_793_A.jpeg,,542.507,539.389,540.0,16.865,4.333,1.0
