path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
jalan_insaf,1,Jalan Insaf_Cam4_20260103_081723_430_A.jpeg,,10.741,5.371,6.0,16.925,,
jalan_insaf,2,Jalan Insaf_Cam4_20260103_081727_634_A.jpeg,,21.772,16.257,16.0,17.234,,
jalan_insaf,3,Jalan Insaf_Cam4_20260103_081731_839_A.jpeg,,33.235,27.504,28.0,18.069,,
jalan_insaf,4,Jalan Insaf_Cam4_20260103_081736_044_A.jpeg,,44.356,38.796,38.0,16.563,,
jalan_insaf,5,Jalan Insaf_Cam4_20260103_081740_248_A.jpeg,,66.72,55.538,56.0,16.422,,
jalan_insaf,6,Jalan Insaf_Cam4_20260103_081748_055_A.jpeg,,77.362,72.041,72.0,15.586,,
jalan_insaf,7,Jalan Insaf_Cam4_20260103_081751_058_A.jpeg,,85.546,81.454,82.0,15.39,,
jalan_insaf,8,Jalan Insaf_Cam4_20260103_081753_460_A.jpeg,,96.018,90.782,90.0,15.128,,
jalan_insaf,9,Jalan Insaf_Cam4_20260103_081756_462_A.jpeg,,106.224,101.121,102.0,14.734,,
jalan_insaf,10,Jalan Insaf_Cam4_20260103_081759_465_A.jpeg,,119.347,112.785,112.0,14.619,,
jalan_insaf,11,Jalan Insaf_Cam4_20260103_081803_672_A.jpeg,,125.189,122.268,122.0,15.452,,
jalan_insaf,12,Jalan Insaf_Cam4_20260103_081805_474_A.jpeg,,135.173,130.181,130.0,15.302,,
jalan_insaf,13,Jalan Insaf_Cam4_20260103_081808_481_A.jpeg,,161.753,148.463,148.0,15.402,-2.969,1.0
jalan_insaf,14,Jalan Insaf_Cam4_20260103_081815_687_A.jpeg,,170.898,166.325,166.0,14.127,,
jalan_insaf,15,Jalan Insaf_Cam4_20260103_081818_088_A.jpeg,,182.014,176.456,176.0,13.598,,
jalan_insaf,16,Jalan Insaf_Cam4_20260103_081821_091_A.jpeg,,190.939,186.476,186.0,14.159,,
jalan_insaf,17,Jalan Insaf_Cam4_20260103_081823_494_A.jpeg,,200.224,195.581,196.0,13.473,,
jalan_insaf,18,Jalan Insaf_Cam4_20260103_081825_895_A.jpeg,,212.44,206.332,206.0,12.149,,
jalan_insaf,19,Jalan Insaf_Cam4_20260103_081828_898_A.jpeg,,222.387,217.414,218.0,9.833,,
