path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
jalan_isnin,Jalan Isnin,0.0,28303.169,37275.112,10.39,12.373,12.373,,,JALAN ISNIN,6.62
jalan_isnin,Jalan Isnin,2.0,28305.144,37275.427,11.506,12.373,12.415,,,JALAN ISNIN,6.475
jalan_isnin,Jalan Isnin,4.0,28307.119,37275.741,13.24,12.458,12.458,,,JALAN ISNIN,6.33
jalan_isnin,Jalan Isnin,6.0,28309.094,37276.056,13.438,12.542,12.542,,,JALAN ISNIN,6.185
jalan_isnin,Jalan Isnin,8.0,28311.07,37276.371,12.471,12.627,12.627,,,JALAN ISNIN,6.039
jalan_isnin,Jalan Isnin,10.0,28313.045,37276.686,13.108,12.712,12.712,,,JALAN ISNIN,5.894
jalan_isnin,Jalan Isnin,12.0,28315.02,37277.001,10.957,12.952,12.952,,,JALAN ISNIN,5.749
jalan_isnin,Jalan Isnin,14.0,28317.007,37277.193,10.267,13.193,13.193,,,JALAN ISNIN,5.728
jalan_isnin,Jalan Isnin,16.0,28319.005,37277.282,11.659,13.433,13.433,,,JALAN ISNIN,5.81
jalan_isnin,Jalan Isnin,18.0,28321.003,37277.37,12.238,13.673,13.673,,,JALAN ISNIN,5.892
jalan_isnin,Jalan Isnin,20.0,28323.001,37277.459,14.453,13.914,13.914,,,JALAN ISNIN,5.975
jalan_isnin,Jalan Isnin,22.0,28324.999,37277.547,15.914,14.154,14.154,,,JALAN ISNIN,6.057
jalan_isnin,Jalan Isnin,24.0,28326.997,37277.636,14.889,14.395,14.395,,,JALAN ISNIN,6.14
jalan_isnin,Jalan Isnin,26.0,28328.984,37277.858,14.635,14.635,14.635,,,JALAN ISNIN,6.087
jalan_isnin,Jalan Isnin,28.0,28330.969,37278.104,14.164,15.012,15.012,,,JALAN ISNIN,6.012
jalan_isnin,Jalan Isnin,30.0,28332.954,37278.35,15.179,15.389,15.389,,,JALAN ISNIN,5.936
jalan_isnin,Jalan Isnin,32.0,28334.939,37278.596,17.252,15.766,15.766,,,JALAN ISNIN,5.861
jalan_isnin,Jalan Isnin,34.0,28336.923,37278.841,18.041,,16.143,,,JALAN ISNIN,5.785
jalan_isnin,Jalan Isnin,36.0,28338.913,37279.046,17.56,,16.519,,,JALAN ISNIN,5.752
jalan_isnin,Jalan Isnin,38.0,28340.905,37279.221,16.501,16.896,16.896,,,JALAN ISNIN,5.747
jalan_isnin,Jalan Isnin,40.0,28342.897,37279.396,17.104,17.273,17.273,,,JALAN ISNIN,5.743
jalan_isnin,Jalan Isnin,42.0,28344.888,37279.23,17.1,17.65,17.65,,,JALAN ISNIN,5.902
jalan_isnin,Jalan Isnin,44.0,28346.878,37279.031,18.027,18.027,17.972,,,JALAN ISNIN,5.66
jalan_isnin,Jalan Isnin,46.0,28348.868,37278.832,19.044,17.999,17.972,,,JALAN ISNIN,5.418
jalan_isnin,Jalan Isnin,48.0,28350.858,37278.633,18.16,17.972,17.972,,,JALAN ISNIN,5.174
jalan_isnin,Jalan Isnin,50.0,28352.848,37278.434,17.063,17.945,17.945,,,JALAN ISNIN,4.931
jalan_isnin,Jalan Isnin,52.0,28354.814,37278.073,18.06,17.917,17.917,,,JALAN ISNIN,4.843
jalan_isnin,Jalan Isnin,54.0,28356.774,37277.677,15.56,17.89,17.89,,,JALAN ISNIN,4.765
jalan_isnin,Jalan Isnin,56.0,28358.734,37277.281,15.08,17.863,17.863,,,JALAN ISNIN,4.688
jalan_isnin,Jalan Isnin,58.0,28360.695,37276.886,16.262,17.836,17.836,,,JALAN ISNIN,4.61
jalan_isnin,Jalan Isnin,60.0,28362.655,37276.49,16.554,17.808,17.808,,,JALAN ISNIN,4.533
jalan_isnin,Jalan Isnin,62.0,28364.619,37276.108,17.781,17.781,17.781,,,JALAN ISNIN,4.441
jalan_isnin,Jalan Isnin,64.0,28366.584,37275.74,14.31,17.513,17.513,,,JALAN ISNIN,4.151
jalan_isnin,Jalan Isnin,66.0,28368.55,37275.372,18.173,17.245,17.245,,,JALAN ISNIN,3.797
jalan_isnin,Jalan Isnin,68.0,28370.516,37275.004,17.683,16.977,16.977,,,JALAN ISNIN,3.442
jalan_isnin,Jalan Isnin,70.0,28372.482,37274.636,18.103,16.709,16.76,,,JALAN ISNIN,3.087
jalan_isnin,Jalan Isnin,72.0,28374.444,37274.249,15.906,16.734,16.76,,,JALAN ISNIN,2.751
jalan_isnin,Jalan Isnin,74.0,28376.403,37273.844,13.61,16.76,16.76,,,JALAN ISNIN,2.434
jalan_isnin,Jalan Isnin,76.0,28378.361,37273.439,13.785,16.786,16.786,,,JALAN ISNIN,2.116
jalan_isnin,Jalan Isnin,78.0,28380.32,37273.033,13.885,16.812,16.812,,,JALAN ISNIN,1.799
jalan_isnin,Jalan Isnin,80.0,28382.278,37272.628,13.91,16.838,16.838,,,JALAN ISNIN,1.482
jalan_isnin,Jalan Isnin,82.0,28384.188,37272.052,15.273,16.864,16.838,,,JALAN ISNIN,1.341
jalan_isnin,Jalan Isnin,84.0,28386.063,37271.357,16.89,16.89,16.838,,,JALAN ISNIN,1.325
jalan_isnin,Jalan Isnin,86.0,28387.938,37270.661,16.927,16.597,16.597,,,JALAN ISNIN,1.309
jalan_isnin,Jalan Isnin,88.0,28389.813,37269.965,16.952,16.304,16.304,,,JALAN ISNIN,1.293
jalan_isnin,Jalan Isnin,90.0,28391.688,37269.269,16.67,16.011,16.011,,,JALAN ISNIN,1.276
jalan_isnin,Jalan Isnin,92.0,28393.563,37268.573,14.335,15.849,15.849,,,JALAN ISNIN,1.26
jalan_isnin,Jalan Isnin,94.0,28395.409,37267.806,14.435,15.687,15.849,,,JALAN ISNIN,1.321
jalan_isnin,Jalan Isnin,96.0,28397.234,37266.988,14.51,15.821,15.849,,,JALAN ISNIN,1.438
jalan_isnin,Jalan Isnin,98.0,28399.058,37266.169,14.56,15.956,15.956,,,JALAN ISNIN,1.554
jalan_isnin,Jalan Isnin,100.0,28400.883,37265.35,16.09,16.09,16.09,,,JALAN ISNIN,1.671
jalan_isnin,Jalan Isnin,102.0,28402.614,37264.353,16.19,16.19,16.19,,,JALAN ISNIN,1.855
jalan_isnin,Jalan Isnin,104.0,28404.324,37263.316,16.24,16.24,16.24,1.875,1.0,JALAN ISNIN,1.888
