path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
orchid_drive,Orchid Drive,0.0,27413.918,37520.392,20.207,21.403,21.403,,,ORCHID DRIVE,0.38
orchid_drive,Orchid Drive,2.0,27415.9,37520.662,20.082,21.403,21.507,,,ORCHID DRIVE,0.274
orchid_drive,Orchid Drive,4.0,27417.881,37520.933,22.599,21.61,21.61,,,ORCHID DRIVE,0.167
orchid_drive,Orchid Drive,6.0,27419.863,37521.203,21.894,21.817,21.817,7.055,1.0,ORCHID DRIVE,0.061
orchid_drive,Orchid Drive,8.0,27421.844,37521.474,22.024,22.024,22.024,,,ORCHID DRIVE,0.046
orchid_drive,Orchid Drive,10.0,27423.826,37521.744,22.184,22.184,22.071,,,ORCHID DRIVE,0.152
orchid_drive,Orchid Drive,12.0,27425.808,37522.015,22.259,22.259,22.146,,,ORCHID DRIVE,0.259
orchid_drive,Orchid Drive,14.0,27427.792,37522.266,20.719,22.071,22.184,,,ORCHID DRIVE,0.345
orchid_drive,Orchid Drive,16.0,27429.777,37522.509,21.532,22.146,22.221,,,ORCHID DRIVE,0.425
orchid_drive,Orchid Drive,18.0,27431.762,37522.753,21.694,22.221,22.221,,,ORCHID DRIVE,0.504
orchid_drive,Orchid Drive,20.0,27433.747,37522.997,21.901,22.492,22.492,,,ORCHID DRIVE,0.584
orchid_drive,Orchid Drive,22.0,27435.734,37523.217,22.12,22.764,22.764,,,ORCHID DRIVE,0.639
orchid_drive,Orchid Drive,24.0,27437.732,37523.321,24.055,23.035,23.035,,,ORCHID DRIVE,0.579
orchid_drive,Orchid Drive,26.0,27439.729,37523.425,25.407,,23.306,,,ORCHID DRIVE,0.518
orchid_drive,Orchid Drive,28.0,27441.726,37523.529,25.99,,23.578,,,ORCHID DRIVE,0.457
orchid_drive,Orchid Drive,30.0,27443.723,37523.633,25.773,23.849,23.849,,,ORCHID DRIVE,0.397
orchid_drive,Orchid Drive,32.0,27445.721,37523.737,24.55,24.12,24.12,,,ORCHID DRIVE,0.347
orchid_drive,Orchid Drive,34.0,27447.713,37523.729,25.915,24.392,24.392,,,ORCHID DRIVE,0.547
orchid_drive,Orchid Drive,36.0,27449.695,37523.458,25.399,24.663,24.663,,,ORCHID DRIVE,0.484
orchid_drive,Orchid Drive,38.0,27451.676,37523.187,27.849,24.899,24.899,,,ORCHID DRIVE,0.421
orchid_drive,Orchid Drive,40.0,27453.658,37522.915,26.611,25.135,25.135,,,ORCHID DRIVE,0.358
orchid_drive,Orchid Drive,42.0,27455.639,37522.644,23.051,25.371,25.371,,,ORCHID DRIVE,0.294
orchid_drive,Orchid Drive,44.0,27457.621,37522.373,22.704,25.607,25.607,,,ORCHID DRIVE,0.231
orchid_drive,Orchid Drive,46.0,27459.602,37522.101,22.812,25.843,25.843,,,ORCHID DRIVE,0.168
orchid_drive,Orchid Drive,48.0,27461.584,37521.83,23.079,26.079,26.079,,,ORCHID DRIVE,0.105
orchid_drive,Orchid Drive,50.0,27463.565,37521.559,24.996,26.315,26.315,,,ORCHID DRIVE,0.332
orchid_drive,Orchid Drive,52.0,27465.547,37521.287,23.879,26.551,26.551,,,ORCHID DRIVE,0.61
orchid_drive,Orchid Drive,54.0,27467.528,37521.016,23.912,26.787,26.787,,,ORCHID DRIVE,0.888
orchid_drive,Orchid Drive,56.0,27469.51,37520.745,27.257,27.023,27.023,,,ORCHID DRIVE,1.167
orchid_drive,Orchid Drive,58.0,27471.43,37520.195,27.126,27.259,27.259,,,ORCHID DRIVE,1.161
orchid_drive,Orchid Drive,60.0,27473.343,37519.611,27.494,27.494,27.494,,,ORCHID DRIVE,1.12
orchid_drive,Orchid Drive,62.0,27475.256,37519.026,27.645,27.645,27.521,,,ORCHID DRIVE,1.078
orchid_drive,Orchid Drive,64.0,27477.168,37518.442,28.02,27.688,27.521,,,ORCHID DRIVE,1.036
orchid_drive,Orchid Drive,66.0,27479.081,37517.857,27.732,27.521,27.521,,,ORCHID DRIVE,1.208
orchid_drive,Orchid Drive,68.0,27480.994,37517.273,28.97,27.354,27.354,,,ORCHID DRIVE,1.508
orchid_drive,Orchid Drive,70.0,27482.776,37516.386,29.801,27.104,27.104,,,ORCHID DRIVE,1.48
orchid_drive,Orchid Drive,72.0,27484.515,37515.398,26.246,26.854,26.854,,,ORCHID DRIVE,1.341
orchid_drive,Orchid Drive,74.0,27486.254,37514.41,26.221,26.604,26.604,,,ORCHID DRIVE,1.203
orchid_drive,Orchid Drive,76.0,27487.966,37513.38,26.354,26.354,26.354,,,ORCHID DRIVE,1.013
orchid_drive,Orchid Drive,78.0,27489.586,37512.208,28.012,26.346,26.354,,,ORCHID DRIVE,0.658
orchid_drive,Orchid Drive,80.0,27491.207,37511.036,26.337,26.337,26.354,,,ORCHID DRIVE,0.302
orchid_drive,Orchid Drive,82.0,27492.828,37509.864,26.712,26.746,26.746,,,ORCHID DRIVE,0.012
orchid_drive,Orchid Drive,84.0,27494.448,37508.692,26.746,27.155,27.155,,,ORCHID DRIVE,0.107
orchid_drive,Orchid Drive,86.0,27496.069,37507.52,26.429,27.564,27.564,,,ORCHID DRIVE,0.225
orchid_drive,Orchid Drive,88.0,27497.69,37506.348,25.497,27.699,27.639,,,ORCHID DRIVE,0.344
orchid_drive,Orchid Drive,90.0,27499.31,37505.176,25.546,27.834,27.639,,,ORCHID DRIVE,0.463
orchid_drive,Orchid Drive,92.0,27500.931,37504.004,30.777,27.639,27.639,,,ORCHID DRIVE,0.582
orchid_drive,Orchid Drive,94.0,27502.552,37502.832,30.627,27.443,27.443,,,ORCHID DRIVE,0.701
orchid_drive,Orchid Drive,96.0,27504.173,37501.66,30.227,27.248,27.248,,,ORCHID DRIVE,0.648
orchid_drive,Orchid Drive,98.0,27505.793,37500.489,29.977,27.053,27.053,,,ORCHID DRIVE,0.572
orchid_drive,Orchid Drive,100.0,27507.414,37499.317,29.789,26.858,26.858,,,ORCHID DRIVE,0.496
orchid_drive,Orchid Drive,102.0,27509.035,37498.145,29.789,26.662,26.662,,,ORCHID DRIVE,0.42
orchid_drive,Orchid Drive,104.0,27510.655,37496.973,26.027,26.467,26.467,,,ORCHID DRIVE,0.343
orchid_drive,Orchid Drive,106.0,27512.276,37495.801,26.052,26.272,26.272,,,ORCHID DRIVE,0.267
orchid_drive,Orchid Drive,108.0,27513.897,37494.629,26.077,26.077,26.272,,,ORCHID DRIVE,0.191
orchid_drive,Orchid Drive,110.0,27515.574,37493.545,26.152,26.152,26.272,,,ORCHID DRIVE,0.011
orchid_drive,Orchid Drive,112.0,27517.305,37492.542,26.202,26.386,26.386,,,ORCHID DRIVE,0.266
orchid_drive,Orchid Drive,114.0,27519.035,37491.539,26.252,26.621,26.621,,,ORCHID DRIVE,0.543
orchid_drive,Orchid Drive,116.0,27520.616,37490.324,26.157,26.966,26.966,,,ORCHID DRIVE,0.561
orchid_drive,Orchid Drive,118.0,27522.14,37489.029,26.157,27.312,27.312,,,ORCHID DRIVE,0.481
orchid_drive,Orchid Drive,120.0,27523.664,37487.734,26.157,27.657,27.657,,,ORCHID DRIVE,0.405
orchid_drive,Orchid Drive,122.0,27525.189,37486.44,30.065,,28.003,,,ORCHID DRIVE,0.587
orchid_drive,Orchid Drive,124.0,27526.713,37485.145,30.04,28.349,28.349,,,ORCHID DRIVE,0.77
orchid_drive,Orchid Drive,126.0,27528.244,37483.858,30.04,28.694,28.694,,,ORCHID DRIVE,0.962
orchid_drive,Orchid Drive,128.0,27529.78,37482.578,30.998,29.04,29.04,,,ORCHID DRIVE,1.164
orchid_drive,Orchid Drive,130.0,27531.317,37481.298,30.89,29.385,29.043,,,ORCHID DRIVE,1.366
orchid_drive,Orchid Drive,132.0,27532.854,37480.018,30.89,29.214,29.043,,,ORCHID DRIVE,1.567
orchid_drive,Orchid Drive,134.0,27534.391,37478.738,31.015,29.043,29.043,,,ORCHID DRIVE,1.769
orchid_drive,Orchid Drive,136.0,27535.799,37477.325,30.998,28.872,28.872,,,ORCHID DRIVE,1.786
orchid_drive,Orchid Drive,138.0,27537.129,37475.832,29.123,28.701,28.701,,,ORCHID DRIVE,1.691
orchid_drive,Orchid Drive,140.0,27538.46,37474.338,25.807,28.358,28.358,,,ORCHID DRIVE,1.596
orchid_drive,Orchid Drive,142.0,27539.79,37472.845,25.807,28.014,28.014,,,ORCHID DRIVE,1.501
orchid_drive,Orchid Drive,144.0,27541.121,37471.352,27.573,27.671,27.671,,,ORCHID DRIVE,1.406
orchid_drive,Orchid Drive,146.0,27542.391,37469.809,27.548,27.328,27.328,,,ORCHID DRIVE,1.272
orchid_drive,Orchid Drive,148.0,27543.617,37468.229,27.548,26.985,26.985,,,ORCHID DRIVE,1.301
orchid_drive,Orchid Drive,150.0,27544.843,37466.648,27.498,26.641,26.641,,,ORCHID DRIVE,1.33
orchid_drive,Orchid Drive,152.0,27546.069,37465.068,26.298,26.298,26.298,,,ORCHID DRIVE,1.359
orchid_drive,Orchid Drive,154.0,27547.295,37463.488,26.273,26.273,26.286,,,ORCHID DRIVE,1.388
orchid_drive,Orchid Drive,156.0,27548.306,37461.768,26.286,26.286,26.273,-2.563,1.0,ORCHID DRIVE,1.161
orchid_drive,Orchid Drive,158.0,27549.247,37460.004,26.468,26.16,26.16,-2.771,1.0,ORCHID DRIVE,0.852
orchid_drive,Orchid Drive,160.0,27550.188,37458.239,26.035,26.035,26.093,-2.979,1.0,ORCHID DRIVE,0.542
orchid_drive,Orchid Drive,162.0,27551.129,37456.474,26.093,26.093,26.064,,,ORCHID DRIVE,0.232
orchid_drive,Orchid Drive,164.0,27552.07,37454.709,27.905,26.064,26.035,,,ORCHID DRIVE,0.077
orchid_drive,Orchid Drive,166.0,27553.011,37452.945,26.035,25.86,25.86,,,ORCHID DRIVE,0.386
orchid_drive,Orchid Drive,168.0,27553.952,37451.18,25.618,25.656,25.656,,,ORCHID DRIVE,0.696
orchid_drive,Orchid Drive,170.0,27554.893,37449.415,25.943,25.367,25.367,,,ORCHID DRIVE,1.005
orchid_drive,Orchid Drive,172.0,27555.834,37447.65,25.86,25.079,25.079,,,ORCHID DRIVE,1.243
orchid_drive,Orchid Drive,174.0,27556.775,37445.885,24.518,24.79,24.79,,,ORCHID DRIVE,1.293
orchid_drive,Orchid Drive,176.0,27557.717,37444.121,24.502,24.502,24.79,,,ORCHID DRIVE,1.342
orchid_drive,Orchid Drive,178.0,27558.658,37442.356,24.46,24.768,24.79,,,ORCHID DRIVE,1.392
orchid_drive,Orchid Drive,180.0,27559.599,37440.591,24.377,25.035,25.035,,,ORCHID DRIVE,1.442
orchid_drive,Orchid Drive,182.0,27560.541,37438.827,27.032,25.248,25.248,,,ORCHID DRIVE,1.49
orchid_drive,Orchid Drive,184.0,27561.708,37437.203,26.842,25.461,25.248,,,ORCHID DRIVE,1.273
orchid_drive,Orchid Drive,186.0,27562.876,37435.579,27.407,25.312,25.248,,,ORCHID DRIVE,1.057
orchid_drive,Orchid Drive,188.0,27564.043,37433.955,27.347,25.163,25.163,,,ORCHID DRIVE,0.84
orchid_drive,Orchid Drive,190.0,27565.21,37432.331,25.14,25.015,25.015,,,ORCHID DRIVE,0.623
orchid_drive,Orchid Drive,192.0,27566.172,37430.586,24.747,24.866,24.866,,,ORCHID DRIVE,0.646
orchid_drive,Orchid Drive,194.0,27567.025,37428.777,26.459,24.592,24.592,,,ORCHID DRIVE,0.793
orchid_drive,Orchid Drive,196.0,27567.879,37426.969,25.384,24.318,24.318,,,ORCHID DRIVE,0.94
orchid_drive,Orchid Drive,198.0,27568.733,37425.16,25.747,24.044,24.044,,,ORCHID DRIVE,0.945
orchid_drive,Orchid Drive,200.0,27569.587,37423.352,26.234,23.77,23.77,,,ORCHID DRIVE,0.832
orchid_drive,Orchid Drive,202.0,27570.371,37421.512,23.24,23.496,23.572,,,ORCHID DRIVE,0.796
orchid_drive,Orchid Drive,204.0,27571.113,37419.655,23.222,23.534,23.572,,,ORCHID DRIVE,0.804
orchid_drive,Orchid Drive,206.0,27571.855,37417.798,22.959,23.572,23.572,,,ORCHID DRIVE,0.813
orchid_drive,Orchid Drive,208.0,27572.597,37415.941,22.684,23.703,23.703,,,ORCHID DRIVE,0.822
orchid_drive,Orchid Drive,210.0,27573.339,37414.084,22.597,23.834,23.834,,,ORCHID DRIVE,0.831
orchid_drive,Orchid Drive,212.0,27574.08,37412.226,24.705,23.965,23.965,,,ORCHID DRIVE,0.841
orchid_drive,Orchid Drive,214.0,27574.752,37410.342,26.815,24.096,24.096,,,ORCHID DRIVE,0.924
orchid_drive,Orchid Drive,216.0,27575.425,37408.459,29.015,24.227,24.227,,,ORCHID DRIVE,1.008
orchid_drive,Orchid Drive,218.0,27576.097,37406.575,28.94,24.358,24.358,,,ORCHID DRIVE,1.091
orchid_drive,Orchid Drive,220.0,27576.769,37404.691,26.5,24.489,24.489,,,ORCHID DRIVE,1.175
orchid_drive,Orchid Drive,222.0,27577.097,37402.752,24.834,24.62,24.62,,,ORCHID DRIVE,1.598
orchid_drive,Orchid Drive,224.0,27577.052,37400.753,24.778,24.751,24.751,,,ORCHID DRIVE,2.39
orchid_drive,Orchid Drive,226.0,27577.006,37398.753,24.882,24.882,24.816,,,ORCHID DRIVE,3.183
orchid_drive,Orchid Drive,228.0,27576.96,37396.754,24.322,24.882,24.882,,,ORCHID DRIVE,3.975
