path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
pemimpin_terrace,1,Pemimpin Terrace_Cam4_20260103_080459_743_A.jpeg,,11.26,5.63,6.0,17.959,,
pemimpin_terrace,2,Pemimpin Terrace_Cam4_20260103_080503_946_A.jpeg,,23.504,17.382,18.0,18.187,,
pemimpin_terrace,3,Pemimpin Terrace_Cam4_20260103_080507_552_A.jpeg,,45.904,34.704,34.0,17.374,,
pemimpin_terrace,4,Pemimpin Terrace_Cam4_20260103_080513_559_A.jpeg,,56.655,51.28,52.0,17.524,-0.625,1.0
pemimpin_terrace,5,Pemimpin Terrace_Cam4_20260103_080516_563_A.jpeg,,67.166,61.911,62.0,17.915,,
pemimpin_terrace,6,Pemimpin Terrace_Cam4_20260103_080519_568_A.jpeg,,76.115,71.641,72.0,18.21,,
pemimpin_terrace,7,Pemimpin Terrace_Cam4_20260103_080522_573_A.jpeg,,89.185,82.65,82.0,18.583,,
pemimpin_terrace,8,Pemimpin Terrace_Cam4_20260103_080533_382_A.jpeg,,95.377,92.281,92.0,18.828,,
pemimpin_terrace,9,Pemimpin Terrace_Cam4_20260103_080536_384_A.jpeg,,105.843,100.61,100.0,19.888,,
pemimpin_terrace,10,Pemimpin Terrace_Cam4_20260103_080541_187_A.jpeg,,116.182,111.012,112.0,19.425,,
pemimpin_terrace,11,Pemimpin Terrace_Cam4_20260103_080545_392_A.jpeg,,125.675,120.928,120.0,19.254,,
pemimpin_terrace,12,Pemimpin Terrace_Cam4_20260103_080549_596_A.jpeg,,134.949,130.312,130.0,20.043,,
pemimpin_terrace,13,Pemimpin Terrace_Cam4_20260103_080553_801_A.jpeg,,145.088,140.018,140.0,20.892,,
pemimpin_terrace,14,Pemimpin Terrace_Cam4_20260103_080558_605_A.jpeg,,156.682,150.885,150.0,18.885,,
pemimpin_terrace,15,Pemimpin Terrace_Cam4_20260103_080604_011_A.jpeg,,165.924,161.303,162.0,16.453,,
pemimpin_terrace,16,Pemimpin Terrace_Cam4_20260103_080607_614_A.jpeg,,174.703,170.313,170.0,15.298,,
pemimpin_terrace,17,Pemimpin Terrace_Cam4_20260103_080610_617_A.jpeg,,185.811,180.257,180.0,13.809,,
pemimpin_terrace,18,Pemimpin Terrace_Cam4_20260103_080614_221_A.jpeg,,194.033,189.922,190.0,13.088,-4.411,1.0
