path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
shunfu_road,Shunfu Road,10.0,28697.977,37026.616,14.439,14.439,14.58,0.0,1.0,SHUNFU ROAD,25.443
shunfu_road,Shunfu Road,12.0,28696.895,37028.298,14.335,14.58,14.65,0.0,1.0,SHUNFU ROAD,23.895
shunfu_road,Shunfu Road,14.0,28695.784,37029.96,14.72,14.72,14.58,,,SHUNFU ROAD,22.37
shunfu_road,Shunfu Road,16.0,28694.59,37031.565,14.762,14.762,14.58,,,SHUNFU ROAD,20.911
shunfu_road,Shunfu Road,18.0,28693.396,37033.169,14.961,14.568,14.568,,,SHUNFU ROAD,19.452
shunfu_road,Shunfu Road,20.0,28692.202,37034.774,14.375,14.375,14.375,-6.339,1.0,SHUNFU ROAD,17.993
shunfu_road,Shunfu Road,22.0,28690.85,37036.244,14.504,14.224,14.224,-7.947,1.0,SHUNFU ROAD,16.685
shunfu_road,Shunfu Road,24.0,28689.463,37037.685,14.072,14.072,14.072,-9.554,2.0,SHUNFU ROAD,15.41
shunfu_road,Shunfu Road,26.0,28688.076,37039.126,14.127,13.841,13.841,,,SHUNFU ROAD,14.136
shunfu_road,Shunfu Road,28.0,28686.689,37040.567,13.611,13.611,13.611,,,SHUNFU ROAD,12.861
shunfu_road,Shunfu Road,30.0,28685.302,37042.008,13.394,13.394,13.611,,,SHUNFU ROAD,11.587
shunfu_road,Shunfu Road,32.0,28683.488,37042.694,13.297,13.589,13.611,5.123,1.0,SHUNFU ROAD,11.111
shunfu_road,Shunfu Road,34.0,28681.538,37043.139,13.784,13.784,13.784,5.192,1.0,SHUNFU ROAD,10.889
shunfu_road,Shunfu Road,36.0,28679.589,37043.585,14.02,14.02,14.02,,,SHUNFU ROAD,10.667
shunfu_road,Shunfu Road,38.0,28677.639,37044.031,14.026,14.026,14.026,,,SHUNFU ROAD,10.445
shunfu_road,Shunfu Road,40.0,28675.689,37044.477,14.149,14.324,14.324,,,SHUNFU ROAD,10.223
shunfu_road,Shunfu Road,42.0,28673.74,37044.923,14.227,14.621,14.621,,,SHUNFU ROAD,10.001
shunfu_road,Shunfu Road,44.0,28671.79,37045.369,14.919,14.924,14.924,,,SHUNFU ROAD,9.778
shunfu_road,Shunfu Road,46.0,28669.84,37045.815,15.029,15.227,15.227,,,SHUNFU ROAD,9.556
shunfu_road,Shunfu Road,48.0,28667.891,37046.26,16.577,15.529,15.529,,,SHUNFU ROAD,9.334
shunfu_road,Shunfu Road,50.0,28665.941,37046.706,15.537,15.75,15.75,,,SHUNFU ROAD,9.112
shunfu_road,Shunfu Road,52.0,28663.991,37047.152,15.699,15.97,15.97,,,SHUNFU ROAD,8.89
shunfu_road,Shunfu Road,54.0,28662.042,37047.598,15.609,16.19,16.19,,,SHUNFU ROAD,8.668
shunfu_road,Shunfu Road,56.0,28660.092,37048.044,16.749,16.41,16.41,,,SHUNFU ROAD,8.446
shunfu_road,Shunfu Road,58.0,28658.117,37048.356,16.631,16.631,16.631,,,SHUNFU ROAD,8.36
shunfu_road,Shunfu Road,60.0,28656.14,37048.66,16.897,16.897,16.784,,,SHUNFU ROAD,8.282
shunfu_road,Shunfu Road,62.0,28654.163,37048.963,16.859,16.859,16.784,,,SHUNFU ROAD,8.204
shunfu_road,Shunfu Road,64.0,28652.186,37049.267,17.029,16.784,16.784,,,SHUNFU ROAD,8.126
shunfu_road,Shunfu Road,66.0,28650.21,37049.571,17.687,16.71,16.71,,,SHUNFU ROAD,8.048
shunfu_road,Shunfu Road,68.0,28648.233,37049.875,16.812,16.491,16.491,,,SHUNFU ROAD,7.97
shunfu_road,Shunfu Road,70.0,28646.266,37050.236,16.784,16.273,16.273,,,SHUNFU ROAD,7.834
shunfu_road,Shunfu Road,72.0,28644.301,37050.608,15.752,16.055,16.055,,,SHUNFU ROAD,7.687
shunfu_road,Shunfu Road,74.0,28642.336,37050.98,15.837,15.837,15.837,,,SHUNFU ROAD,7.54
shunfu_road,Shunfu Road,76.0,28640.37,37051.352,15.356,15.816,15.816,,,SHUNFU ROAD,7.393
shunfu_road,Shunfu Road,78.0,28638.404,37051.716,15.852,15.795,15.816,-0.788,1.0,SHUNFU ROAD,7.254
shunfu_road,Shunfu Road,80.0,28636.437,37052.079,15.774,15.774,15.795,,,SHUNFU ROAD,7.117
shunfu_road,Shunfu Road,82.0,28634.47,37052.441,15.927,15.927,15.774,,,SHUNFU ROAD,6.98
shunfu_road,Shunfu Road,84.0,28632.503,37052.803,16.362,15.674,15.674,,,SHUNFU ROAD,6.843
shunfu_road,Shunfu Road,86.0,28630.536,37053.165,16.093,15.421,15.421,,,SHUNFU ROAD,6.706
shunfu_road,Shunfu Road,88.0,28628.703,37053.92,15.997,15.058,15.058,,,SHUNFU ROAD,6.164
shunfu_road,Shunfu Road,90.0,28626.926,37054.837,16.688,14.695,14.695,,,SHUNFU ROAD,5.453
shunfu_road,Shunfu Road,92.0,28625.149,37055.755,16.616,14.332,14.332,,,SHUNFU ROAD,4.743
shunfu_road,Shunfu Road,94.0,28623.372,37056.672,12.466,,13.969,,,SHUNFU ROAD,4.033
shunfu_road,Shunfu Road,96.0,28621.615,37057.625,12.491,13.606,13.606,,,SHUNFU ROAD,3.285
shunfu_road,Shunfu Road,98.0,28619.89,37058.639,12.491,13.243,13.243,,,SHUNFU ROAD,2.473
shunfu_road,Shunfu Road,100.0,28618.166,37059.652,12.491,12.88,12.88,,,SHUNFU ROAD,1.662
shunfu_road,Shunfu Road,102.0,28616.442,37060.666,12.517,12.517,12.517,,,SHUNFU ROAD,0.85
shunfu_road,Shunfu Road,104.0,28614.718,37061.679,13.209,12.517,12.517,,,SHUNFU ROAD,0.039
shunfu_road,Shunfu Road,106.0,28612.965,37062.619,12.517,12.517,12.517,0.0,1.0,SHUNFU ROAD,0.696
shunfu_road,Shunfu Road,108.0,28611.007,37063.027,12.517,12.517,12.517,,,SHUNFU ROAD,0.88
shunfu_road,Shunfu Road,110.0,28609.049,37063.434,12.491,12.491,12.517,,,SHUNFU ROAD,1.063
shunfu_road,Shunfu Road,112.0,28607.091,37063.842,12.517,12.517,12.517,0.313,1.0,SHUNFU ROAD,1.246
shunfu_road,Shunfu Road,114.0,28605.133,37064.25,12.542,12.542,12.542,0.313,1.0,SHUNFU ROAD,1.43
shunfu_road,Shunfu Road,116.0,28603.174,37064.62,12.542,12.542,12.542,0.263,1.0,SHUNFU ROAD,1.575
shunfu_road,Shunfu Road,118.0,28601.196,37064.321,12.567,12.567,12.542,-0.411,1.0,SHUNFU ROAD,1.054
shunfu_road,Shunfu Road,120.0,28599.219,37064.023,14.763,12.538,12.538,-0.773,1.0,SHUNFU ROAD,0.534
shunfu_road,Shunfu Road,122.0,28597.241,37063.724,14.321,12.509,12.509,-0.981,1.0,SHUNFU ROAD,0.013
shunfu_road,Shunfu Road,124.0,28595.264,37063.426,12.48,12.48,12.48,-0.932,1.0,SHUNFU ROAD,0.507
shunfu_road,Shunfu Road,126.0,28593.286,37063.127,12.463,12.463,12.463,-0.57,1.0,SHUNFU ROAD,1.027
shunfu_road,Shunfu Road,128.0,28591.305,37062.899,12.463,12.463,12.463,-0.208,1.0,SHUNFU ROAD,1.477
shunfu_road,Shunfu Road,130.0,28589.309,37063.021,12.463,12.463,12.463,0.0,1.0,SHUNFU ROAD,1.583
shunfu_road,Shunfu Road,132.0,28587.313,37063.143,12.463,12.463,12.463,0.0,1.0,SHUNFU ROAD,1.688
shunfu_road,Shunfu Road,134.0,28585.316,37063.264,12.463,12.463,12.463,-0.208,1.0,SHUNFU ROAD,1.794
