path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
sin_ming_avenue,Sin Ming Avenue,0.0,28904.159,38098.193,10.183,9.333,9.56,,,SIN MING AVENUE,16.2
sin_ming_avenue,Sin Ming Avenue,2.0,28902.312,38098.959,9.333,9.56,9.673,,,SIN MING AVENUE,16.239
sin_ming_avenue,Sin Ming Avenue,4.0,28900.465,38099.726,9.336,9.787,9.787,,,SIN MING AVENUE,16.278
sin_ming_avenue,Sin Ming Avenue,6.0,28898.618,38100.493,10.013,10.013,10.013,,,SIN MING AVENUE,16.318
sin_ming_avenue,Sin Ming Avenue,8.0,28896.771,38101.26,10.135,10.135,10.114,,,SIN MING AVENUE,16.357
sin_ming_avenue,Sin Ming Avenue,10.0,28894.924,38102.027,10.114,10.114,10.114,,,SIN MING AVENUE,16.396
sin_ming_avenue,Sin Ming Avenue,12.0,28893.086,38102.816,10.164,10.164,10.114,-5.738,1.0,SIN MING AVENUE,16.411
sin_ming_avenue,Sin Ming Avenue,14.0,28891.301,38103.716,10.138,9.91,9.91,-8.3,1.0,SIN MING AVENUE,16.303
sin_ming_avenue,Sin Ming Avenue,16.0,28889.515,38104.617,9.655,9.655,9.655,-9.831,2.0,SIN MING AVENUE,16.195
sin_ming_avenue,Sin Ming Avenue,18.0,28887.729,38105.518,9.45,9.45,9.45,,,SIN MING AVENUE,16.087
sin_ming_avenue,Sin Ming Avenue,20.0,28885.944,38106.418,9.328,9.328,9.328,,,SIN MING AVENUE,15.989
sin_ming_avenue,Sin Ming Avenue,22.0,28884.158,38107.319,9.21,9.21,9.3,,,SIN MING AVENUE,15.91
sin_ming_avenue,Sin Ming Avenue,24.0,28882.372,38108.22,9.94,9.255,9.3,,,SIN MING AVENUE,15.831
sin_ming_avenue,Sin Ming Avenue,26.0,28880.611,38109.167,9.004,9.3,9.3,1.121,1.0,SIN MING AVENUE,15.699
sin_ming_avenue,Sin Ming Avenue,28.0,28878.861,38110.135,8.929,9.345,9.345,,,SIN MING AVENUE,15.545
sin_ming_avenue,Sin Ming Avenue,30.0,28877.11,38111.102,9.39,9.39,9.39,,,SIN MING AVENUE,15.391
sin_ming_avenue,Sin Ming Avenue,32.0,28875.36,38112.07,9.501,9.501,9.501,,,SIN MING AVENUE,15.236
sin_ming_avenue,Sin Ming Avenue,34.0,28873.61,38113.037,9.538,9.538,9.538,4.783,1.0,SIN MING AVENUE,15.082
sin_ming_avenue,Sin Ming Avenue,36.0,28871.834,38113.958,9.772,9.772,9.665,,,SIN MING AVENUE,14.98
sin_ming_avenue,Sin Ming Avenue,38.0,28870.052,38114.865,9.665,9.665,9.772,,,SIN MING AVENUE,14.895
sin_ming_avenue,Sin Ming Avenue,40.0,28868.269,38115.771,10.824,9.821,9.821,,,SIN MING AVENUE,14.81
sin_ming_avenue,Sin Ming Avenue,42.0,28866.485,38116.676,11.357,9.976,9.976,,,SIN MING AVENUE,14.727
sin_ming_avenue,Sin Ming Avenue,44.0,28864.699,38117.576,11.003,10.131,10.131,,,SIN MING AVENUE,14.648
sin_ming_avenue,Sin Ming Avenue,46.0,28862.913,38118.476,10.332,10.287,10.287,,,SIN MING AVENUE,14.57
sin_ming_avenue,Sin Ming Avenue,48.0,28861.127,38119.377,10.674,10.442,10.442,,,SIN MING AVENUE,14.491
sin_ming_avenue,Sin Ming Avenue,50.0,28859.342,38120.277,11.351,10.597,10.597,,,SIN MING AVENUE,14.413
sin_ming_avenue,Sin Ming Avenue,52.0,28857.592,38121.245,13.301,10.752,10.752,,,SIN MING AVENUE,14.257
sin_ming_avenue,Sin Ming Avenue,54.0,28855.852,38122.231,16.563,10.908,10.908,,,SIN MING AVENUE,14.053
sin_ming_avenue,Sin Ming Avenue,56.0,28854.111,38123.216,14.552,11.063,11.063,,,SIN MING AVENUE,13.846
sin_ming_avenue,Sin Ming Avenue,58.0,28852.371,38124.201,13.235,11.218,11.218,,,SIN MING AVENUE,13.639
sin_ming_avenue,Sin Ming Avenue,60.0,28850.63,38125.187,13.102,11.374,11.374,,,SIN MING AVENUE,13.432
sin_ming_avenue,Sin Ming Avenue,62.0,28848.878,38126.15,12.73,11.529,11.503,,,SIN MING AVENUE,13.25
sin_ming_avenue,Sin Ming Avenue,64.0,28847.095,38127.056,11.684,11.684,11.503,,,SIN MING AVENUE,13.133
sin_ming_avenue,Sin Ming Avenue,66.0,28845.312,38127.961,11.984,11.503,11.503,,,SIN MING AVENUE,13.016
sin_ming_avenue,Sin Ming Avenue,68.0,28843.529,38128.867,12.07,11.322,11.322,-4.871,1.0,SIN MING AVENUE,12.899
sin_ming_avenue,Sin Ming Avenue,70.0,28841.746,38129.773,11.141,11.141,11.141,,,SIN MING AVENUE,12.782
sin_ming_avenue,Sin Ming Avenue,72.0,28839.962,38130.679,11.114,11.114,11.114,,,SIN MING AVENUE,12.665
