path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
venus_drive,1,Venus Drive_Cam4_20260105_110601_659_A.jpeg,,10.492,5.246,6.0,19.946,,
venus_drive,2,Venus Drive_Cam4_20260105_110605_863_A.jpeg,,20.148,15.32,16.0,19.527,,
venus_drive,3,Venus Drive_Cam4_20260105_110610_067_A.jpeg,,29.992,25.07,26.0,19.109,,
venus_drive,4,Venus Drive_Cam4_20260105_110728_750_A.jpeg,,40.726,35.359,36.0,19.154,,
venus_drive,5,Venus Drive_Cam4_20260105_110732_355_A.jpeg,,53.175,46.95,46.0,18.453,,
venus_drive,6,Venus Drive_Cam4_20260105_110735_960_A.jpeg,,63.885,58.53,58.0,17.541,,
venus_drive,7,Venus Drive_Cam4_20260105_110738_963_A.jpeg,,70.485,67.185,68.0,16.78,,
venus_drive,8,Venus Drive_Cam4_20260105_110740_765_A.jpeg,,82.046,76.265,76.0,16.249,,
venus_drive,9,Venus Drive_Cam4_20260105_110743_770_A.jpeg,,91.565,86.805,86.0,17.106,,
venus_drive,10,Venus Drive_Cam4_20260105_110746_171_A.jpeg,,116.504,104.035,104.0,20.195,,
venus_drive,11,Venus Drive_Cam4_20260105_110751_592_A.jpeg,,127.831,122.167,122.0,18.874,,
venus_drive,12,Venus Drive_Cam4_20260105_110753_995_A.jpeg,,135.996,131.913,132.0,17.379,,
venus_drive,13,Venus Drive_Cam4_20260105_110755_799_A.jpeg,,146.449,141.223,142.0,15.238,,
venus_drive,14,Venus Drive_Cam4_20260105_110758_202_A.jpeg,,158.431,152.44,152.0,15.214,,
venus_drive,15,Venus Drive_Cam4_20260105_110801_212_A.jpeg,,165.177,161.804,162.0,17.78,,
venus_drive,16,Venus Drive_Cam4_20260105_110803_015_A.jpeg,,175.275,170.226,170.0,18.433,,
venus_drive,17,Venus Drive_Cam4_20260105_110806_019_A.jpeg,,186.065,180.67,180.0,17.5,,
venus_drive,18,Venus Drive_Cam4_20260105_110809_627_A.jpeg,,215.161,200.613,200.0,17.41,,
venus_drive,19,Venus Drive_Cam4_20260105_110824_069_A.jpeg,,221.718,218.439,218.0,20.264,,
venus_drive,20,Venus Drive_Cam4_20260105_110826_954_A.jpeg,,249.996,235.857,236.0,18.939,2.344,1.0
venus_drive,21,Venus Drive_Cam4_20260105_110840_769_A.jpeg,,262.166,256.081,256.0,20.246,,
venus_drive,22,Venus Drive_Cam4_20260105_110844_978_A.jpeg,,272.385,267.276,268.0,21.29,,
venus_drive,23,Venus Drive_Cam4_20260105_110849_180_A.jpeg,,283.546,277.965,278.0,22.676,,
venus_drive,24,Venus Drive_Cam4_20260105_110855_204_A.jpeg,,367.717,325.631,326.0,19.227,,
venus_drive,25,Venus Drive_Cam4_20260105_111225_052_A.jpeg,,377.661,372.689,372.0,22.539,,
venus_drive,26,Venus Drive_Cam4_20260105_111230_462_A.jpeg,,457.304,417.483,418.0,17.17,,
venus_drive,27,Venus Drive_Cam4_20260105_111605_737_A.jpeg,,502.778,480.041,480.0,18.306,,
venus_drive,28,Venus Drive_Cam4_20260105_111620_151_A.jpeg,,510.015,506.396,506.0,18.356,2.778,1.0
venus_drive,29,Venus Drive_Cam4_20260105_111622_555_A.jpeg,,519.338,514.677,514.0,18.579,,
venus_drive,30,Venus Drive_Cam4_20260105_111626_158_A.jpeg,,530.401,524.87,524.0,18.559,,
venus_drive,31,Venus Drive_Cam4_20260105_111629_763_A.jpeg,,540.07,535.236,536.0,19.303,,
venus_drive,32,Venus Drive_Cam4_20260105_111632_766_A.jpeg,,550.356,545.213,546.0,19.197,,
venus_drive,33,Venus Drive_Cam4_20260105_111636_971_A.jpeg,,562.177,556.267,556.0,19.196,1.473,1.0
venus_drive,34,Venus Drive_Cam4_20260105_111641_777_A.jpeg,,572.879,567.528,568.0,18.642,,
venus_drive,35,Venus Drive_Cam4_20260105_111646_584_A.jpeg,,580.172,576.526,576.0,18.678,,
venus_drive,36,Venus Drive_Cam4_20260105_111649_587_A.jpeg,,592.17,586.171,584.0,18.521,-3.929,1.0
venus_drive,37,Venus Drive_Cam4_20260105_111654_996_A.jpeg,,601.422,596.796,,,,
venus_drive,38,Venus Drive_Cam4_20260105_111658_601_A.jpeg,,612.449,606.935,,,,
venus_drive,39,Venus Drive_Cam4_20260105_111702_815_A.jpeg,,635.015,623.732,,,,
