path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
westlake_avenue,Westlake Avenue,0.0,28316.216,36057.915,7.63,11.735,11.735,,,WESTLAKE AVENUE,4.938
westlake_avenue,Westlake Avenue,2.0,28317.758,36059.189,7.41,11.735,11.735,,,WESTLAKE AVENUE,4.861
westlake_avenue,Westlake Avenue,4.0,28319.3,36060.463,8.865,11.735,11.735,,,WESTLAKE AVENUE,4.784
westlake_avenue,Westlake Avenue,6.0,28320.843,36061.736,9.11,11.735,11.735,,,WESTLAKE AVENUE,4.706
westlake_avenue,Westlake Avenue,8.0,28322.385,36063.01,9.813,11.735,11.735,,,WESTLAKE AVENUE,4.629
westlake_avenue,Westlake Avenue,10.0,28323.927,36064.283,9.888,11.735,11.735,,,WESTLAKE AVENUE,4.551
westlake_avenue,Westlake Avenue,12.0,28325.469,36065.557,10.76,11.735,11.735,,,WESTLAKE AVENUE,4.474
westlake_avenue,Westlake Avenue,14.0,28326.994,36066.85,11.735,11.735,11.735,,,WESTLAKE AVENUE,4.371
westlake_avenue,Westlake Avenue,16.0,28328.444,36068.227,11.776,11.776,11.776,,,WESTLAKE AVENUE,4.154
westlake_avenue,Westlake Avenue,18.0,28329.893,36069.605,11.545,11.826,11.776,,,WESTLAKE AVENUE,3.938
westlake_avenue,Westlake Avenue,20.0,28331.343,36070.983,11.67,11.876,11.776,,,WESTLAKE AVENUE,3.721
westlake_avenue,Westlake Avenue,22.0,28332.792,36072.361,12.207,11.414,11.414,,,WESTLAKE AVENUE,3.504
westlake_avenue,Westlake Avenue,24.0,28334.242,36073.739,12.179,10.952,10.952,,,WESTLAKE AVENUE,3.288
westlake_avenue,Westlake Avenue,26.0,28335.691,36075.117,13.01,10.49,10.49,,,WESTLAKE AVENUE,3.071
westlake_avenue,Westlake Avenue,28.0,28337.141,36076.495,13.398,,10.029,,,WESTLAKE AVENUE,2.855
westlake_avenue,Westlake Avenue,30.0,28338.591,36077.873,12.386,,9.567,,,WESTLAKE AVENUE,2.638
westlake_avenue,Westlake Avenue,32.0,28340.04,36079.251,10.976,9.105,9.105,,,WESTLAKE AVENUE,2.422
westlake_avenue,Westlake Avenue,34.0,28341.49,36080.629,11.001,8.643,8.643,,,WESTLAKE AVENUE,2.205
westlake_avenue,Westlake Avenue,36.0,28342.939,36082.007,10.065,8.181,8.181,,,WESTLAKE AVENUE,1.988
westlake_avenue,Westlake Avenue,38.0,28344.389,36083.385,7.719,7.719,7.869,,,WESTLAKE AVENUE,1.772
westlake_avenue,Westlake Avenue,40.0,28345.839,36084.763,7.786,7.786,7.869,,,WESTLAKE AVENUE,1.555
westlake_avenue,Westlake Avenue,42.0,28347.288,36086.141,7.869,7.869,7.869,,,WESTLAKE AVENUE,1.339
westlake_avenue,Westlake Avenue,44.0,28348.738,36087.518,7.953,8.21,8.21,,,WESTLAKE AVENUE,1.122
westlake_avenue,Westlake Avenue,46.0,28350.187,36088.896,8.036,8.551,8.551,,,WESTLAKE AVENUE,0.906
westlake_avenue,Westlake Avenue,48.0,28351.637,36090.274,8.427,8.984,8.984,,,WESTLAKE AVENUE,0.689
westlake_avenue,Westlake Avenue,50.0,28353.087,36091.652,11.175,9.417,9.417,,,WESTLAKE AVENUE,0.473
westlake_avenue,Westlake Avenue,52.0,28354.536,36093.03,11.104,9.85,9.85,,,WESTLAKE AVENUE,0.256
westlake_avenue,Westlake Avenue,54.0,28355.986,36094.408,11.455,10.283,10.283,,,WESTLAKE AVENUE,0.039
westlake_avenue,Westlake Avenue,56.0,28357.435,36095.786,11.865,10.721,10.721,,,WESTLAKE AVENUE,0.177
westlake_avenue,Westlake Avenue,58.0,28358.885,36097.164,11.876,11.16,11.16,,,WESTLAKE AVENUE,0.394
westlake_avenue,Westlake Avenue,60.0,28360.438,36098.404,11.931,11.598,11.598,,,WESTLAKE AVENUE,0.733
westlake_avenue,Westlake Avenue,62.0,28362.161,36099.421,11.984,12.037,12.037,,,WESTLAKE AVENUE,0.956
westlake_avenue,Westlake Avenue,64.0,28363.883,36100.438,13.691,12.475,12.475,,,WESTLAKE AVENUE,1.18
westlake_avenue,Westlake Avenue,66.0,28365.605,36101.455,14.741,12.914,12.914,,,WESTLAKE AVENUE,1.403
westlake_avenue,Westlake Avenue,68.0,28367.369,36102.386,15.487,13.352,13.183,,,WESTLAKE AVENUE,1.532
westlake_avenue,Westlake Avenue,70.0,28369.229,36103.121,13.183,13.183,13.258,,,WESTLAKE AVENUE,1.441
westlake_avenue,Westlake Avenue,72.0,28371.089,36103.856,12.05,13.258,13.334,,,WESTLAKE AVENUE,1.351
westlake_avenue,Westlake Avenue,74.0,28372.95,36104.59,12.422,13.334,13.334,,,WESTLAKE AVENUE,1.261
westlake_avenue,Westlake Avenue,76.0,28374.81,36105.325,13.088,13.409,13.409,,,WESTLAKE AVENUE,1.171
westlake_avenue,Westlake Avenue,78.0,28376.67,36106.06,13.88,13.485,13.485,,,WESTLAKE AVENUE,1.08
westlake_avenue,Westlake Avenue,80.0,28378.53,36106.795,13.461,13.56,13.485,,,WESTLAKE AVENUE,0.99
westlake_avenue,Westlake Avenue,82.0,28380.39,36107.529,13.636,13.636,13.485,,,WESTLAKE AVENUE,0.9
westlake_avenue,Westlake Avenue,84.0,28382.25,36108.264,10.227,13.383,13.383,,,WESTLAKE AVENUE,0.809
westlake_avenue,Westlake Avenue,86.0,28384.11,36108.999,13.13,13.13,13.13,,,WESTLAKE AVENUE,0.719
westlake_avenue,Westlake Avenue,88.0,28385.971,36109.733,13.065,12.882,12.882,,,WESTLAKE AVENUE,0.629
westlake_avenue,Westlake Avenue,90.0,28387.831,36110.468,13.052,12.634,12.634,,,WESTLAKE AVENUE,0.539
westlake_avenue,Westlake Avenue,92.0,28389.691,36111.203,13.418,12.518,12.518,,,WESTLAKE AVENUE,0.448
westlake_avenue,Westlake Avenue,94.0,28391.551,36111.938,12.284,12.403,12.403,,,WESTLAKE AVENUE,0.358
westlake_avenue,Westlake Avenue,96.0,28393.411,36112.672,10.779,12.287,12.287,,,WESTLAKE AVENUE,0.267
westlake_avenue,Westlake Avenue,98.0,28395.224,36113.504,10.771,12.171,12.171,,,WESTLAKE AVENUE,0.284
westlake_avenue,Westlake Avenue,100.0,28396.948,36114.518,10.478,12.056,12.056,,,WESTLAKE AVENUE,0.504
westlake_avenue,Westlake Avenue,102.0,28398.673,36115.531,11.643,11.94,11.94,,,WESTLAKE AVENUE,0.723
westlake_avenue,Westlake Avenue,104.0,28400.397,36116.544,12.89,11.824,11.824,,,WESTLAKE AVENUE,0.942
westlake_avenue,Westlake Avenue,106.0,28402.121,36117.558,13.284,11.709,11.709,,,WESTLAKE AVENUE,1.162
westlake_avenue,Westlake Avenue,108.0,28403.845,36118.571,13.027,11.593,11.593,,,WESTLAKE AVENUE,1.381
westlake_avenue,Westlake Avenue,110.0,28405.609,36119.507,13.049,11.477,11.477,,,WESTLAKE AVENUE,1.513
