path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
alexandra_view,Alexandra View,56.0,26321.791,30355.38,13.636,15.273,15.273,,,ALEXANDRA VIEW,52.79
alexandra_view,Alexandra View,58.0,26323.779,30355.415,15.273,15.273,15.192,,,ALEXANDRA VIEW,50.821
alexandra_view,Alexandra View,60.0,26325.699,30355.978,15.311,15.111,15.111,,,ALEXANDRA VIEW,48.985
alexandra_view,Alexandra View,62.0,26327.618,30356.54,15.198,14.949,14.949,,,ALEXANDRA VIEW,47.149
alexandra_view,Alexandra View,64.0,26329.537,30357.103,16.217,14.425,14.425,,,ALEXANDRA VIEW,45.313
alexandra_view,Alexandra View,66.0,26331.456,30357.666,13.745,13.901,13.901,,,ALEXANDRA VIEW,43.477
alexandra_view,Alexandra View,68.0,26333.375,30358.228,13.82,13.377,13.377,,,ALEXANDRA VIEW,41.641
alexandra_view,Alexandra View,70.0,26335.295,30358.791,13.448,,13.116,,,ALEXANDRA VIEW,39.805
alexandra_view,Alexandra View,72.0,26337.223,30359.307,13.116,,12.592,,,ALEXANDRA VIEW,37.954
alexandra_view,Alexandra View,74.0,26339.209,30359.545,11.933,,11.806,,,ALEXANDRA VIEW,36.012
alexandra_view,Alexandra View,76.0,26341.195,30359.783,11.395,,11.02,,,ALEXANDRA VIEW,34.07
alexandra_view,Alexandra View,78.0,26343.181,30360.021,10.874,,10.496,,,ALEXANDRA VIEW,32.128
alexandra_view,Alexandra View,80.0,26345.167,30360.259,15.361,10.234,10.234,,,ALEXANDRA VIEW,30.186
alexandra_view,Alexandra View,82.0,26347.139,30360.589,15.577,9.71,9.71,,,ALEXANDRA VIEW,28.269
alexandra_view,Alexandra View,84.0,26349.11,30360.93,15.593,9.186,9.186,,,ALEXANDRA VIEW,26.355
alexandra_view,Alexandra View,86.0,26351.08,30361.271,17.518,8.662,8.662,,,ALEXANDRA VIEW,24.441
alexandra_view,Alexandra View,88.0,26353.05,30361.617,12.986,8.106,8.106,,,ALEXANDRA VIEW,22.528
alexandra_view,Alexandra View,90.0,26354.984,30362.128,12.355,7.55,7.55,,,ALEXANDRA VIEW,20.671
alexandra_view,Alexandra View,92.0,26356.917,30362.638,12.158,6.994,6.994,,,ALEXANDRA VIEW,18.814
alexandra_view,Alexandra View,94.0,26358.851,30363.149,12.296,6.437,6.437,,,ALEXANDRA VIEW,16.958
alexandra_view,Alexandra View,96.0,26360.785,30363.66,6.659,,5.881,,,ALEXANDRA VIEW,15.101
alexandra_view,Alexandra View,98.0,26362.718,30364.171,6.098,5.325,5.325,,,ALEXANDRA VIEW,13.244
alexandra_view,Alexandra View,100.0,26364.652,30364.681,4.663,4.768,4.768,,,ALEXANDRA VIEW,11.387
alexandra_view,Alexandra View,102.0,26366.586,30365.192,4.67,4.212,4.212,,,ALEXANDRA VIEW,9.531
alexandra_view,Alexandra View,104.0,26368.519,30365.703,3.656,3.656,3.656,,,ALEXANDRA VIEW,7.674
alexandra_view,Alexandra View,106.0,26370.453,30366.214,3.541,3.541,3.541,,,ALEXANDRA VIEW,5.817
alexandra_view,Alexandra View,108.0,26372.387,30366.725,3.384,3.384,3.391,-3.304,1.0,ALEXANDRA VIEW,3.96
alexandra_view,Alexandra View,110.0,26374.32,30367.235,3.377,3.377,3.391,0.218,1.0,ALEXANDRA VIEW,2.104
alexandra_view,Alexandra View,112.0,26376.254,30367.746,3.391,3.391,3.391,2.232,1.0,ALEXANDRA VIEW,0.247
alexandra_view,Alexandra View,114.0,26378.188,30368.257,3.57,3.57,3.559,4.738,1.0,ALEXANDRA VIEW,1.61
alexandra_view,Alexandra View,116.0,26380.122,30368.768,3.559,3.559,3.57,7.244,1.0,ALEXANDRA VIEW,3.467
alexandra_view,Alexandra View,118.0,26382.055,30369.278,3.383,3.765,3.765,5.658,1.0,ALEXANDRA VIEW,5.323
alexandra_view,Alexandra View,120.0,26383.989,30369.789,3.971,3.971,3.971,,,ALEXANDRA VIEW,7.18
alexandra_view,Alexandra View,122.0,26385.923,30370.3,4.011,4.011,4.011,,,ALEXANDRA VIEW,9.037
alexandra_view,Alexandra View,124.0,26387.856,30370.811,4.805,4.056,4.056,,,ALEXANDRA VIEW,10.894
alexandra_view,Alexandra View,126.0,26389.79,30371.322,3.661,4.101,4.101,2.227,1.0,ALEXANDRA VIEW,12.75
alexandra_view,Alexandra View,128.0,26391.209,30371.262,4.386,4.145,4.145,,,ALEXANDRA VIEW,14.166
alexandra_view,Alexandra View,130.0,26390.901,30369.285,4.19,4.19,4.19,,,ALEXANDRA VIEW,14.102
alexandra_view,Alexandra View,132.0,26390.593,30367.309,4.286,4.286,4.19,,,ALEXANDRA VIEW,14.037
alexandra_view,Alexandra View,134.0,26390.285,30365.333,4.44,4.195,4.19,-0.977,1.0,ALEXANDRA VIEW,13.973
alexandra_view,Alexandra View,136.0,26389.976,30363.357,4.104,4.104,4.111,-0.977,1.0,ALEXANDRA VIEW,13.909
alexandra_view,Alexandra View,138.0,26389.668,30361.381,4.111,4.111,4.111,0.159,1.0,ALEXANDRA VIEW,13.845
alexandra_view,Alexandra View,140.0,26389.36,30359.405,4.065,4.065,4.111,1.295,1.0,ALEXANDRA VIEW,13.78
alexandra_view,Alexandra View,142.0,26389.052,30357.429,4.169,4.169,4.169,2.188,1.0,ALEXANDRA VIEW,13.716
alexandra_view,Alexandra View,144.0,26388.744,30355.453,4.347,4.347,4.215,2.321,1.0,ALEXANDRA VIEW,13.652
alexandra_view,Alexandra View,146.0,26388.436,30353.477,4.297,4.297,4.286,1.607,1.0,ALEXANDRA VIEW,13.587
alexandra_view,Alexandra View,148.0,26388.128,30351.5,4.215,4.215,4.297,1.875,1.0,ALEXANDRA VIEW,13.523
alexandra_view,Alexandra View,150.0,26387.819,30349.524,4.286,4.286,4.297,2.434,1.0,ALEXANDRA VIEW,13.459
alexandra_view,Alexandra View,152.0,26387.444,30347.56,4.365,4.365,4.365,2.994,1.0,ALEXANDRA VIEW,13.326
alexandra_view,Alexandra View,154.0,26387.058,30345.598,4.786,4.537,4.537,2.994,1.0,ALEXANDRA VIEW,13.183
alexandra_view,Alexandra View,156.0,26386.672,30343.635,4.708,4.708,4.537,3.08,1.0,ALEXANDRA VIEW,13.04
alexandra_view,Alexandra View,158.0,26386.286,30341.673,4.696,4.696,4.537,2.008,1.0,ALEXANDRA VIEW,12.896
alexandra_view,Alexandra View,160.0,26385.9,30339.71,4.471,4.471,4.611,0.935,1.0,ALEXANDRA VIEW,12.743
alexandra_view,Alexandra View,162.0,26385.467,30337.758,4.461,4.461,4.611,2.653,1.0,ALEXANDRA VIEW,12.541
alexandra_view,Alexandra View,164.0,26384.987,30335.817,4.611,4.611,4.611,,,ALEXANDRA VIEW,12.29
