path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
bukit_merah_central,Bukit Merah Central,0.0,26391.491,29375.298,28.456,25.503,25.503,,,BUKIT MERAH CENTRAL,12.054
bukit_merah_central,Bukit Merah Central,2.0,26393.12,29376.457,26.36,25.503,25.503,,,BUKIT MERAH CENTRAL,10.35
bukit_merah_central,Bukit Merah Central,4.0,26394.75,29377.616,26.952,25.503,25.503,,,BUKIT MERAH CENTRAL,8.646
bukit_merah_central,Bukit Merah Central,6.0,26396.38,29378.776,28.327,25.503,25.503,,,BUKIT MERAH CENTRAL,6.941
bukit_merah_central,Bukit Merah Central,8.0,26398.009,29379.935,26.997,25.323,25.323,,,BUKIT MERAH CENTRAL,5.237
bukit_merah_central,Bukit Merah Central,10.0,26399.639,29381.095,27.842,25.142,25.142,,,BUKIT MERAH CENTRAL,3.533
bukit_merah_central,Bukit Merah Central,12.0,26401.156,29382.383,21.518,24.962,24.962,,,BUKIT MERAH CENTRAL,1.932
bukit_merah_central,Bukit Merah Central,14.0,26402.531,29383.836,21.518,24.781,24.781,,,BUKIT MERAH CENTRAL,0.463
bukit_merah_central,Bukit Merah Central,16.0,26403.905,29385.289,21.518,24.6,24.6,,,BUKIT MERAH CENTRAL,1.362
bukit_merah_central,Bukit Merah Central,18.0,26405.28,29386.741,21.512,24.42,24.42,,,BUKIT MERAH CENTRAL,3.353
bukit_merah_central,Bukit Merah Central,20.0,26406.655,29388.194,21.518,24.239,24.239,,,BUKIT MERAH CENTRAL,5.345
bukit_merah_central,Bukit Merah Central,22.0,26407.667,29389.813,22.431,24.059,24.059,,,BUKIT MERAH CENTRAL,7.175
bukit_merah_central,Bukit Merah Central,24.0,26407.871,29391.803,23.844,23.878,23.878,,,BUKIT MERAH CENTRAL,8.644
bukit_merah_central,Bukit Merah Central,26.0,26408.076,29393.792,23.698,23.698,23.878,,,BUKIT MERAH CENTRAL,10.113
bukit_merah_central,Bukit Merah Central,28.0,26408.28,29395.782,23.544,23.8,23.8,,,BUKIT MERAH CENTRAL,11.582
bukit_merah_central,Bukit Merah Central,30.0,26408.247,29397.651,24.516,23.901,23.777,,,BUKIT MERAH CENTRAL,12.793
