path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
cantonment_link,1,Cantonment Link_Cam4_20251229_080733_831_A.jpeg,,12.609,6.304,6.0,4.929,,
cantonment_link,2,Cantonment Link_Cam4_20251229_080739_234_A.jpeg,,212.811,112.71,112.0,9.663,,
cantonment_link,3,Cantonment Link_Cam4_20260108_075433_278_C.jpeg,,225.863,219.337,220.0,9.108,,
cantonment_link,4,Cantonment Link_Cam4_20260108_075438_700_C.jpeg,,252.149,239.006,240.0,9.478,,
cantonment_link,5,Cantonment Link_Cam4_20260108_075450_111_C.jpeg,,260.389,256.269,256.0,6.485,,
cantonment_link,6,Cantonment Link_Cam4_20260108_075454_318_C.jpeg,,292.649,276.519,276.0,7.146,,
cantonment_link,7,Cantonment Link_Cam4_20260108_075511_137_C.jpeg,,299.758,296.204,296.0,6.526,3.74,1.0
cantonment_link,8,Cantonment Link_Cam4_20260108_075514_139_C.jpeg,,328.214,313.986,314.0,8.512,,
cantonment_link,9,Cantonment Link_Cam4_20260108_075602_205_C.jpeg,,356.841,342.527,342.0,6.118,,
cantonment_link,10,Cantonment Link_Cam4_20260108_075613_014_C.jpeg,,365.389,361.115,362.0,6.928,,
cantonment_link,11,Cantonment Link_Cam4_20260108_075616_018_C.jpeg,,374.289,369.839,370.0,7.1,,
cantonment_link,12,Cantonment Link_Cam4_20260108_075619_630_C.jpeg,,400.828,387.559,388.0,4.605,,
cantonment_link,13,Cantonment Link_Cam4_20260108_075630_443_C.jpeg,,470.148,435.488,436.0,7.153,,
cantonment_link,14,Cantonment Link_Cam4_20260108_075819_174_C.jpeg,,480.013,475.08,476.0,6.09,,
cantonment_link,15,Cantonment Link_Cam4_20260108_075823_979_C.jpeg,,575.127,527.57,528.0,9.48,,
cantonment_link,16,Cantonment Link_Cam4_20260108_075900_625_C.jpeg,,582.637,578.882,578.0,6.029,,
cantonment_link,17,Cantonment Link_Cam4_20260108_075903_028_C.jpeg,,609.205,595.921,596.0,7.151,,
cantonment_link,18,Cantonment Link_Cam4_20260108_075913_291_C.jpeg,,619.74,614.473,,,,
