path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
central_expressway,1,Central Expressway_CENTRAL_EXPRESSWAY_SW3_1Q2026__Cam4_20251229_082117_017_B.jpeg,,12.715,6.357,,,,
central_expressway,2,Central Expressway_CENTRAL_EXPRESSWAY_SW3_1Q2026__Cam4_20251229_082123_625_B.jpeg,,23.445,18.08,18.0,,,
central_expressway,3,Central Expressway_CENTRAL_EXPRESSWAY_SW3_1Q2026__Cam4_20251229_082126_030_B.jpeg,,30.424,26.934,26.0,,,
central_expressway,4,Central Expressway_CENTRAL_EXPRESSWAY_SW3_1Q2026__Cam4_20251229_082129_034_B.jpeg,,44.737,37.58,38.0,,,
central_expressway,5,Central Expressway_CENTRAL_EXPRESSWAY_SW3_1Q2026__Cam4_20251229_082132_036_B.jpeg,,67.738,56.238,56.0,,,
central_expressway,6,Central Expressway_CENTRAL_EXPRESSWAY_SW3_1Q2026__Cam4_20251229_083829_943_B.jpeg,,113.434,90.586,90.0,,,
central_expressway,7,Central Expressway_CENTRAL_EXPRESSWAY_NE3_1Q2026__Cam4_20260101_073424_297_B.jpeg,,124.748,119.091,120.0,,,
central_expressway,8,Central Expressway_CENTRAL_EXPRESSWAY_NE3_1Q2026__Cam4_20260101_073428_502_B.jpeg,,133.094,128.921,128.0,,,
central_expressway,9,Central Expressway_CENTRAL_EXPRESSWAY_NE3_1Q2026__Cam4_20260101_073431_504_B.jpeg,,557.543,345.318,346.0,,,
central_expressway,10,Central Expressway_CENTRAL_EXPRESSWAY_NE3_1Q2026__Cam4_20260101_073433_307_B.jpeg,,567.64,562.591,562.0,,,
central_expressway,11,Central Expressway_CENTRAL_EXPRESSWAY_NE3_1Q2026__Cam4_20260101_073436_912_B.jpeg,,579.043,573.341,574.0,,,
central_expressway,12,Central Expressway_CENTRAL_EXPRESSWAY_NE3_1Q2026__Cam4_20260101_073444_120_B.jpeg,,590.06,584.552,584.0,,,
