path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
kim_seng_road,Kim Seng Road,0.0,28170.913,30229.877,2.893,2.893,2.955,,,KIM SENG ROAD,3.027
kim_seng_road,Kim Seng Road,2.0,28172.83,30229.304,3.069,3.069,2.924,0.0,1.0,KIM SENG ROAD,1.46
kim_seng_road,Kim Seng Road,4.0,28174.746,30228.732,3.244,2.955,2.955,0.0,1.0,KIM SENG ROAD,0.107
kim_seng_road,Kim Seng Road,6.0,28176.662,30228.159,2.842,2.842,2.955,1.467,1.0,KIM SENG ROAD,1.674
kim_seng_road,Kim Seng Road,8.0,28178.578,30227.587,3.042,3.042,2.955,3.037,1.0,KIM SENG ROAD,3.24
kim_seng_road,Kim Seng Road,10.0,28180.495,30227.014,2.925,2.925,3.042,4.608,1.0,KIM SENG ROAD,4.807
kim_seng_road,Kim Seng Road,12.0,28181.667,30227.049,3.069,3.069,3.069,,,KIM SENG ROAD,5.909
kim_seng_road,Kim Seng Road,14.0,28180.723,30228.812,3.324,3.324,3.324,,,KIM SENG ROAD,5.687
kim_seng_road,Kim Seng Road,16.0,28179.779,30230.575,3.399,3.56,3.56,11.192,2.0,KIM SENG ROAD,5.465
kim_seng_road,Kim Seng Road,18.0,28178.835,30232.339,3.229,3.797,3.797,8.244,1.0,KIM SENG ROAD,5.243
kim_seng_road,Kim Seng Road,20.0,28177.891,30234.102,4.033,4.033,3.965,,,KIM SENG ROAD,5.021
kim_seng_road,Kim Seng Road,22.0,28176.947,30235.865,3.983,3.983,3.983,,,KIM SENG ROAD,4.799
kim_seng_road,Kim Seng Road,24.0,28176.004,30237.628,3.965,3.965,4.033,,,KIM SENG ROAD,4.577
kim_seng_road,Kim Seng Road,26.0,28175.06,30239.392,4.038,4.038,4.038,,,KIM SENG ROAD,4.355
kim_seng_road,Kim Seng Road,28.0,28174.116,30241.155,4.017,4.277,4.277,,,KIM SENG ROAD,4.185
kim_seng_road,Kim Seng Road,30.0,28173.172,30242.918,2.798,4.517,4.517,,,KIM SENG ROAD,4.118
kim_seng_road,Kim Seng Road,32.0,28172.228,30244.681,2.757,4.809,4.809,,,KIM SENG ROAD,4.051
