path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
leng_kee_road,1,Leng Kee Road_Cam4_20251226_072856_580_C.jpeg,,10.062,5.031,6.0,8.375,,
leng_kee_road,2,Leng Kee Road_Cam4_20251226_072900_184_C.jpeg,,22.395,16.228,16.0,7.059,,
leng_kee_road,3,Leng Kee Road_Cam4_20251226_072904_387_C.jpeg,,33.646,28.021,28.0,6.295,,
leng_kee_road,4,Leng Kee Road_Cam4_20251226_072907_991_C.jpeg,,40.948,37.297,38.0,6.339,,
leng_kee_road,5,Leng Kee Road_Cam4_20251226_072910_394_C.jpeg,,101.799,71.373,72.0,6.884,,
leng_kee_road,6,Leng Kee Road_Cam4_20251226_072932_624_C.jpeg,,113.489,107.644,108.0,6.162,-3.397,1.0
leng_kee_road,7,Leng Kee Road_Cam4_20251226_072939_831_C.jpeg,,135.897,124.693,124.0,5.93,,
leng_kee_road,8,Leng Kee Road_Cam4_20251226_072948_843_C.jpeg,,147.436,141.667,142.0,7.31,,
leng_kee_road,9,Leng Kee Road_Cam4_20251226_072953_049_C.jpeg,,155.41,151.423,152.0,7.444,2.393,1.0
leng_kee_road,10,Leng Kee Road_Cam4_20251226_072956_052_C.jpeg,,182.649,169.03,170.0,6.114,,
leng_kee_road,11,Leng Kee Road_Cam4_20251226_073006_863_C.jpeg,,192.524,187.586,188.0,7.171,,
leng_kee_road,12,Leng Kee Road_Cam4_20251226_073009_865_C.jpeg,,203.513,198.018,198.0,6.248,,
leng_kee_road,13,Leng Kee Road_Cam4_20251226_073013_470_C.jpeg,,226.927,215.22,216.0,6.304,11.119,2.0
leng_kee_road,14,Leng Kee Road_Cam4_20251226_073030_890_C.jpeg,,258.028,242.477,242.0,7.717,,
leng_kee_road,15,Leng Kee Road_Cam4_20251226_073041_704_C.jpeg,,264.226,261.127,262.0,6.838,-2.656,1.0
leng_kee_road,16,Leng Kee Road_Cam4_20251226_073043_506_C.jpeg,,276.517,270.372,270.0,6.591,-1.07,1.0
leng_kee_road,17,Leng Kee Road_Cam4_20251226_073047_109_C.jpeg,,288.777,282.647,282.0,6.344,-1.424,1.0
leng_kee_road,18,Leng Kee Road_Cam4_20251226_073051_310_C.jpeg,,370.287,329.532,330.0,8.11,,
leng_kee_road,19,Leng Kee Road_Cam4_20251226_082730_654_C.jpeg,,377.643,373.965,374.0,6.121,,
leng_kee_road,20,Leng Kee Road_Cam4_20251226_082732_455_C.jpeg,,386.825,382.234,382.0,6.469,,
leng_kee_road,21,Leng Kee Road_Cam4_20251226_082734_857_C.jpeg,,397.724,392.274,392.0,7.614,,
leng_kee_road,22,Leng Kee Road_Cam4_20251226_082737_859_C.jpeg,,406.403,402.063,402.0,8.51,0.277,1.0
leng_kee_road,23,Leng Kee Road_Cam4_20251226_082740_262_C.jpeg,,419.313,412.858,412.0,8.437,,
leng_kee_road,24,Leng Kee Road_Cam4_20251226_082743_867_C.jpeg,,429.904,424.609,424.0,7.43,,
leng_kee_road,25,Leng Kee Road_Cam4_20251226_082746_871_C.jpeg,,438.016,433.96,434.0,6.418,,
leng_kee_road,26,Leng Kee Road_Cam4_20251226_082749_274_C.jpeg,,464.055,451.035,452.0,7.045,0.0,1.0
leng_kee_road,27,Leng Kee Road_Cam4_20251226_082757_082_C.jpeg,,472.789,468.422,468.0,7.101,,
leng_kee_road,28,Leng Kee Road_Cam4_20251226_082759_486_C.jpeg,,485.815,479.302,480.0,8.199,,
leng_kee_road,29,Leng Kee Road_Cam4_20251226_082803_092_C.jpeg,,509.211,497.513,498.0,8.002,,
