path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
lim_teck_kim_road,Lim Teck Kim Road,10.0,29039.121,28454.915,,7.379,7.379,0.0,1.0,LIM TECK KIM ROAD,12.898
lim_teck_kim_road,Lim Teck Kim Road,12.0,29037.19,28454.399,,7.379,7.379,,,LIM TECK KIM ROAD,12.426
lim_teck_kim_road,Lim Teck Kim Road,14.0,29035.302,28453.74,,7.379,7.379,,,LIM TECK KIM ROAD,11.811
lim_teck_kim_road,Lim Teck Kim Road,16.0,29033.413,28453.082,4.416,7.574,7.574,,,LIM TECK KIM ROAD,11.196
lim_teck_kim_road,Lim Teck Kim Road,18.0,29031.525,28452.423,4.516,7.768,7.574,,,LIM TECK KIM ROAD,10.58
lim_teck_kim_road,Lim Teck Kim Road,20.0,29029.637,28451.764,7.379,7.589,7.574,,,LIM TECK KIM ROAD,9.965
lim_teck_kim_road,Lim Teck Kim Road,22.0,29027.748,28451.105,7.463,7.411,7.411,,,LIM TECK KIM ROAD,9.35
lim_teck_kim_road,Lim Teck Kim Road,24.0,29025.884,28450.382,9.713,7.232,7.232,,,LIM TECK KIM ROAD,8.671
lim_teck_kim_road,Lim Teck Kim Road,26.0,29024.036,28449.618,10.024,7.053,7.053,,,LIM TECK KIM ROAD,7.949
lim_teck_kim_road,Lim Teck Kim Road,28.0,29022.188,28448.854,10.039,6.874,6.874,,,LIM TECK KIM ROAD,7.228
lim_teck_kim_road,Lim Teck Kim Road,30.0,29020.339,28448.09,9.984,6.695,6.695,,,LIM TECK KIM ROAD,6.506
lim_teck_kim_road,Lim Teck Kim Road,32.0,29018.491,28447.325,7.5,6.516,6.516,,,LIM TECK KIM ROAD,5.785
lim_teck_kim_road,Lim Teck Kim Road,34.0,29016.643,28446.561,4.941,6.338,6.338,,,LIM TECK KIM ROAD,5.063
lim_teck_kim_road,Lim Teck Kim Road,36.0,29014.795,28445.797,4.841,6.159,6.159,,,LIM TECK KIM ROAD,4.342
lim_teck_kim_road,Lim Teck Kim Road,38.0,29012.965,28444.991,4.704,5.98,5.98,,,LIM TECK KIM ROAD,3.579
lim_teck_kim_road,Lim Teck Kim Road,40.0,29011.149,28444.153,4.716,5.801,5.81,,,LIM TECK KIM ROAD,2.783
lim_teck_kim_road,Lim Teck Kim Road,42.0,29009.333,28443.315,4.791,5.622,5.81,,,LIM TECK KIM ROAD,1.986
lim_teck_kim_road,Lim Teck Kim Road,44.0,29007.365,28442.977,4.766,5.81,5.81,,,LIM TECK KIM ROAD,1.694
lim_teck_kim_road,Lim Teck Kim Road,46.0,29005.39,28442.663,7.83,5.999,5.999,,,LIM TECK KIM ROAD,1.425
lim_teck_kim_road,Lim Teck Kim Road,48.0,29003.415,28442.348,8.055,6.187,6.187,,,LIM TECK KIM ROAD,1.156
lim_teck_kim_road,Lim Teck Kim Road,50.0,29001.44,28442.033,11.927,6.375,6.375,,,LIM TECK KIM ROAD,0.887
lim_teck_kim_road,Lim Teck Kim Road,52.0,28999.459,28441.909,11.327,6.563,6.563,,,LIM TECK KIM ROAD,0.809
lim_teck_kim_road,Lim Teck Kim Road,54.0,28997.47,28442.113,10.927,6.751,6.751,,,LIM TECK KIM ROAD,1.059
lim_teck_kim_road,Lim Teck Kim Road,56.0,28995.48,28442.317,11.317,6.939,6.939,,,LIM TECK KIM ROAD,1.308
lim_teck_kim_road,Lim Teck Kim Road,58.0,28993.49,28442.521,9.071,7.127,7.127,,,LIM TECK KIM ROAD,1.558
lim_teck_kim_road,Lim Teck Kim Road,60.0,28991.501,28442.725,8.971,7.316,7.316,,,LIM TECK KIM ROAD,1.808
lim_teck_kim_road,Lim Teck Kim Road,62.0,28989.528,28443.007,8.046,7.504,7.504,,,LIM TECK KIM ROAD,2.135
lim_teck_kim_road,Lim Teck Kim Road,64.0,28987.637,28443.658,7.996,7.692,7.562,,,LIM TECK KIM ROAD,2.829
lim_teck_kim_road,Lim Teck Kim Road,66.0,28985.746,28444.308,8.071,7.627,7.562,,,LIM TECK KIM ROAD,3.523
