path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
lower_delta_road,1,Lower Delta Road_Cam4_20251226_080723_158_C.jpeg,,12.694,6.347,6.0,6.417,,
lower_delta_road,2,Lower Delta Road_Cam4_20251226_080727_963_C.jpeg,,449.023,230.858,230.0,4.664,0.391,1.0
lower_delta_road,3,Lower Delta Road_Cam4_20251227_072707_465_B.jpeg,,459.594,454.308,454.0,3.871,0.583,1.0
lower_delta_road,4,Lower Delta Road_Cam4_20251227_072711_068_B.jpeg,,470.274,464.934,464.0,4.271,,
lower_delta_road,5,Lower Delta Road_Cam4_20251227_072714_674_B.jpeg,,480.545,475.409,,,,
lower_delta_road,6,Lower Delta Road_Cam4_20251227_072718_278_B.jpeg,,490.938,485.742,,,,
lower_delta_road,7,Lower Delta Road_Cam4_20251227_072722_482_B.jpeg,,1000.164,745.551,746.0,14.239,,
lower_delta_road,8,Lower Delta Road_Cam4_20251227_073152_636_A.jpeg,,1010.643,1005.403,1006.0,10.0,,
lower_delta_road,9,Lower Delta Road_Cam4_20251227_073159_242_A.jpeg,,1020.013,1015.328,1016.0,8.948,,
lower_delta_road,10,Lower Delta Road_Cam4_20251227_073220_864_A.jpeg,,1031.88,1025.946,1026.0,8.331,,
lower_delta_road,11,Lower Delta Road_Cam4_20251227_073224_467_A.jpeg,,1043.405,1037.642,1038.0,8.492,,
lower_delta_road,12,Lower Delta Road_Cam4_20251227_073227_471_A.jpeg,,1065.882,1054.643,1054.0,10.743,,
lower_delta_road,13,Lower Delta Road_Cam4_20251227_073234_678_A.jpeg,,1133.219,1099.551,,,,
lower_delta_road,14,Lower Delta Road_Cam4_20251227_074339_788_A.jpeg,,1142.903,1138.061,1136.0,12.167,,
lower_delta_road,15,Lower Delta Road_Cam4_20251227_074342_790_A.jpeg,,2347.992,1745.447,,,,
lower_delta_road,16,Lower Delta Road_Cam4_20251227_074525_332_C.jpeg,,3576.86,2962.426,,,,
lower_delta_road,17,Lower Delta Road_Cam4_20251227_074536_955_A.jpeg,,3587.728,3582.294,3582.0,12.002,,
lower_delta_road,18,Lower Delta Road_Cam4_20251227_074541_765_A.jpeg,,3598.673,3593.201,3594.0,14.347,,
lower_delta_road,19,Lower Delta Road_Cam4_20251227_074545_368_A.jpeg,,3621.056,3609.864,3610.0,13.492,,
lower_delta_road,20,Lower Delta Road_Cam4_20251227_074600_985_A.jpeg,,4152.345,3886.7,3886.0,13.549,,
lower_delta_road,21,Lower Delta Road_Cam4_20251227_085233_598_B.jpeg,,4172.054,4162.199,4162.0,5.109,,
lower_delta_road,22,Lower Delta Road_Cam4_20251227_085240_876_B.jpeg,,4183.134,4177.594,4178.0,4.351,-0.375,1.0
lower_delta_road,23,Lower Delta Road_Cam4_20251227_085245_080_B.jpeg,,4192.001,4187.567,4188.0,4.301,,
lower_delta_road,24,Lower Delta Road_Cam4_20251227_085249_887_B.jpeg,,4211.895,4201.948,4200.0,4.351,-1.47,1.0
lower_delta_road,25,Lower Delta Road_Cam4_20251227_085304_352_B.jpeg,,5906.989,5059.442,,,,
lower_delta_road,26,Lower Delta Road_Cam4_20251229_081250_444_C.jpeg,,5943.38,5925.185,,,,
