path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
peng_nguan_street,Peng Nguan Street,0.0,27750.951,29431.262,12.256,13.687,13.687,,,PENG NGUAN STREET,6.806
peng_nguan_street,Peng Nguan Street,2.0,27752.201,29429.701,9.301,13.687,13.687,,,PENG NGUAN STREET,6.609
peng_nguan_street,Peng Nguan Street,4.0,27753.451,29428.14,13.687,13.687,13.687,,,PENG NGUAN STREET,6.412
peng_nguan_street,Peng Nguan Street,6.0,27754.701,29426.578,13.53,13.53,13.53,,,PENG NGUAN STREET,6.216
peng_nguan_street,Peng Nguan Street,8.0,27755.95,29425.017,13.397,13.397,13.481,,,PENG NGUAN STREET,6.019
peng_nguan_street,Peng Nguan Street,10.0,27757.2,29423.455,14.141,13.481,13.397,,,PENG NGUAN STREET,5.822
peng_nguan_street,Peng Nguan Street,12.0,27758.45,29421.894,13.388,13.346,13.346,,,PENG NGUAN STREET,5.625
peng_nguan_street,Peng Nguan Street,14.0,27759.651,29420.296,13.647,13.21,13.21,,,PENG NGUAN STREET,5.368
peng_nguan_street,Peng Nguan Street,16.0,27760.815,29418.669,13.732,12.956,12.956,,,PENG NGUAN STREET,5.064
peng_nguan_street,Peng Nguan Street,18.0,27761.979,29417.043,12.7,12.701,12.701,,,PENG NGUAN STREET,4.76
peng_nguan_street,Peng Nguan Street,20.0,27763.142,29415.416,12.738,12.447,12.447,,,PENG NGUAN STREET,4.455
peng_nguan_street,Peng Nguan Street,22.0,27764.306,29413.789,12.349,12.192,12.277,,,PENG NGUAN STREET,4.151
peng_nguan_street,Peng Nguan Street,24.0,27765.469,29412.163,10.449,12.235,12.277,,,PENG NGUAN STREET,3.847
peng_nguan_street,Peng Nguan Street,26.0,27766.633,29410.536,10.499,12.277,12.277,,,PENG NGUAN STREET,3.543
peng_nguan_street,Peng Nguan Street,28.0,27767.796,29408.909,10.463,12.319,12.319,,,PENG NGUAN STREET,3.239
peng_nguan_street,Peng Nguan Street,30.0,27768.96,29407.283,9.83,12.362,12.362,,,PENG NGUAN STREET,2.935
peng_nguan_street,Peng Nguan Street,32.0,27770.124,29405.656,9.844,12.404,12.404,,,PENG NGUAN STREET,2.63
peng_nguan_street,Peng Nguan Street,34.0,27771.287,29404.029,9.881,12.446,12.446,,,PENG NGUAN STREET,2.326
peng_nguan_street,Peng Nguan Street,36.0,27772.451,29402.403,11.275,12.488,12.488,,,PENG NGUAN STREET,2.022
peng_nguan_street,Peng Nguan Street,38.0,27773.614,29400.776,12.295,12.531,12.531,,,PENG NGUAN STREET,1.722
peng_nguan_street,Peng Nguan Street,40.0,27774.778,29399.149,12.199,12.573,12.573,,,PENG NGUAN STREET,1.431
peng_nguan_street,Peng Nguan Street,42.0,27776.172,29397.715,12.528,12.851,12.851,,,PENG NGUAN STREET,1.44
peng_nguan_street,Peng Nguan Street,44.0,27777.566,29396.281,14.586,13.129,13.129,,,PENG NGUAN STREET,1.449
peng_nguan_street,Peng Nguan Street,46.0,27778.961,29394.848,13.407,13.407,13.407,,,PENG NGUAN STREET,1.459
peng_nguan_street,Peng Nguan Street,48.0,27780.355,29393.414,13.419,13.419,13.407,,,PENG NGUAN STREET,1.468
peng_nguan_street,Peng Nguan Street,50.0,27781.756,29391.987,11.181,13.425,13.407,,,PENG NGUAN STREET,1.487
peng_nguan_street,Peng Nguan Street,52.0,27783.209,29390.612,13.431,13.204,13.204,,,PENG NGUAN STREET,1.579
peng_nguan_street,Peng Nguan Street,54.0,27784.662,29389.238,10.969,12.983,12.983,,,PENG NGUAN STREET,1.672
peng_nguan_street,Peng Nguan Street,56.0,27786.114,29387.863,12.944,12.763,12.88,,,PENG NGUAN STREET,1.764
peng_nguan_street,Peng Nguan Street,58.0,27787.567,29386.489,13.256,12.821,12.88,,,PENG NGUAN STREET,1.857
