path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
prince_charles_crescent,1,Prince Charles Crescent_Cam4_20251205_095554_580_C.jpeg,,11.032,5.516,6.0,3.627,,
prince_charles_crescent,2,Prince Charles Crescent_Cam4_20251205_095558_069_C.jpeg,,22.883,16.958,16.0,4.099,,
prince_charles_crescent,3,Prince Charles Crescent_Cam4_20251205_095601_673_C.jpeg,,32.608,27.746,28.0,4.822,,
prince_charles_crescent,4,Prince Charles Crescent_Cam4_20251205_095604_676_C.jpeg,,43.812,38.21,38.0,4.288,,
prince_charles_crescent,5,Prince Charles Crescent_Cam4_20251205_095608_292_C.jpeg,,66.733,55.273,56.0,5.689,,
prince_charles_crescent,6,Prince Charles Crescent_Cam4_20251205_095615_505_C.jpeg,,77.868,72.3,72.0,6.757,,
prince_charles_crescent,7,Prince Charles Crescent_Cam4_20251205_095618_567_C.jpeg,,88.92,83.394,84.0,7.464,,
prince_charles_crescent,8,Prince Charles Crescent_Cam4_20251205_095621_570_C.jpeg,,99.754,94.337,94.0,8.635,,
prince_charles_crescent,9,Prince Charles Crescent_Cam4_20251205_095624_606_C.jpeg,,123.695,111.725,112.0,7.566,-7.961,1.0
prince_charles_crescent,10,Prince Charles Crescent_Cam4_20251205_095631_817_C.jpeg,,133.519,128.607,128.0,7.308,,
prince_charles_crescent,11,Prince Charles Crescent_Cam4_20251205_095634_822_C.jpeg,,144.689,139.104,140.0,5.84,,
prince_charles_crescent,12,Prince Charles Crescent_Cam4_20251205_095638_426_C.jpeg,,156.341,150.515,150.0,4.033,,
prince_charles_crescent,13,Prince Charles Crescent_Cam4_20251205_095642_031_C.jpeg,,178.332,167.336,168.0,3.102,-1.563,1.0
prince_charles_crescent,14,Prince Charles Crescent_Cam4_20251205_095648_637_C.jpeg,,188.352,183.342,184.0,2.902,1.562,1.0
prince_charles_crescent,15,Prince Charles Crescent_Cam4_20251205_095651_651_C.jpeg,,200.247,194.299,194.0,3.027,0.0,1.0
prince_charles_crescent,16,Prince Charles Crescent_Cam4_20251205_095655_254_C.jpeg,,212.476,206.361,206.0,3.102,2.344,1.0
prince_charles_crescent,17,Prince Charles Crescent_Cam4_20251205_095658_859_C.jpeg,,218.197,215.336,216.0,3.377,3.437,1.0
prince_charles_crescent,18,Prince Charles Crescent_Cam4_20251205_095700_661_C.jpeg,,244.839,231.518,232.0,3.827,0.625,1.0
prince_charles_crescent,19,Prince Charles Crescent_Cam4_20251205_095711_512_C.jpeg,,256.764,250.801,250.0,3.902,0.313,1.0
prince_charles_crescent,20,Prince Charles Crescent_Cam4_20251205_095715_725_C.jpeg,,267.584,262.174,262.0,3.952,0.625,1.0
prince_charles_crescent,21,Prince Charles Crescent_Cam4_20251205_095719_329_C.jpeg,,278.986,273.285,274.0,4.052,0.937,1.0
prince_charles_crescent,22,Prince Charles Crescent_Cam4_20251205_095722_933_C.jpeg,,284.512,281.749,282.0,4.102,0.0,1.0
prince_charles_crescent,23,Prince Charles Crescent_Cam4_20251205_095724_743_C.jpeg,,314.821,299.666,300.0,3.877,-1.563,1.0
prince_charles_crescent,24,Prince Charles Crescent_Cam4_20251205_095733_750_C.jpeg,,339.684,327.252,328.0,3.677,-0.469,1.0
prince_charles_crescent,25,Prince Charles Crescent_Cam4_20251205_095741_014_C.jpeg,,366.851,353.267,354.0,3.627,-0.313,1.0
prince_charles_crescent,26,Prince Charles Crescent_Cam4_20251205_095750_632_C.jpeg,,377.445,372.148,372.0,3.602,0.0,1.0
prince_charles_crescent,27,Prince Charles Crescent_Cam4_20251205_095754_236_C.jpeg,,384.04,380.742,380.0,3.577,-0.312,1.0
prince_charles_crescent,28,Prince Charles Crescent_Cam4_20251205_095756_638_C.jpeg,,394.93,389.485,390.0,3.577,0.0,1.0
prince_charles_crescent,29,Prince Charles Crescent_Cam4_20251205_095800_872_C.jpeg,,406.419,400.675,400.0,3.577,0.312,1.0
prince_charles_crescent,30,Prince Charles Crescent_Cam4_20251205_095805_082_C.jpeg,,430.892,418.655,418.0,3.594,0.0,1.0
prince_charles_crescent,31,Prince Charles Crescent_Cam4_20251205_095814_757_C.jpeg,,457.427,444.16,444.0,3.547,0.0,1.0
prince_charles_crescent,32,Prince Charles Crescent_Cam4_20251205_095825_004_C.jpeg,,467.137,462.282,462.0,3.535,-0.625,1.0
prince_charles_crescent,33,Prince Charles Crescent_Cam4_20251205_095828_646_C.jpeg,,495.803,481.47,482.0,3.691,4.844,1.0
prince_charles_crescent,34,Prince Charles Crescent_Cam4_20251205_095840_661_C.jpeg,,504.536,500.17,500.0,4.235,1.719,1.0
prince_charles_crescent,35,Prince Charles Crescent_Cam4_20251205_095845_466_C.jpeg,,527.986,516.261,516.0,4.41,,
prince_charles_crescent,36,Prince Charles Crescent_Cam4_20251205_095855_736_C.jpeg,,539.533,533.759,534.0,3.635,,
prince_charles_crescent,37,Prince Charles Crescent_Cam4_20251205_095900_542_C.jpeg,,549.929,544.731,544.0,3.809,,
prince_charles_crescent,38,Prince Charles Crescent_Cam4_20251205_095904_809_C.jpeg,,573.296,561.613,562.0,3.372,1.406,1.0
prince_charles_crescent,39,Prince Charles Crescent_Cam4_20251205_095925_259_C.jpeg,,613.249,593.273,594.0,4.822,,
prince_charles_crescent,40,Prince Charles Crescent_Cam4_20251205_095938_357_C.jpeg,,641.493,627.371,628.0,3.61,0.0,1.0
prince_charles_crescent,41,Prince Charles Crescent_Cam4_20251205_095947_251_C.jpeg,,666.188,653.841,654.0,4.105,,
prince_charles_crescent,42,Prince Charles Crescent_Cam4_20251205_095954_457_C.jpeg,,674.985,670.586,670.0,3.627,0.0,1.0
prince_charles_crescent,43,Prince Charles Crescent_Cam4_20251205_095956_859_C.jpeg,,683.856,679.42,680.0,3.614,0.0,1.0
prince_charles_crescent,44,Prince Charles Crescent_Cam4_20251205_095959_261_C.jpeg,,695.074,689.465,690.0,3.627,0.0,1.0
prince_charles_crescent,45,Prince Charles Crescent_Cam4_20251205_100002_265_C.jpeg,,703.974,699.524,700.0,3.627,0.313,1.0
prince_charles_crescent,46,Prince Charles Crescent_Cam4_20251205_100004_668_C.jpeg,,717.731,710.852,710.0,3.627,-0.625,1.0
prince_charles_crescent,47,Prince Charles Crescent_Cam4_20251205_100008_925_C.jpeg,,743.272,730.501,730.0,3.602,0.156,1.0
prince_charles_crescent,48,Prince Charles Crescent_Cam4_20251205_100016_135_C.jpeg,,767.837,755.555,756.0,3.752,0.312,1.0
prince_charles_crescent,49,Prince Charles Crescent_Cam4_20251205_100022_747_C.jpeg,,794.683,781.26,782.0,4.002,2.031,1.0
prince_charles_crescent,50,Prince Charles Crescent_Cam4_20251205_100029_961_C.jpeg,,803.457,799.07,800.0,3.852,0.0,1.0
prince_charles_crescent,51,Prince Charles Crescent_Cam4_20251205_100032_364_C.jpeg,,817.611,810.534,810.0,3.877,0.0,1.0
prince_charles_crescent,52,Prince Charles Crescent_Cam4_20251205_100036_574_C.jpeg,,839.422,828.516,828.0,3.852,-0.312,1.0
prince_charles_crescent,53,Prince Charles Crescent_Cam4_20251205_100042_581_C.jpeg,,851.372,845.397,846.0,3.702,-1.875,1.0
prince_charles_crescent,54,Prince Charles Crescent_Cam4_20251205_100045_593_C.jpeg,,858.704,855.038,856.0,3.427,-2.813,1.0
prince_charles_crescent,55,Prince Charles Crescent_Cam4_20251205_100047_394_C.jpeg,,885.528,872.116,872.0,3.002,,
prince_charles_crescent,56,Prince Charles Crescent_Cam4_20251205_100054_029_C.jpeg,,896.325,890.927,890.0,3.027,0.938,1.0
