path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
binjai_walk,1,Binjai Walk_Cam4_20251217_093019_719_C.jpeg,,11.376,5.688,6.0,13.467,9.743,2.0
binjai_walk,2,Binjai Walk_Cam4_20251217_093023_969_C.jpeg,,39.883,25.63,26.0,15.796,,
binjai_walk,3,Binjai Walk_Cam4_20251217_093035_448_C.jpeg,,63.677,51.78,52.0,18.489,,
binjai_walk,4,Binjai Walk_Cam4_20251217_093043_952_C.jpeg,,72.064,67.87,68.0,18.444,,
binjai_walk,5,Binjai Walk_Cam4_20251217_093047_052_C.jpeg,,99.866,85.965,86.0,20.037,,
binjai_walk,6,Binjai Walk_Cam4_20251217_093056_704_C.jpeg,,123.715,111.791,112.0,14.839,,
binjai_walk,7,Binjai Walk_Cam4_20251217_093104_515_C.jpeg,,133.289,128.502,128.0,17.567,,
binjai_walk,8,Binjai Walk_Cam4_20251217_093107_557_C.jpeg,,146.137,139.713,140.0,20.175,,
binjai_walk,9,Binjai Walk_Cam4_20251217_093111_761_C.jpeg,,156.654,151.395,152.0,20.967,,
binjai_walk,10,Binjai Walk_Cam4_20251217_093115_362_C.jpeg,,167.192,161.923,162.0,19.188,,
binjai_walk,11,Binjai Walk_Cam4_20251217_093118_987_C.jpeg,,176.848,172.02,172.0,17.611,,
binjai_walk,12,Binjai Walk_Cam4_20251217_093130_406_C.jpeg,,186.933,181.891,182.0,18.691,,
binjai_walk,13,Binjai Walk_Cam4_20251217_093132_811_C.jpeg,,196.302,191.617,192.0,19.766,,
binjai_walk,14,Binjai Walk_Cam4_20251217_093134_612_C.jpeg,,209.544,202.923,202.0,20.546,,
binjai_walk,15,Binjai Walk_Cam4_20251217_093137_014_C.jpeg,,326.744,268.144,268.0,15.554,,
binjai_walk,16,Binjai Walk_Cam4_20251217_093200_447_C.jpeg,,337.555,332.15,332.0,15.192,,
