path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
clementi_road,1,Clementi Road_Cam4_20251122_091741_755_A.jpeg,,10.034,5.017,8.0,15.895,,
clementi_road,2,Clementi Road_Cam4_20251122_091812_390_A.jpeg,,45.783,27.909,28.0,17.508,,
clementi_road,3,Clementi Road_Cam4_20251122_091824_402_A.jpeg,,57.145,51.464,,,,
clementi_road,4,Clementi Road_Cam4_20251122_091827_412_A.jpeg,,2275.566,1166.355,,,,
clementi_road,5,Clementi Road_Cam4_20251201_082725_160_B.jpeg,,2284.724,2280.145,2280.0,6.566,,
clementi_road,6,Clementi Road_Cam4_20251201_082804_206_B.jpeg,,2296.745,2290.734,2290.0,6.349,0.278,1.0
clementi_road,7,Clementi Road_Cam4_20251201_082808_410_B.jpeg,,2307.469,2302.107,2302.0,6.435,0.903,1.0
clementi_road,8,Clementi Road_Cam4_20251201_082813_216_B.jpeg,,2357.674,2332.571,2332.0,6.166,0.0,1.0
clementi_road,9,Clementi Road_Cam4_20251201_082841_459_B.jpeg,,2366.515,2362.094,2362.0,6.862,0.156,1.0
clementi_road,10,Clementi Road_Cam4_20251201_082843_863_B.jpeg,,2375.814,2371.164,2372.0,6.925,0.562,1.0
clementi_road,11,Clementi Road_Cam4_20251201_082846_267_B.jpeg,,2387.055,2381.435,2382.0,6.722,,
clementi_road,12,Clementi Road_Cam4_20251201_082849_270_B.jpeg,,3021.399,2704.227,2704.0,37.574,,
clementi_road,13,Clementi Road_Cam4_20251219_091105_786_A.jpeg,,3029.022,3025.211,3026.0,20.119,,
clementi_road,14,Clementi Road_Cam4_20251219_091108_189_A.jpeg,,3122.471,3075.746,,,,
clementi_road,15,Clementi Road_Cam4_20251219_091146_510_A.jpeg,,3134.631,3128.551,3128.0,22.21,2.813,1.0
clementi_road,16,Clementi Road_Cam4_20251219_091151_914_A.jpeg,,3157.846,3146.239,3146.0,22.96,3.75,1.0
clementi_road,17,Clementi Road_Cam4_20251219_091201_526_A.jpeg,,3167.581,3162.714,3162.0,24.332,,
clementi_road,18,Clementi Road_Cam4_20251219_091205_730_A.jpeg,,3193.491,3180.536,3180.0,24.675,,
clementi_road,19,Clementi Road_Cam4_20251219_091216_543_A.jpeg,,3205.142,3199.316,3200.0,25.204,,
clementi_road,20,Clementi Road_Cam4_20251219_091221_216_A.jpeg,,3215.889,3210.515,3210.0,25.51,,
clementi_road,21,Clementi Road_Cam4_20251219_091225_420_A.jpeg,,3240.16,3228.024,3228.0,28.318,,
clementi_road,22,Clementi Road_Cam4_20251219_091234_434_A.jpeg,,3252.805,3246.482,3246.0,29.832,,
clementi_road,23,Clementi Road_Cam4_20251219_091238_638_A.jpeg,,3275.723,3264.264,3264.0,29.951,,
clementi_road,24,Clementi Road_Cam4_20251219_091245_847_A.jpeg,,3287.468,3281.595,3282.0,29.549,,
clementi_road,25,Clementi Road_Cam4_20251219_091249_451_A.jpeg,,3329.189,3308.329,3308.0,27.079,,
clementi_road,26,Clementi Road_Cam4_20251219_091306_746_A.jpeg,,3335.746,3332.468,3332.0,28.352,,
clementi_road,27,Clementi Road_Cam4_20251219_091309_148_A.jpeg,,3346.893,3341.32,3342.0,27.172,,
clementi_road,28,Clementi Road_Cam4_20251219_091312_751_A.jpeg,,3359.118,3353.006,3354.0,26.904,,
clementi_road,29,Clementi Road_Cam4_20251219_091315_755_A.jpeg,,3366.927,3363.023,3364.0,27.99,,
clementi_road,30,Clementi Road_Cam4_20251219_091317_558_A.jpeg,,3378.257,3372.592,3372.0,27.426,,
clementi_road,31,Clementi Road_Cam4_20251219_091319_961_A.jpeg,,3409.091,3393.674,3394.0,24.997,,
clementi_road,32,Clementi Road_Cam4_20251219_091325_970_A.jpeg,,3434.696,3421.894,3422.0,25.594,,
clementi_road,33,Clementi Road_Cam4_20251219_091330_775_A.jpeg,,3462.021,3448.359,3448.0,22.397,-6.484,1.0
clementi_road,34,Clementi Road_Cam4_20251219_091336_784_A.jpeg,,3470.929,3466.475,3466.0,21.297,-4.219,1.0
clementi_road,35,Clementi Road_Cam4_20251219_091339_189_A.jpeg,,3479.18,3475.055,3476.0,20.81,-2.5,1.0
clementi_road,36,Clementi Road_Cam4_20251219_091341_474_A.jpeg,,3511.093,3495.136,3496.0,19.763,-2.031,1.0
clementi_road,37,Clementi Road_Cam4_20251219_091348_681_A.jpeg,,3521.577,3516.335,3516.0,19.839,,
clementi_road,38,Clementi Road_Cam4_20251219_091351_083_A.jpeg,,3529.827,3525.702,3526.0,19.179,,
clementi_road,39,Clementi Road_Cam4_20251219_091353_485_A.jpeg,,3563.649,3546.738,3546.0,18.783,,
clementi_road,40,Clementi Road_Cam4_20251219_091401_294_A.jpeg,,3570.078,3566.864,3566.0,17.108,-8.203,1.0
clementi_road,41,Clementi Road_Cam4_20251219_091402_496_A.jpeg,,3603.403,3586.741,3586.0,16.539,,
clementi_road,42,Clementi Road_Cam4_20251219_091408_501_A.jpeg,,3613.304,3608.353,3608.0,15.909,,
clementi_road,43,Clementi Road_Cam4_20251219_091410_302_A.jpeg,,3658.286,3635.795,3636.0,16.061,,
clementi_road,44,Clementi Road_Cam4_20251219_091437_336_A.jpeg,,3666.615,3662.451,3662.0,15.92,,
clementi_road,45,Clementi Road_Cam4_20251219_091441_541_A.jpeg,,3674.707,3670.661,3670.0,15.991,3.578,1.0
clementi_road,46,Clementi Road_Cam4_20251219_091444_548_A.jpeg,,3685.241,3679.974,3680.0,16.588,1.953,1.0
clementi_road,47,Clementi Road_Cam4_20251219_091448_153_A.jpeg,,3713.49,3699.365,3700.0,17.128,3.125,1.0
clementi_road,48,Clementi Road_Cam4_20251219_091458_967_A.jpeg,,3721.213,3717.352,3718.0,17.878,,
clementi_road,49,Clementi Road_Cam4_20251219_091501_978_A.jpeg,,3763.672,3742.443,3742.0,20.167,,
clementi_road,50,Clementi Road_Cam4_20251219_091521_202_A.jpeg,,3774.339,3769.005,3770.0,19.847,10.781,2.0
clementi_road,51,Clementi Road_Cam4_20251219_091524_805_A.jpeg,,3785.874,3780.106,3780.0,20.391,,
clementi_road,52,Clementi Road_Cam4_20251219_091529_010_A.jpeg,,3794.896,3790.385,3790.0,21.417,,
clementi_road,53,Clementi Road_Cam4_20251219_091532_615_A.jpeg,,3824.325,3809.61,3810.0,22.455,,
clementi_road,54,Clementi Road_Cam4_20251219_091542_828_A.jpeg,,3848.265,3836.295,3836.0,24.161,,
clementi_road,55,Clementi Road_Cam4_20251219_091549_444_A.jpeg,,3861.565,3854.915,3854.0,24.267,,
clementi_road,56,Clementi Road_Cam4_20251219_091553_046_A.jpeg,,3868.137,3864.851,3864.0,22.959,,
clementi_road,57,Clementi Road_Cam4_20251219_091554_848_A.jpeg,,3894.957,3881.547,3882.0,23.041,,
clementi_road,58,Clementi Road_Cam4_20251219_091602_053_A.jpeg,,3907.059,3901.008,3902.0,19.631,,
clementi_road,59,Clementi Road_Cam4_20251219_091605_056_A.jpeg,,3917.007,3912.033,3912.0,19.15,-1.825,1.0
clementi_road,60,Clementi Road_Cam4_20251219_091607_459_A.jpeg,,3924.033,3920.52,3920.0,19.151,,
clementi_road,61,Clementi Road_Cam4_20251219_091609_261_A.jpeg,,3935.5,3929.767,3930.0,18.79,,
clementi_road,62,Clementi Road_Cam4_20251219_091612_263_A.jpeg,,3944.976,3940.238,3940.0,19.033,,
clementi_road,63,Clementi Road_Cam4_20251219_091614_667_A.jpeg,,3954.87,3949.923,3950.0,18.109,-9.196,2.0
clementi_road,64,Clementi Road_Cam4_20251219_091617_071_A.jpeg,,3965.155,3960.013,3960.0,17.778,,
clementi_road,65,Clementi Road_Cam4_20251219_091619_474_A.jpeg,,3996.946,3981.051,3982.0,18.44,,
clementi_road,66,Clementi Road_Cam4_20251219_091626_084_A.jpeg,,4006.13,4001.538,4002.0,20.538,,
clementi_road,67,Clementi Road_Cam4_20251219_091627_885_A.jpeg,,4018.675,4012.403,4012.0,20.512,,
clementi_road,68,Clementi Road_Cam4_20251219_091630_288_A.jpeg,,4043.864,4031.27,4032.0,16.049,,
clementi_road,69,Clementi Road_Cam4_20251219_091635_095_A.jpeg,,4052.926,4048.395,4048.0,15.083,2.159,1.0
clementi_road,70,Clementi Road_Cam4_20251219_091636_905_A.jpeg,,4063.171,4058.048,4058.0,15.252,1.523,1.0
clementi_road,71,Clementi Road_Cam4_20251219_091639_313_A.jpeg,,4074.563,4068.867,4068.0,15.234,-0.889,1.0
clementi_road,72,Clementi Road_Cam4_20251219_091642_917_A.jpeg,,4083.076,4078.82,4078.0,15.506,5.913,1.0
clementi_road,73,Clementi Road_Cam4_20251219_091645_324_A.jpeg,,4091.332,4087.204,4088.0,15.914,,
clementi_road,74,Clementi Road_Cam4_20251219_091647_726_A.jpeg,,4121.196,4106.264,4106.0,18.614,,
clementi_road,75,Clementi Road_Cam4_20251219_091657_336_A.jpeg,,4131.432,4126.314,4126.0,20.306,4.974,1.0
