path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
din_pang_avenue,1,Din Pang Avenue_Cam4_20251216_075733_575_C.jpeg,,12.665,6.333,6.0,19.165,,
din_pang_avenue,2,Din Pang Avenue_Cam4_20251216_075737_178_C.jpeg,,20.775,16.72,16.0,19.327,,
din_pang_avenue,3,Din Pang Avenue_Cam4_20251216_075739_580_C.jpeg,,31.505,26.14,26.0,20.174,,
din_pang_avenue,4,Din Pang Avenue_Cam4_20251216_075743_185_C.jpeg,,44.277,37.891,38.0,19.946,,
din_pang_avenue,5,Din Pang Avenue_Cam4_20251216_075749_791_C.jpeg,,52.767,48.522,48.0,19.828,,
din_pang_avenue,6,Din Pang Avenue_Cam4_20251216_075756_998_C.jpeg,,100.845,76.806,76.0,22.495,,
din_pang_avenue,7,Din Pang Avenue_Cam4_20251216_075818_033_C.jpeg,,110.675,105.76,106.0,22.225,,
din_pang_avenue,8,Din Pang Avenue_Cam4_20251216_075821_636_C.jpeg,,121.702,116.188,116.0,21.664,,
din_pang_avenue,9,Din Pang Avenue_Cam4_20251216_075825_839_C.jpeg,,132.178,126.94,126.0,22.022,,
din_pang_avenue,10,Din Pang Avenue_Cam4_20251216_075831_844_C.jpeg,,138.8,135.489,,,,
