path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
duchess_place,Duchess Place,2.0,24535.087,34032.042,5.426,6.981,6.981,,,DUCHESS PLACE,6.806
duchess_place,Duchess Place,4.0,24535.16,34034.04,5.411,6.981,6.981,,,DUCHESS PLACE,6.361
duchess_place,Duchess Place,6.0,24535.232,34036.039,7.361,6.981,6.981,,,DUCHESS PLACE,5.915
duchess_place,Duchess Place,8.0,24535.305,34038.038,6.981,6.981,6.981,,,DUCHESS PLACE,5.47
duchess_place,Duchess Place,10.0,24535.377,34040.036,6.75,6.75,6.75,,,DUCHESS PLACE,5.024
duchess_place,Duchess Place,12.0,24535.449,34042.035,6.725,6.725,6.725,,,DUCHESS PLACE,4.579
duchess_place,Duchess Place,14.0,24535.522,34044.034,6.687,6.687,6.687,,,DUCHESS PLACE,4.133
duchess_place,Duchess Place,16.0,24535.414,34046.028,5.413,6.575,6.575,,,DUCHESS PLACE,3.866
duchess_place,Duchess Place,18.0,24535.242,34048.021,6.506,6.463,6.463,-3.946,1.0,DUCHESS PLACE,3.62
duchess_place,Duchess Place,20.0,24535.071,34050.013,6.113,6.351,6.372,,,DUCHESS PLACE,3.366
duchess_place,Duchess Place,22.0,24534.899,34052.006,6.238,6.238,6.372,,,DUCHESS PLACE,3.112
duchess_place,Duchess Place,24.0,24534.728,34053.999,6.372,6.372,6.372,,,DUCHESS PLACE,2.857
duchess_place,Duchess Place,26.0,24534.556,34055.991,6.497,6.497,6.497,4.271,1.0,DUCHESS PLACE,2.603
duchess_place,Duchess Place,28.0,24534.385,34057.984,6.838,6.605,6.605,4.837,1.0,DUCHESS PLACE,2.349
duchess_place,Duchess Place,30.0,24534.214,34059.976,6.713,6.713,6.713,3.274,1.0,DUCHESS PLACE,2.094
duchess_place,Duchess Place,32.0,24534.042,34061.969,6.797,6.797,6.759,1.474,1.0,DUCHESS PLACE,1.84
duchess_place,Duchess Place,34.0,24533.871,34063.962,6.83,6.83,6.759,-0.326,1.0,DUCHESS PLACE,1.586
duchess_place,Duchess Place,36.0,24533.699,34065.954,8.905,6.759,6.759,-1.159,1.0,DUCHESS PLACE,1.332
duchess_place,Duchess Place,38.0,24533.375,34067.926,8.947,6.687,6.687,-1.159,1.0,DUCHESS PLACE,1.24
duchess_place,Duchess Place,40.0,24532.997,34069.89,6.616,6.616,6.666,-1.159,1.0,DUCHESS PLACE,1.242
duchess_place,Duchess Place,42.0,24532.62,34071.854,6.641,6.641,6.666,0.983,1.0,DUCHESS PLACE,1.243
duchess_place,Duchess Place,44.0,24532.243,34073.818,6.666,6.666,6.666,2.5,1.0,DUCHESS PLACE,1.244
duchess_place,Duchess Place,46.0,24531.866,34075.782,6.766,6.766,6.766,4.063,1.0,DUCHESS PLACE,1.246
duchess_place,Duchess Place,48.0,24531.488,34077.746,6.866,6.866,6.866,5.938,1.0,DUCHESS PLACE,1.247
duchess_place,Duchess Place,50.0,24531.056,34079.699,6.991,6.991,6.991,6.25,1.0,DUCHESS PLACE,1.304
duchess_place,Duchess Place,52.0,24530.613,34081.649,7.141,7.141,7.141,6.25,1.0,DUCHESS PLACE,1.373
duchess_place,Duchess Place,54.0,24530.17,34083.599,7.266,7.266,7.266,6.563,1.0,DUCHESS PLACE,1.442
duchess_place,Duchess Place,56.0,24529.726,34085.55,7.366,7.366,7.366,5.937,1.0,DUCHESS PLACE,1.511
duchess_place,Duchess Place,58.0,24529.313,34087.506,7.516,7.516,7.516,5.0,1.0,DUCHESS PLACE,1.55
duchess_place,Duchess Place,60.0,24528.92,34089.467,7.616,7.616,7.616,4.375,1.0,DUCHESS PLACE,1.567
duchess_place,Duchess Place,62.0,24528.527,34091.428,7.666,7.666,7.666,2.5,1.0,DUCHESS PLACE,1.585
duchess_place,Duchess Place,64.0,24528.134,34093.389,7.716,7.716,7.716,1.875,1.0,DUCHESS PLACE,1.602
duchess_place,Duchess Place,66.0,24527.741,34095.35,7.716,7.716,7.716,1.562,1.0,DUCHESS PLACE,1.62
duchess_place,Duchess Place,68.0,24527.348,34097.311,7.766,7.766,7.766,1.582,1.0,DUCHESS PLACE,1.637
duchess_place,Duchess Place,70.0,24526.955,34099.272,7.816,7.816,7.791,2.313,1.0,DUCHESS PLACE,1.654
duchess_place,Duchess Place,70.322,24526.892,34099.589,7.816,7.816,7.816,2.153,1.0,DUCHESS PLACE,1.657
