path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
eng_kong_drive,1,Eng Kong Drive_Cam4_20251216_090606_699_A.jpeg,,10.755,5.378,6.0,33.596,2.232,1.0
eng_kong_drive,2,Eng Kong Drive_Cam4_20251216_090610_770_A.jpeg,,22.146,16.451,16.0,33.655,,
eng_kong_drive,3,Eng Kong Drive_Cam4_20251216_090616_038_A.jpeg,,34.576,28.361,28.0,34.188,5.312,1.0
eng_kong_drive,4,Eng Kong Drive_Cam4_20251216_090621_554_A.jpeg,,56.475,45.525,46.0,35.046,,
eng_kong_drive,5,Eng Kong Drive_Cam4_20251216_090630_121_A.jpeg,,68.952,62.713,62.0,35.055,-0.565,1.0
eng_kong_drive,6,Eng Kong Drive_Cam4_20251216_090635_136_A.jpeg,,79.438,74.195,74.0,35.7,,
eng_kong_drive,7,Eng Kong Drive_Cam4_20251216_090638_662_A.jpeg,,101.407,90.423,90.0,38.041,,
eng_kong_drive,8,Eng Kong Drive_Cam4_20251216_090646_263_A.jpeg,,114.724,108.065,108.0,36.893,,
eng_kong_drive,9,Eng Kong Drive_Cam4_20251216_090650_837_A.jpeg,,125.277,120.0,120.0,35.572,,
eng_kong_drive,10,Eng Kong Drive_Cam4_20251216_090655_389_A.jpeg,,147.17,136.223,136.0,34.657,3.125,1.0
eng_kong_drive,11,Eng Kong Drive_Cam4_20251216_090705_979_A.jpeg,,216.783,181.976,182.0,37.757,,
eng_kong_drive,12,Eng Kong Drive_Cam4_20251216_090748_588_A.jpeg,,228.056,222.42,222.0,35.45,0.938,1.0
eng_kong_drive,13,Eng Kong Drive_Cam4_20251216_090752_686_A.jpeg,,330.658,279.357,280.0,42.805,,
eng_kong_drive,14,Eng Kong Drive_Cam4_20251216_090830_701_A.jpeg,,342.836,336.747,336.0,32.156,-4.219,1.0
eng_kong_drive,15,Eng Kong Drive_Cam4_20251216_090833_206_A.jpeg,,354.71,348.773,348.0,31.987,,
eng_kong_drive,16,Eng Kong Drive_Cam4_20251216_090835_786_A.jpeg,,361.278,357.994,358.0,32.078,,
eng_kong_drive,17,Eng Kong Drive_Cam4_20251216_090837_292_A.jpeg,,408.346,384.812,384.0,33.332,,
eng_kong_drive,18,Eng Kong Drive_Cam4_20251216_090915_616_A.jpeg,,421.825,415.086,416.0,29.819,-3.125,1.0
eng_kong_drive,19,Eng Kong Drive_Cam4_20251216_090918_633_A.jpeg,,428.688,425.257,426.0,29.469,-3.125,1.0
eng_kong_drive,20,Eng Kong Drive_Cam4_20251216_090920_207_A.jpeg,,442.912,435.8,436.0,29.169,-3.75,1.0
eng_kong_drive,21,Eng Kong Drive_Cam4_20251216_090923_210_A.jpeg,,489.183,466.048,466.0,28.194,-3.125,1.0
eng_kong_drive,22,Eng Kong Drive_Cam4_20251216_090932_862_A.jpeg,,498.086,493.634,494.0,27.219,-3.437,1.0
eng_kong_drive,23,Eng Kong Drive_Cam4_20251216_090934_865_A.jpeg,,509.57,503.828,504.0,26.894,-3.75,1.0
eng_kong_drive,24,Eng Kong Drive_Cam4_20251216_090937_927_A.jpeg,,533.095,521.333,522.0,26.319,-2.188,1.0
