path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
eng_kong_road,1,Eng Kong Road_Cam4_20251216_090417_670_A.jpeg,,11.794,5.897,6.0,34.537,-0.156,1.0
eng_kong_road,2,Eng Kong Road_Cam4_20251216_090423_231_A.jpeg,,22.456,17.125,18.0,34.579,,
eng_kong_road,3,Eng Kong Road_Cam4_20251216_090428_238_A.jpeg,,34.154,28.305,28.0,34.459,,
eng_kong_road,4,Eng Kong Road_Cam4_20251216_090434_788_A.jpeg,,66.549,50.352,,,,
eng_kong_road,5,Eng Kong Road_Cam4_20251216_090453_249_A.jpeg,,79.103,72.826,,,,
eng_kong_road,6,Eng Kong Road_Cam4_20251216_090459_383_A.jpeg,,90.143,84.623,,,,
eng_kong_road,7,Eng Kong Road_Cam4_20251216_090503_450_A.jpeg,,112.226,101.184,,,,
eng_kong_road,8,Eng Kong Road_Cam4_20251216_090510_540_A.jpeg,,123.26,117.743,,,,
eng_kong_road,9,Eng Kong Road_Cam4_20251216_090514_195_A.jpeg,,131.756,127.508,,,,
eng_kong_road,10,Eng Kong Road_Cam4_20251216_090518_209_A.jpeg,,398.913,265.335,266.0,34.069,,
eng_kong_road,11,Eng Kong Road_Cam4_20251216_091559_506_A.jpeg,,421.095,410.004,410.0,31.646,,
eng_kong_road,12,Eng Kong Road_Cam4_20251216_091609_177_A.jpeg,,433.334,427.214,428.0,31.989,,
eng_kong_road,13,Eng Kong Road_Cam4_20251216_091614_824_A.jpeg,,444.559,438.946,438.0,32.837,1.278,1.0
eng_kong_road,14,Eng Kong Road_Cam4_20251216_091620_360_A.jpeg,,466.566,455.562,456.0,33.327,,
eng_kong_road,15,Eng Kong Road_Cam4_20251216_091631_034_A.jpeg,,478.67,472.618,472.0,33.602,,
eng_kong_road,16,Eng Kong Road_Cam4_20251216_091636_824_A.jpeg,,501.089,489.88,490.0,35.511,,
eng_kong_road,17,Eng Kong Road_Cam4_20251216_091647_230_A.jpeg,,511.931,506.51,506.0,35.056,,
eng_kong_road,18,Eng Kong Road_Cam4_20251216_091652_278_A.jpeg,,522.897,517.414,518.0,34.812,,
eng_kong_road,19,Eng Kong Road_Cam4_20251216_091656_802_A.jpeg,,546.01,534.454,534.0,34.899,,
eng_kong_road,20,Eng Kong Road_Cam4_20251216_091706_416_A.jpeg,,557.355,551.683,552.0,36.096,4.587,1.0
eng_kong_road,21,Eng Kong Road_Cam4_20251216_091710_926_A.jpeg,,580.514,568.934,568.0,35.73,,
eng_kong_road,22,Eng Kong Road_Cam4_20251216_091720_480_A.jpeg,,592.542,586.528,586.0,35.776,-1.051,1.0
eng_kong_road,23,Eng Kong Road_Cam4_20251216_091725_580_A.jpeg,,599.968,596.255,596.0,35.815,,
eng_kong_road,24,Eng Kong Road_Cam4_20251216_091730_086_A.jpeg,,610.417,605.192,606.0,36.666,,
eng_kong_road,25,Eng Kong Road_Cam4_20251216_091734_732_A.jpeg,,619.719,615.068,616.0,36.779,,
eng_kong_road,26,Eng Kong Road_Cam4_20251216_091747_923_A.jpeg,,626.363,623.041,624.0,35.735,,
eng_kong_road,27,Eng Kong Road_Cam4_20251216_091750_526_A.jpeg,,635.74,631.052,632.0,35.575,,
eng_kong_road,28,Eng Kong Road_Cam4_20251216_091754_035_A.jpeg,,901.791,768.766,768.0,33.97,,
eng_kong_road,29,Eng Kong Road_Cam4_20251216_093020_644_A.jpeg,,913.631,907.711,908.0,32.51,3.126,1.0
eng_kong_road,30,Eng Kong Road_Cam4_20251216_093026_216_A.jpeg,,961.126,937.378,938.0,32.226,,
eng_kong_road,31,Eng Kong Road_Cam4_20251216_094559_020_A.jpeg,,972.232,966.679,966.0,31.937,-5.229,1.0
eng_kong_road,32,Eng Kong Road_Cam4_20251216_094604_234_A.jpeg,,984.112,978.172,978.0,31.973,,
