path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
farrer_road,1,Farrer Road_Cam4_20251203_073934_522_B.jpeg,,11.203,5.601,,,,
farrer_road,2,Farrer Road_Cam4_20251203_073938_126_B.jpeg,,20.738,15.97,18.0,12.946,,
farrer_road,3,Farrer Road_Cam4_20251203_073941_129_B.jpeg,,30.346,25.542,26.0,12.092,,
farrer_road,4,Farrer Road_Cam4_20251203_073944_132_B.jpeg,,41.503,35.925,36.0,10.291,,
farrer_road,5,Farrer Road_Cam4_20251203_073948_336_B.jpeg,,53.372,47.438,48.0,7.905,,
farrer_road,6,Farrer Road_Cam4_20251203_073953_015_B.jpeg,,77.199,65.285,,,,
farrer_road,7,Farrer Road_Cam4_20251218_073436_323_B.jpeg,,85.093,81.146,,,,
farrer_road,8,Farrer Road_Cam4_20251218_073441_131_B.jpeg,,96.126,90.61,,,,
farrer_road,9,Farrer Road_Cam4_20251218_073444_734_B.jpeg,,105.108,100.617,,,,
farrer_road,10,Farrer Road_Cam4_20251218_073447_137_B.jpeg,,166.061,135.584,,,,
farrer_road,11,Farrer Road_Cam4_20251218_073504_557_B.jpeg,,172.344,169.202,,,,
farrer_road,12,Farrer Road_Cam4_20251218_073506_359_B.jpeg,,183.186,177.765,,,,
farrer_road,13,Farrer Road_Cam4_20251218_073509_965_B.jpeg,,195.69,189.438,,,,
farrer_road,14,Farrer Road_Cam4_20251218_073514_770_B.jpeg,,205.103,200.397,,,,
farrer_road,15,Farrer Road_Cam4_20251218_073517_774_B.jpeg,,212.692,208.898,,,,
farrer_road,16,Farrer Road_Cam4_20251218_073520_176_B.jpeg,,222.954,217.823,,,,
farrer_road,17,Farrer Road_Cam4_20251218_073523_179_B.jpeg,,233.582,228.268,,,,
farrer_road,18,Farrer Road_Cam4_20251218_073526_183_B.jpeg,,243.437,238.51,,,,
farrer_road,19,Farrer Road_Cam4_20251218_073529_187_B.jpeg,,253.412,248.425,,,,
farrer_road,20,Farrer Road_Cam4_20251218_073532_191_B.jpeg,,261.842,257.627,,,,
farrer_road,21,Farrer Road_Cam4_20251218_073534_594_B.jpeg,,272.913,267.377,,,,
farrer_road,22,Farrer Road_Cam4_20251218_073537_598_B.jpeg,,284.275,278.594,,,,
farrer_road,23,Farrer Road_Cam4_20251218_073540_601_B.jpeg,,292.916,288.596,,,,
farrer_road,24,Farrer Road_Cam4_20251218_073543_004_B.jpeg,,305.007,298.961,,,,
farrer_road,25,Farrer Road_Cam4_20251218_073546_608_B.jpeg,,314.589,309.798,,,,
farrer_road,26,Farrer Road_Cam4_20251218_073549_613_B.jpeg,,323.341,318.965,,,,
farrer_road,27,Farrer Road_Cam4_20251218_073552_015_B.jpeg,,440.759,382.05,382.0,5.277,,
farrer_road,28,Farrer Road_Cam4_20251218_073636_588_B.jpeg,,453.037,446.898,446.0,6.592,5.619,1.0
farrer_road,29,Farrer Road_Cam4_20251218_073641_394_B.jpeg,,464.297,458.667,458.0,6.951,,
farrer_road,30,Farrer Road_Cam4_20251218_073646_200_B.jpeg,,487.342,475.819,476.0,6.942,,
farrer_road,31,Farrer Road_Cam4_20251218_073656_284_B.jpeg,,499.625,493.484,494.0,7.312,2.375,1.0
farrer_road,32,Farrer Road_Cam4_20251218_073701_088_B.jpeg,,506.547,503.086,504.0,7.482,,
farrer_road,33,Farrer Road_Cam4_20251218_073705_295_B.jpeg,,515.883,511.215,512.0,8.521,,
farrer_road,34,Farrer Road_Cam4_20251218_073709_501_B.jpeg,,525.724,520.804,520.0,9.603,,
farrer_road,35,Farrer Road_Cam4_20251218_073713_582_B.jpeg,,551.494,538.609,538.0,9.683,,
