path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
ford_avenue,1,Ford Avenue_Cam4_20251218_094853_968_A.jpeg,,9.887,4.944,4.0,25.099,,
ford_avenue,2,Ford Avenue_Cam4_20251218_094900_576_A.jpeg,,21.994,15.941,16.0,26.013,,
ford_avenue,3,Ford Avenue_Cam4_20251218_094905_981_A.jpeg,,47.169,34.582,34.0,26.696,,
ford_avenue,4,Ford Avenue_Cam4_20251218_094918_007_A.jpeg,,59.929,53.549,54.0,27.431,,
ford_avenue,5,Ford Avenue_Cam4_20251218_094928_824_A.jpeg,,85.804,72.866,72.0,28.217,,
ford_avenue,6,Ford Avenue_Cam4_20251218_095037_915_A.jpeg,,95.924,90.864,90.0,25.996,,
ford_avenue,7,Ford Avenue_Cam4_20251218_095042_719_A.jpeg,,120.629,108.277,108.0,26.52,,
ford_avenue,8,Ford Avenue_Cam4_20251218_095054_132_A.jpeg,,131.279,125.954,126.0,25.89,2.5,1.0
ford_avenue,9,Ford Avenue_Cam4_20251218_095058_936_A.jpeg,,160.908,146.093,146.0,26.539,2.5,1.0
ford_avenue,10,Ford Avenue_Cam4_20251218_095110_363_A.jpeg,,185.318,173.113,174.0,27.34,2.5,1.0
ford_avenue,11,Ford Avenue_Cam4_20251218_095119_380_A.jpeg,,212.204,198.761,198.0,28.758,,
ford_avenue,12,Ford Avenue_Cam4_20251218_095129_592_A.jpeg,,219.24,215.722,216.0,28.487,-0.781,1.0
ford_avenue,13,Ford Avenue_Cam4_20251218_095131_997_A.jpeg,,247.119,233.179,234.0,29.593,,
ford_avenue,14,Ford Avenue_Cam4_20251218_095140_410_A.jpeg,,257.577,252.348,252.0,30.258,,
ford_avenue,15,Ford Avenue_Cam4_20251218_095143_414_A.jpeg,,265.558,261.568,262.0,31.312,,
ford_avenue,16,Ford Avenue_Cam4_20251218_095145_818_A.jpeg,,278.247,271.903,272.0,30.113,,
ford_avenue,17,Ford Avenue_Cam4_20251218_095150_622_A.jpeg,,284.936,281.592,282.0,27.758,,
ford_avenue,18,Ford Avenue_Cam4_20251218_095223_064_A.jpeg,,294.923,289.93,290.0,28.299,,
ford_avenue,19,Ford Avenue_Cam4_20251218_095255_373_A.jpeg,,307.008,300.966,300.0,29.726,,
ford_avenue,20,Ford Avenue_Cam4_20251218_095308_588_A.jpeg,,317.674,312.341,312.0,30.421,-1.797,1.0
ford_avenue,21,Ford Avenue_Cam4_20251218_095313_394_A.jpeg,,327.931,322.802,322.0,29.864,,
ford_avenue,22,Ford Avenue_Cam4_20251218_095317_597_A.jpeg,,333.57,330.75,330.0,28.688,,
ford_avenue,23,Ford Avenue_Cam4_20251218_095320_001_A.jpeg,,378.316,355.943,356.0,28.879,,
ford_avenue,24,Ford Avenue_Cam4_20251218_095340_903_A.jpeg,,392.394,385.355,386.0,27.169,-1.25,1.0
ford_avenue,25,Ford Avenue_Cam4_20251218_095346_307_A.jpeg,,398.502,395.448,396.0,27.039,,
ford_avenue,26,Ford Avenue_Cam4_20251218_095348_715_A.jpeg,,408.103,403.303,404.0,26.969,,
ford_avenue,27,Ford Avenue_Cam4_20251218_095415_751_A.jpeg,,419.26,413.681,414.0,26.919,-0.625,1.0
ford_avenue,28,Ford Avenue_Cam4_20251218_095420_554_A.jpeg,,428.373,423.817,424.0,26.769,-1.562,1.0
ford_avenue,29,Ford Avenue_Cam4_20251218_095423_557_A.jpeg,,439.816,434.095,434.0,26.744,-1.562,1.0
ford_avenue,30,Ford Avenue_Cam4_20251218_095427_170_A.jpeg,,449.627,444.722,444.0,26.494,-1.25,1.0
ford_avenue,31,Ford Avenue_Cam4_20251218_095430_174_A.jpeg,,460.183,454.905,454.0,26.422,,
ford_avenue,32,Ford Avenue_Cam4_20251218_095433_178_A.jpeg,,485.094,472.639,472.0,26.142,,
ford_avenue,33,Ford Avenue_Cam4_20251218_095439_786_A.jpeg,,495.454,490.274,490.0,25.607,-2.5,1.0
ford_avenue,34,Ford Avenue_Cam4_20251218_095442_790_A.jpeg,,505.804,500.629,500.0,25.332,-2.266,1.0
ford_avenue,35,Ford Avenue_Cam4_20251218_095445_795_A.jpeg,,517.435,511.619,512.0,25.107,,
ford_avenue,36,Ford Avenue_Cam4_20251218_095449_399_A.jpeg,,531.121,524.278,524.0,24.644,,
ford_avenue,37,Ford Avenue_Cam4_20251218_095549_962_A.jpeg,,553.54,542.33,542.0,24.857,,
ford_avenue,38,Ford Avenue_Cam4_20251218_095602_582_A.jpeg,,621.985,587.762,588.0,28.483,,
ford_avenue,39,Ford Avenue_Cam4_20251218_095639_715_A.jpeg,,753.434,687.709,688.0,27.512,,
ford_avenue,40,Ford Avenue_Cam4_20251218_095748_741_A.jpeg,,764.593,759.014,760.0,28.691,,
ford_avenue,41,Ford Avenue_Cam4_20251218_095752_950_A.jpeg,,773.195,768.894,768.0,27.59,,
ford_avenue,42,Ford Avenue_Cam4_20251218_095756_553_A.jpeg,,804.485,788.84,788.0,28.13,4.582,1.0
ford_avenue,43,Ford Avenue_Cam4_20251218_095815_780_A.jpeg,,814.785,809.635,810.0,30.179,,
ford_avenue,44,Ford Avenue_Cam4_20251218_095820_586_A.jpeg,,826.269,820.527,820.0,30.136,-1.354,1.0
