path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
greenleaf_drive,1,Greenleaf Drive_Cam4_20251218_083721_762_A.jpeg,,11.646,5.823,,,,
greenleaf_drive,2,Greenleaf Drive_Cam4_20251218_083725_968_A.jpeg,,107.678,59.662,60.0,26.224,,
greenleaf_drive,3,Greenleaf Drive_Cam4_20251219_094023_172_B.jpeg,,117.801,112.74,112.0,20.252,1.953,1.0
greenleaf_drive,4,Greenleaf Drive_Cam4_20251219_094027_982_B.jpeg,,129.865,123.833,124.0,20.815,,
greenleaf_drive,5,Greenleaf Drive_Cam4_20251219_094034_030_B.jpeg,,140.053,134.959,134.0,21.806,,
greenleaf_drive,6,Greenleaf Drive_Cam4_20251219_094038_237_B.jpeg,,151.42,145.736,146.0,21.381,,
greenleaf_drive,7,Greenleaf Drive_Cam4_20251219_094044_253_B.jpeg,,174.427,162.923,162.0,21.936,,
greenleaf_drive,8,Greenleaf Drive_Cam4_20251219_094054_464_B.jpeg,,185.437,179.932,180.0,21.864,,
greenleaf_drive,9,Greenleaf Drive_Cam4_20251219_094100_470_B.jpeg,,232.089,208.763,208.0,22.919,,
greenleaf_drive,10,Greenleaf Drive_Cam4_20251219_094445_829_B.jpeg,,245.868,238.979,238.0,21.02,,
greenleaf_drive,11,Greenleaf Drive_Cam4_20251219_094449_433_B.jpeg,,253.143,249.505,250.0,20.226,,
greenleaf_drive,12,Greenleaf Drive_Cam4_20251219_094451_236_B.jpeg,,262.603,257.873,258.0,20.07,-1.641,1.0
greenleaf_drive,13,Greenleaf Drive_Cam4_20251219_094453_637_B.jpeg,,287.402,275.003,276.0,22.323,,
greenleaf_drive,14,Greenleaf Drive_Cam4_20251219_094502_656_B.jpeg,,295.235,291.319,,,,
greenleaf_drive,15,Greenleaf Drive_Cam4_20251219_094505_061_B.jpeg,,757.996,526.616,526.0,26.89,,
greenleaf_drive,16,Greenleaf Drive_Cam4_20251219_101359_708_B.jpeg,,780.38,769.188,770.0,28.345,,
greenleaf_drive,17,Greenleaf Drive_Cam4_20251219_101410_533_B.jpeg,,792.915,786.648,786.0,25.665,0.0,1.0
greenleaf_drive,18,Greenleaf Drive_Cam4_20251219_101415_338_B.jpeg,,799.778,796.347,796.0,26.265,,
greenleaf_drive,19,Greenleaf Drive_Cam4_20251219_101418_348_B.jpeg,,828.326,814.052,814.0,26.717,,
greenleaf_drive,20,Greenleaf Drive_Cam4_20251219_101429_189_B.jpeg,,838.788,833.557,834.0,25.49,0.0,1.0
greenleaf_drive,21,Greenleaf Drive_Cam4_20251219_101432_856_B.jpeg,,848.476,843.632,844.0,25.465,0.625,1.0
greenleaf_drive,22,Greenleaf Drive_Cam4_20251219_101436_461_B.jpeg,,861.963,855.22,856.0,25.515,,
greenleaf_drive,23,Greenleaf Drive_Cam4_20251219_101441_264_B.jpeg,,884.479,873.221,874.0,25.44,-0.312,1.0
greenleaf_drive,24,Greenleaf Drive_Cam4_20251219_101449_673_B.jpeg,,896.498,890.489,890.0,25.365,0.313,1.0
greenleaf_drive,25,Greenleaf Drive_Cam4_20251219_101454_567_B.jpeg,,903.685,900.092,900.0,25.29,-1.562,1.0
greenleaf_drive,26,Greenleaf Drive_Cam4_20251219_101457_571_B.jpeg,,930.945,917.315,918.0,25.174,,
greenleaf_drive,27,Greenleaf Drive_Cam4_20251219_101507_201_B.jpeg,,941.753,936.349,936.0,25.115,-0.313,1.0
greenleaf_drive,28,Greenleaf Drive_Cam4_20251219_101511_439_B.jpeg,,964.851,953.302,954.0,25.065,-0.81,1.0
greenleaf_drive,29,Greenleaf Drive_Cam4_20251219_101520_471_B.jpeg,,977.216,971.033,972.0,24.875,-0.521,1.0
greenleaf_drive,30,Greenleaf Drive_Cam4_20251219_101524_697_B.jpeg,,987.017,982.117,982.0,24.9,2.812,1.0
greenleaf_drive,31,Greenleaf Drive_Cam4_20251219_101528_302_B.jpeg,,1010.242,998.63,998.0,24.734,-1.25,1.0
greenleaf_drive,32,Greenleaf Drive_Cam4_20251219_101536_118_B.jpeg,,1021.156,1015.699,1016.0,24.284,-3.542,1.0
greenleaf_drive,33,Greenleaf Drive_Cam4_20251219_101539_120_B.jpeg,,1032.659,1026.908,1026.0,23.925,-2.292,1.0
greenleaf_drive,34,Greenleaf Drive_Cam4_20251219_101542_122_B.jpeg,,1054.554,1043.607,1044.0,23.5,,
greenleaf_drive,35,Greenleaf Drive_Cam4_20251219_101548_133_B.jpeg,,1067.349,1060.951,1060.0,23.868,,
greenleaf_drive,36,Greenleaf Drive_Cam4_20251219_101551_741_B.jpeg,,1090.645,1078.997,1078.0,23.756,,
greenleaf_drive,37,Greenleaf Drive_Cam4_20251219_101559_551_B.jpeg,,1208.065,1149.355,1150.0,23.68,5.938,1.0
greenleaf_drive,38,Greenleaf Drive_Cam4_20251219_101656_806_B.jpeg,,1219.85,1213.957,1214.0,24.765,1.094,1.0
greenleaf_drive,39,Greenleaf Drive_Cam4_20251219_101702_326_B.jpeg,,1322.864,1271.357,1272.0,25.065,-1.563,1.0
greenleaf_drive,40,Greenleaf Drive_Cam4_20251219_101739_627_B.jpeg,,1357.162,1340.013,1340.0,25.34,0.938,1.0
greenleaf_drive,41,Greenleaf Drive_Cam4_20251219_101752_867_B.jpeg,,1414.248,1385.705,1386.0,25.715,,
