path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
greenleaf_lane,Greenleaf Lane,0.0,22830.334,33721.372,14.002,14.002,14.039,,,GREENLEAF LANE,6.284
greenleaf_lane,Greenleaf Lane,2.0,22832.254,33720.812,14.284,14.284,14.075,,,GREENLEAF LANE,5.317
greenleaf_lane,Greenleaf Lane,4.0,22834.174,33720.253,14.504,14.039,14.111,,,GREENLEAF LANE,4.351
greenleaf_lane,Greenleaf Lane,6.0,22836.094,33719.693,13.795,14.111,14.284,,,GREENLEAF LANE,3.384
greenleaf_lane,Greenleaf Lane,8.0,22838.014,33719.133,13.812,14.426,14.426,,,GREENLEAF LANE,2.417
greenleaf_lane,Greenleaf Lane,10.0,22839.934,33718.574,13.828,14.741,14.741,,,GREENLEAF LANE,1.45
greenleaf_lane,Greenleaf Lane,12.0,22841.898,33718.473,13.879,15.056,15.056,,,GREENLEAF LANE,0.922
greenleaf_lane,Greenleaf Lane,14.0,22843.89,33718.66,13.929,15.369,15.369,,,GREENLEAF LANE,0.667
greenleaf_lane,Greenleaf Lane,16.0,22845.881,33718.846,16.845,15.682,15.682,,,GREENLEAF LANE,0.413
greenleaf_lane,Greenleaf Lane,18.0,22847.872,33719.032,16.987,15.995,15.995,,,GREENLEAF LANE,0.158
greenleaf_lane,Greenleaf Lane,20.0,22849.864,33719.218,16.962,16.307,16.307,,,GREENLEAF LANE,0.097
greenleaf_lane,Greenleaf Lane,22.0,22851.855,33719.404,17.245,16.62,16.307,,,GREENLEAF LANE,0.352
greenleaf_lane,Greenleaf Lane,24.0,22853.777,33719.954,16.279,16.458,16.458,,,GREENLEAF LANE,0.236
greenleaf_lane,Greenleaf Lane,26.0,22855.697,33720.515,16.295,16.295,16.458,,,GREENLEAF LANE,0.109
greenleaf_lane,Greenleaf Lane,28.0,22857.616,33721.076,16.412,16.547,16.389,,,GREENLEAF LANE,0.017
greenleaf_lane,Greenleaf Lane,30.0,22859.536,33721.637,16.429,16.389,16.295,,,GREENLEAF LANE,0.144
greenleaf_lane,Greenleaf Lane,32.0,22861.456,33722.198,17.379,16.232,16.232,,,GREENLEAF LANE,0.271
greenleaf_lane,Greenleaf Lane,34.0,22863.375,33722.758,17.57,16.075,16.075,,,GREENLEAF LANE,0.397
greenleaf_lane,Greenleaf Lane,36.0,22865.309,33723.271,17.67,15.798,15.798,,,GREENLEAF LANE,0.474
greenleaf_lane,Greenleaf Lane,38.0,22867.245,33723.773,17.712,15.522,15.522,,,GREENLEAF LANE,0.539
greenleaf_lane,Greenleaf Lane,40.0,22869.181,33724.275,14.579,15.245,15.245,,,GREENLEAF LANE,0.605
greenleaf_lane,Greenleaf Lane,42.0,22871.151,33724.61,14.629,14.969,14.969,,,GREENLEAF LANE,0.5
greenleaf_lane,Greenleaf Lane,44.0,22873.126,33724.926,14.692,14.692,14.829,,,GREENLEAF LANE,0.376
greenleaf_lane,Greenleaf Lane,46.0,22875.101,33725.242,14.779,14.779,14.829,,,GREENLEAF LANE,0.252
greenleaf_lane,Greenleaf Lane,48.0,22877.076,33725.558,14.829,14.829,14.829,1.562,1.0,GREENLEAF LANE,0.127
greenleaf_lane,Greenleaf Lane,50.0,22879.051,33725.875,14.879,14.879,14.879,2.188,1.0,GREENLEAF LANE,0.003
greenleaf_lane,Greenleaf Lane,52.0,22881.026,33726.191,14.954,14.954,14.954,,,GREENLEAF LANE,0.121
greenleaf_lane,Greenleaf Lane,54.0,22883.001,33726.507,15.004,15.004,15.004,,,GREENLEAF LANE,0.245
greenleaf_lane,Greenleaf Lane,56.0,22884.975,33726.823,15.079,15.302,15.302,,,GREENLEAF LANE,0.37
greenleaf_lane,Greenleaf Lane,58.0,22886.95,33727.139,18.586,15.599,15.599,,,GREENLEAF LANE,0.494
greenleaf_lane,Greenleaf Lane,60.0,22888.925,33727.455,15.179,15.878,15.878,,,GREENLEAF LANE,0.618
greenleaf_lane,Greenleaf Lane,62.0,22890.9,33727.771,15.229,16.156,16.156,,,GREENLEAF LANE,0.742
greenleaf_lane,Greenleaf Lane,64.0,22892.875,33728.087,16.824,16.434,16.434,,,GREENLEAF LANE,0.867
greenleaf_lane,Greenleaf Lane,66.0,22894.85,33728.404,16.957,16.712,16.712,,,GREENLEAF LANE,0.991
greenleaf_lane,Greenleaf Lane,68.0,22896.841,33728.539,16.991,16.991,16.991,,,GREENLEAF LANE,1.295
greenleaf_lane,Greenleaf Lane,70.0,22898.84,33728.58,16.991,16.991,16.991,,,GREENLEAF LANE,1.693
greenleaf_lane,Greenleaf Lane,72.0,22900.84,33728.621,17.007,17.007,17.007,4.653,1.0,GREENLEAF LANE,2.092
greenleaf_lane,Greenleaf Lane,74.0,22902.84,33728.662,17.274,17.274,17.274,4.653,1.0,GREENLEAF LANE,2.49
greenleaf_lane,Greenleaf Lane,76.0,22904.839,33728.702,15.404,17.403,17.363,,,GREENLEAF LANE,2.888
greenleaf_lane,Greenleaf Lane,78.0,22906.839,33728.743,15.404,17.532,17.363,,,GREENLEAF LANE,3.286
greenleaf_lane,Greenleaf Lane,80.0,22905.704,33728.345,15.404,17.363,17.363,-2.118,1.0,GREENLEAF LANE,3.426
greenleaf_lane,Greenleaf Lane,82.0,22903.77,33727.835,17.791,17.193,17.193,-2.118,1.0,GREENLEAF LANE,3.5
greenleaf_lane,Greenleaf Lane,84.0,22901.836,33727.325,17.024,17.024,17.193,,,GREENLEAF LANE,3.575
greenleaf_lane,Greenleaf Lane,86.0,22899.902,33726.814,16.991,16.991,17.193,,,GREENLEAF LANE,3.649
greenleaf_lane,Greenleaf Lane,88.0,22897.969,33726.304,17.091,17.233,17.233,,,GREENLEAF LANE,3.723
greenleaf_lane,Greenleaf Lane,90.0,22896.035,33725.794,17.107,17.475,17.475,,,GREENLEAF LANE,3.797
greenleaf_lane,Greenleaf Lane,92.0,22894.101,33725.284,17.057,17.718,17.718,,,GREENLEAF LANE,3.871
greenleaf_lane,Greenleaf Lane,94.0,22892.167,33724.773,18.786,17.985,17.985,,,GREENLEAF LANE,3.945
greenleaf_lane,Greenleaf Lane,96.0,22890.233,33724.263,18.719,18.252,18.252,,,GREENLEAF LANE,4.019
greenleaf_lane,Greenleaf Lane,98.0,22888.3,33723.753,18.769,18.519,18.519,,,GREENLEAF LANE,4.094
greenleaf_lane,Greenleaf Lane,100.0,22886.366,33723.243,18.786,18.786,18.558,,,GREENLEAF LANE,4.168
greenleaf_lane,Greenleaf Lane,102.0,22884.432,33722.732,19.386,18.672,18.558,,,GREENLEAF LANE,4.242
greenleaf_lane,Greenleaf Lane,104.0,22882.498,33722.222,19.086,18.558,18.558,,,GREENLEAF LANE,4.316
greenleaf_lane,Greenleaf Lane,106.0,22880.564,33721.712,15.029,18.444,18.444,,,GREENLEAF LANE,4.39
greenleaf_lane,Greenleaf Lane,108.0,22878.63,33721.202,14.929,18.331,18.331,,,GREENLEAF LANE,4.464
greenleaf_lane,Greenleaf Lane,110.0,22876.697,33720.691,14.879,18.217,18.217,,,GREENLEAF LANE,4.538
greenleaf_lane,Greenleaf Lane,112.0,22874.763,33720.181,18.679,18.103,18.103,,,GREENLEAF LANE,4.612
greenleaf_lane,Greenleaf Lane,114.0,22872.829,33719.671,17.079,17.989,17.989,,,GREENLEAF LANE,4.687
greenleaf_lane,Greenleaf Lane,116.0,22870.895,33719.161,14.679,17.876,17.876,,,GREENLEAF LANE,4.761
greenleaf_lane,Greenleaf Lane,118.0,22868.961,33718.65,17.762,17.762,17.819,,,GREENLEAF LANE,4.835
greenleaf_lane,Greenleaf Lane,118.218,22868.751,33718.595,17.762,17.762,17.762,,,GREENLEAF LANE,4.843
