path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
greenridge_crescent,Greenridge Crescent,0.0,20540.615,35028.129,29.434,26.834,26.834,,,GREENRIDGE CRESCENT,13.33
greenridge_crescent,Greenridge Crescent,2.0,20539.854,35029.978,29.834,26.834,26.834,,,GREENRIDGE CRESCENT,12.241
greenridge_crescent,Greenridge Crescent,4.0,20539.092,35031.827,30.884,26.834,26.834,,,GREENRIDGE CRESCENT,11.152
greenridge_crescent,Greenridge Crescent,6.0,20538.331,35033.677,26.834,26.834,26.834,,,GREENRIDGE CRESCENT,10.063
greenridge_crescent,Greenridge Crescent,8.0,20537.57,35035.526,26.834,27.036,27.036,,,GREENRIDGE CRESCENT,8.974
greenridge_crescent,Greenridge Crescent,10.0,20536.808,35037.376,27.084,27.319,27.319,,,GREENRIDGE CRESCENT,7.885
greenridge_crescent,Greenridge Crescent,12.0,20536.157,35039.256,27.034,27.602,27.602,,,GREENRIDGE CRESCENT,6.909
greenridge_crescent,Greenridge Crescent,14.0,20535.834,35041.23,27.034,27.886,27.886,,,GREENRIDGE CRESCENT,6.083
greenridge_crescent,Greenridge Crescent,16.0,20535.51,35043.204,31.704,28.169,28.046,,,GREENRIDGE CRESCENT,5.854
greenridge_crescent,Greenridge Crescent,18.0,20535.187,35045.177,30.404,28.289,28.046,,,GREENRIDGE CRESCENT,5.938
greenridge_crescent,Greenridge Crescent,20.0,20534.864,35047.151,30.404,28.046,28.046,,,GREENRIDGE CRESCENT,6.023
greenridge_crescent,Greenridge Crescent,22.0,20534.54,35049.125,30.454,27.804,27.804,,,GREENRIDGE CRESCENT,6.107
greenridge_crescent,Greenridge Crescent,24.0,20534.305,35051.11,31.116,27.561,27.561,,,GREENRIDGE CRESCENT,6.104
greenridge_crescent,Greenridge Crescent,26.0,20534.099,35053.1,26.883,27.319,27.319,,,GREENRIDGE CRESCENT,6.07
greenridge_crescent,Greenridge Crescent,28.0,20533.893,35055.089,26.883,27.076,27.076,,,GREENRIDGE CRESCENT,6.036
greenridge_crescent,Greenridge Crescent,30.0,20533.687,35057.078,26.834,26.834,26.834,,,GREENRIDGE CRESCENT,6.002
greenridge_crescent,Greenridge Crescent,32.0,20533.482,35059.068,26.834,26.834,26.834,,,GREENRIDGE CRESCENT,5.967
greenridge_crescent,Greenridge Crescent,34.0,20533.276,35061.057,26.784,26.784,26.784,-0.625,1.0,GREENRIDGE CRESCENT,5.933
greenridge_crescent,Greenridge Crescent,36.0,20533.038,35063.043,26.784,26.784,26.784,-1.25,1.0,GREENRIDGE CRESCENT,5.931
greenridge_crescent,Greenridge Crescent,38.0,20532.791,35065.028,26.784,26.784,26.784,-0.625,1.0,GREENRIDGE CRESCENT,5.939
greenridge_crescent,Greenridge Crescent,40.0,20532.543,35067.012,26.734,26.734,26.734,-0.625,1.0,GREENRIDGE CRESCENT,5.947
greenridge_crescent,Greenridge Crescent,42.0,20532.296,35068.997,26.734,26.734,26.734,-0.625,1.0,GREENRIDGE CRESCENT,5.955
greenridge_crescent,Greenridge Crescent,44.0,20532.049,35070.981,26.734,26.734,26.734,0.0,1.0,GREENRIDGE CRESCENT,5.955
greenridge_crescent,Greenridge Crescent,46.0,20531.801,35072.966,26.684,26.684,26.734,,,GREENRIDGE CRESCENT,5.952
greenridge_crescent,Greenridge Crescent,48.0,20531.554,35074.951,26.684,26.684,26.734,,,GREENRIDGE CRESCENT,5.948
greenridge_crescent,Greenridge Crescent,50.0,20531.306,35076.935,26.633,26.973,26.973,,,GREENRIDGE CRESCENT,5.945
greenridge_crescent,Greenridge Crescent,52.0,20531.059,35078.92,26.633,27.262,27.239,,,GREENRIDGE CRESCENT,5.941
