path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
greenridge_crescent,1,Greenridge Crescent_Cam4_20251216_091017_357_A.jpeg,,11.499,5.75,6.0,26.834,,
greenridge_crescent,2,Greenridge Crescent_Cam4_20251216_091023_406_A.jpeg,,22.514,17.007,18.0,28.046,,
greenridge_crescent,3,Greenridge Crescent_Cam4_20251216_091028_973_A.jpeg,,34.474,28.494,28.0,27.076,,
greenridge_crescent,4,Greenridge Crescent_Cam4_20251216_091034_007_A.jpeg,,56.853,45.663,46.0,26.734,,
greenridge_crescent,5,Greenridge Crescent_Cam4_20251216_091043_175_A.jpeg,,67.938,62.395,62.0,27.204,,
greenridge_crescent,6,Greenridge Crescent_Cam4_20251216_091048_257_A.jpeg,,77.669,72.803,72.0,27.14,,
greenridge_crescent,7,Greenridge Crescent_Cam4_20251216_091052_261_A.jpeg,,106.448,92.058,92.0,26.93,,
greenridge_crescent,8,Greenridge Crescent_Cam4_20251216_091102_814_A.jpeg,,128.958,117.703,118.0,25.513,,
greenridge_crescent,9,Greenridge Crescent_Cam4_20251216_091116_502_A.jpeg,,137.915,133.436,134.0,24.667,-2.5,1.0
greenridge_crescent,10,Greenridge Crescent_Cam4_20251216_091121_057_A.jpeg,,149.63,143.772,144.0,24.392,-1.562,1.0
greenridge_crescent,11,Greenridge Crescent_Cam4_20251216_091127_079_A.jpeg,,178.407,164.019,164.0,25.78,,
greenridge_crescent,12,Greenridge Crescent_Cam4_20251216_091145_774_A.jpeg,,188.843,183.625,184.0,25.962,,
greenridge_crescent,13,Greenridge Crescent_Cam4_20251216_091151_440_A.jpeg,,211.783,200.313,200.0,28.565,,
greenridge_crescent,14,Greenridge Crescent_Cam4_20251216_091206_143_A.jpeg,,223.037,217.41,218.0,28.391,,
greenridge_crescent,15,Greenridge Crescent_Cam4_20251216_091211_745_A.jpeg,,233.458,228.247,228.0,26.85,,
greenridge_crescent,16,Greenridge Crescent_Cam4_20251216_091219_273_A.jpeg,,255.903,244.681,244.0,27.15,1.875,1.0
greenridge_crescent,17,Greenridge Crescent_Cam4_20251216_091230_401_A.jpeg,,266.788,261.346,262.0,28.693,,
greenridge_crescent,18,Greenridge Crescent_Cam4_20251216_091235_465_A.jpeg,,278.621,272.705,272.0,27.947,,
greenridge_crescent,19,Greenridge Crescent_Cam4_20251216_091240_620_A.jpeg,,289.175,283.898,284.0,27.609,1.042,1.0
greenridge_crescent,20,Greenridge Crescent_Cam4_20251216_091245_187_A.jpeg,,298.754,293.964,294.0,27.659,,
greenridge_crescent,21,Greenridge Crescent_Cam4_20251216_091249_210_A.jpeg,,362.568,330.661,330.0,28.376,,
greenridge_crescent,22,Greenridge Crescent_Cam4_20251216_091340_775_A.jpeg,,373.202,367.885,368.0,27.821,,
greenridge_crescent,23,Greenridge Crescent_Cam4_20251216_091345_782_A.jpeg,,384.228,378.715,378.0,28.196,,
greenridge_crescent,24,Greenridge Crescent_Cam4_20251216_091350_849_A.jpeg,,408.645,396.436,396.0,28.259,,
greenridge_crescent,25,Greenridge Crescent_Cam4_20251216_091401_443_A.jpeg,,420.623,414.634,414.0,29.559,,
greenridge_crescent,26,Greenridge Crescent_Cam4_20251216_091407_571_A.jpeg,,426.647,423.635,424.0,29.817,,
greenridge_crescent,27,Greenridge Crescent_Cam4_20251216_091410_574_A.jpeg,,616.477,521.562,522.0,28.139,,
greenridge_crescent,28,Greenridge Crescent_Cam4_20251216_093901_908_A.jpeg,,626.004,621.241,622.0,27.992,,
greenridge_crescent,29,Greenridge Crescent_Cam4_20251216_093904_987_A.jpeg,,637.771,631.887,632.0,27.282,,
greenridge_crescent,30,Greenridge Crescent_Cam4_20251216_093909_612_A.jpeg,,871.193,754.482,754.0,30.314,,
greenridge_crescent,31,Greenridge Crescent_Cam4_20251216_111114_611_A.jpeg,,882.292,876.743,876.0,28.719,,
greenridge_crescent,32,Greenridge Crescent_Cam4_20251216_111120_125_A.jpeg,,890.983,886.638,886.0,28.56,,
greenridge_crescent,33,Greenridge Crescent_Cam4_20251216_111123_144_A.jpeg,,895.811,893.397,894.0,27.799,,
greenridge_crescent,34,Greenridge Crescent_Cam4_20251216_111134_681_A.jpeg,,906.858,901.335,902.0,27.655,,
greenridge_crescent,35,Greenridge Crescent_Cam4_20251216_111139_186_A.jpeg,,918.966,912.912,912.0,28.244,,
greenridge_crescent,36,Greenridge Crescent_Cam4_20251216_111143_695_A.jpeg,,928.847,923.906,924.0,29.137,,
greenridge_crescent,37,Greenridge Crescent_Cam4_20251216_111148_218_A.jpeg,,951.876,940.362,940.0,29.095,-3.079,1.0
greenridge_crescent,38,Greenridge Crescent_Cam4_20251216_111158_760_A.jpeg,,962.985,957.431,958.0,28.415,,
greenridge_crescent,39,Greenridge Crescent_Cam4_20251216_111202_267_A.jpeg,,973.57,968.277,968.0,27.021,,
greenridge_crescent,40,Greenridge Crescent_Cam4_20251216_111205_773_A.jpeg,,983.623,978.597,978.0,26.961,,
greenridge_crescent,41,Greenridge Crescent_Cam4_20251216_111319_238_A.jpeg,,991.364,987.493,988.0,28.447,,
greenridge_crescent,42,Greenridge Crescent_Cam4_20251216_111322_952_A.jpeg,,1003.157,997.26,998.0,29.636,,
greenridge_crescent,43,Greenridge Crescent_Cam4_20251216_111328_589_A.jpeg,,1014.102,1008.629,1008.0,28.729,,
greenridge_crescent,44,Greenridge Crescent_Cam4_20251216_111332_229_A.jpeg,,1037.394,1025.748,1026.0,25.579,,
greenridge_crescent,45,Greenridge Crescent_Cam4_20251216_111341_572_A.jpeg,,1048.66,1043.027,1044.0,23.711,,
