path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
grove_drive,1,Grove Drive_Cam4_20251219_074539_951_B.jpeg,,10.166,5.083,6.0,14.606,,
grove_drive,2,Grove Drive_Cam4_20251219_074542_954_B.jpeg,,23.025,16.596,16.0,14.643,,
grove_drive,3,Grove Drive_Cam4_20251219_074546_557_B.jpeg,,33.623,28.324,28.0,14.41,,
grove_drive,4,Grove Drive_Cam4_20251219_074549_561_B.jpeg,,44.314,38.968,38.0,12.985,,
grove_drive,5,Grove Drive_Cam4_20251219_074552_564_B.jpeg,,50.509,47.412,48.0,12.527,-3.125,1.0
grove_drive,6,Grove Drive_Cam4_20251219_074554_365_B.jpeg,,59.883,55.196,56.0,12.403,-0.716,1.0
grove_drive,7,Grove Drive_Cam4_20251219_074557_968_B.jpeg,,67.846,63.864,64.0,12.453,1.966,1.0
grove_drive,8,Grove Drive_Cam4_20251219_074603_373_B.jpeg,,77.487,72.666,72.0,12.64,2.708,1.0
grove_drive,9,Grove Drive_Cam4_20251219_074608_650_B.jpeg,,184.384,130.935,130.0,17.724,,
grove_drive,10,Grove Drive_Cam4_20251219_074818_389_B.jpeg,,190.8,187.592,188.0,18.803,-6.328,1.0
grove_drive,11,Grove Drive_Cam4_20251219_074820_191_B.jpeg,,218.626,204.713,204.0,17.515,,
grove_drive,12,Grove Drive_Cam4_20251219_074828_600_B.jpeg,,243.971,231.299,232.0,17.015,1.328,1.0
grove_drive,13,Grove Drive_Cam4_20251219_074837_610_B.jpeg,,258.076,251.023,252.0,17.135,,
grove_drive,14,Grove Drive_Cam4_20251219_074851_901_B.jpeg,,268.479,263.277,264.0,17.593,,
grove_drive,15,Grove Drive_Cam4_20251219_074856_708_B.jpeg,,279.395,273.937,274.0,17.017,,
grove_drive,16,Grove Drive_Cam4_20251219_074901_517_B.jpeg,,302.382,290.889,290.0,15.392,-5.148,1.0
grove_drive,17,Grove Drive_Cam4_20251219_074909_928_B.jpeg,,313.024,307.703,308.0,14.088,,
grove_drive,18,Grove Drive_Cam4_20251219_074912_932_B.jpeg,,323.37,318.197,318.0,13.103,,
grove_drive,19,Grove Drive_Cam4_20251219_074917_136_B.jpeg,,360.706,342.038,342.0,14.438,,
grove_drive,20,Grove Drive_Cam4_20251219_074927_951_B.jpeg,,370.509,365.607,366.0,11.806,,
grove_drive,21,Grove Drive_Cam4_20251219_074930_353_B.jpeg,,382.332,376.42,376.0,11.393,,
grove_drive,22,Grove Drive_Cam4_20251219_074933_233_B.jpeg,,389.664,385.998,386.0,10.871,,
grove_drive,23,Grove Drive_Cam4_20251219_074935_035_B.jpeg,,418.14,403.902,404.0,11.561,,
grove_drive,24,Grove Drive_Cam4_20251219_074941_645_B.jpeg,,428.503,423.321,424.0,10.636,,
grove_drive,25,Grove Drive_Cam4_20251219_074944_048_B.jpeg,,441.036,434.769,434.0,10.33,,
grove_drive,26,Grove Drive_Cam4_20251219_074947_052_B.jpeg,,448.011,444.523,444.0,11.5,,
grove_drive,27,Grove Drive_Cam4_20251219_074948_854_B.jpeg,,458.645,453.328,454.0,12.261,,
grove_drive,28,Grove Drive_Cam4_20251219_074951_733_B.jpeg,,469.941,464.293,464.0,12.858,,
grove_drive,29,Grove Drive_Cam4_20251219_074955_335_B.jpeg,,478.349,474.145,474.0,12.086,,
grove_drive,30,Grove Drive_Cam4_20251219_074958_338_B.jpeg,,488.774,483.561,484.0,10.78,,
grove_drive,31,Grove Drive_Cam4_20251219_075001_342_B.jpeg,,501.308,495.041,496.0,11.021,,
grove_drive,32,Grove Drive_Cam4_20251219_075005_547_B.jpeg,,509.368,505.338,506.0,12.072,,
grove_drive,33,Grove Drive_Cam4_20251219_075015_157_B.jpeg,,521.914,515.641,516.0,11.39,,
grove_drive,34,Grove Drive_Cam4_20251219_075019_361_B.jpeg,,528.626,525.27,526.0,10.364,,
grove_drive,35,Grove Drive_Cam4_20251219_075022_363_B.jpeg,,554.987,541.807,542.0,11.301,,
grove_drive,36,Grove Drive_Cam4_20251219_075033_781_B.jpeg,,561.961,558.474,558.0,10.954,,
grove_drive,37,Grove Drive_Cam4_20251219_075036_184_B.jpeg,,664.391,613.176,614.0,10.765,,
grove_drive,38,Grove Drive_Cam4_20251219_075404_487_B.jpeg,,686.233,675.312,676.0,11.582,,
grove_drive,39,Grove Drive_Cam4_20251219_075418_900_B.jpeg,,695.644,690.938,690.0,12.037,,
grove_drive,40,Grove Drive_Cam4_20251219_075421_903_B.jpeg,,708.413,702.028,702.0,12.118,,
grove_drive,41,Grove Drive_Cam4_20251219_075426_107_B.jpeg,,717.984,713.199,714.0,13.415,,
grove_drive,42,Grove Drive_Cam4_20251219_075429_111_B.jpeg,,725.583,721.783,722.0,13.363,,
grove_drive,43,Grove Drive_Cam4_20251219_075431_512_B.jpeg,,736.79,731.186,732.0,11.976,,
grove_drive,44,Grove Drive_Cam4_20251219_075435_116_B.jpeg,,764.539,750.664,750.0,12.758,1.016,1.0
grove_drive,45,Grove Drive_Cam4_20251219_075444_724_B.jpeg,,786.023,775.281,776.0,12.123,1.562,1.0
grove_drive,46,Grove Drive_Cam4_20251219_075453_138_B.jpeg,,796.825,791.424,792.0,12.223,,
grove_drive,47,Grove Drive_Cam4_20251219_075500_346_B.jpeg,,894.603,845.714,846.0,13.018,,
