path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
highgate_crescent,1,Highgate Crescent_Cam4_20251121_122035_756_B.jpeg,,11.034,5.517,,,,
highgate_crescent,2,Highgate Crescent_Cam4_20251121_122041_764_B.jpeg,,20.415,15.724,,,,
highgate_crescent,3,Highgate Crescent_Cam4_20251121_122045_368_B.jpeg,,48.348,34.382,34.0,38.022,-3.331,1.0
highgate_crescent,4,Highgate Crescent_Cam4_20251121_122058_585_B.jpeg,,60.179,54.264,54.0,38.328,,
highgate_crescent,5,Highgate Crescent_Cam4_20251121_122100_988_B.jpeg,,68.871,64.525,64.0,38.722,1.354,1.0
highgate_crescent,6,Highgate Crescent_Cam4_20251121_122103_991_B.jpeg,,79.508,74.19,74.0,39.543,,
highgate_crescent,7,Highgate Crescent_Cam4_20251121_122107_594_B.jpeg,,102.064,90.786,90.0,41.317,,
highgate_crescent,8,Highgate Crescent_Cam4_20251121_122114_207_B.jpeg,,113.214,107.639,108.0,39.943,,
highgate_crescent,9,Highgate Crescent_Cam4_20251121_122117_810_B.jpeg,,125.905,119.559,120.0,40.219,,
highgate_crescent,10,Highgate Crescent_Cam4_20251121_122122_013_B.jpeg,,131.961,128.933,128.0,40.485,,
highgate_crescent,11,Highgate Crescent_Cam4_20251121_122123_217_B.jpeg,,143.2,137.581,138.0,40.989,,
highgate_crescent,12,Highgate Crescent_Cam4_20251121_122128_024_B.jpeg,,151.732,147.466,148.0,41.347,3.75,1.0
highgate_crescent,13,Highgate Crescent_Cam4_20251121_122130_426_B.jpeg,,162.817,157.275,158.0,41.547,1.25,1.0
highgate_crescent,14,Highgate Crescent_Cam4_20251121_122134_631_B.jpeg,,173.436,168.127,168.0,41.991,,
highgate_crescent,15,Highgate Crescent_Cam4_20251121_122138_234_B.jpeg,,185.427,179.432,180.0,42.282,,
highgate_crescent,16,Highgate Crescent_Cam4_20251121_122144_242_B.jpeg,,194.565,189.996,190.0,42.26,1.875,1.0
highgate_crescent,17,Highgate Crescent_Cam4_20251121_122149_047_B.jpeg,,225.254,209.909,210.0,42.56,-0.625,1.0
highgate_crescent,18,Highgate Crescent_Cam4_20251121_122158_657_B.jpeg,,231.287,228.271,228.0,42.01,-4.062,1.0
highgate_crescent,19,Highgate Crescent_Cam4_20251121_122200_458_B.jpeg,,242.06,236.673,236.0,41.66,-4.063,1.0
highgate_crescent,20,Highgate Crescent_Cam4_20251121_122203_463_B.jpeg,,268.663,255.361,256.0,41.315,,
highgate_crescent,21,Highgate Crescent_Cam4_20251121_122210_069_B.jpeg,,277.612,273.137,274.0,41.256,-0.312,1.0
highgate_crescent,22,Highgate Crescent_Cam4_20251121_122213_072_B.jpeg,,308.375,292.993,292.0,40.389,-8.646,1.0
highgate_crescent,23,Highgate Crescent_Cam4_20251121_122222_079_B.jpeg,,319.886,314.13,314.0,39.339,-3.021,1.0
highgate_crescent,24,Highgate Crescent_Cam4_20251121_122226_284_B.jpeg,,330.1,324.993,324.0,38.956,-4.375,1.0
highgate_crescent,25,Highgate Crescent_Cam4_20251121_122228_687_B.jpeg,,337.668,333.884,334.0,38.656,,
highgate_crescent,26,Highgate Crescent_Cam4_20251121_122230_489_B.jpeg,,348.456,343.062,344.0,38.622,-0.938,1.0
highgate_crescent,27,Highgate Crescent_Cam4_20251121_122232_891_B.jpeg,,357.959,353.207,354.0,38.414,-1.402,1.0
highgate_crescent,28,Highgate Crescent_Cam4_20251121_122235_293_B.jpeg,,369.725,363.842,364.0,38.622,2.917,1.0
highgate_crescent,29,Highgate Crescent_Cam4_20251121_122239_497_B.jpeg,,394.748,382.237,382.0,39.072,3.333,1.0
highgate_crescent,30,Highgate Crescent_Cam4_20251121_122250_304_B.jpeg,,406.657,400.703,400.0,39.322,-1.875,1.0
highgate_crescent,31,Highgate Crescent_Cam4_20251121_122255_108_B.jpeg,,440.353,423.505,424.0,38.817,,
highgate_crescent,32,Highgate Crescent_Cam4_20251121_122304_118_B.jpeg,,449.575,444.964,,,,
highgate_crescent,33,Highgate Crescent_Cam4_20251121_122306_521_B.jpeg,,462.09,455.832,456.0,38.656,3.75,1.0
highgate_crescent,34,Highgate Crescent_Cam4_20251121_122310_124_B.jpeg,,553.073,507.582,508.0,44.027,,
highgate_crescent,35,Highgate Crescent_Cam4_20251121_122348_615_B.jpeg,,619.388,586.23,586.0,45.575,,
highgate_crescent,36,Highgate Crescent_Cam4_20251121_122416_060_B.jpeg,,631.313,625.351,626.0,40.635,-2.083,1.0
highgate_crescent,37,Highgate Crescent_Cam4_20251121_122419_063_B.jpeg,,638.698,635.006,636.0,40.369,,
highgate_crescent,38,Highgate Crescent_Cam4_20251121_122420_864_B.jpeg,,760.037,699.367,700.0,38.693,,
highgate_crescent,39,Highgate Crescent_Cam4_20251121_122507_116_B.jpeg,,874.159,817.098,818.0,38.417,,
highgate_crescent,40,Highgate Crescent_Cam4_20251216_074711_818_A.jpeg,,953.943,914.051,,,,
