path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
holland_hill,1,Holland Hill_Cam4_20251218_071920_331_C.jpeg,,10.402,5.201,6.0,35.457,,
holland_hill,2,Holland Hill_Cam4_20251218_071934_146_C.jpeg,,22.208,16.305,16.0,32.777,,
holland_hill,3,Holland Hill_Cam4_20251218_071942_555_C.jpeg,,47.036,34.622,34.0,26.494,,
holland_hill,4,Holland Hill_Cam4_20251218_071952_039_C.jpeg,,54.901,50.968,50.0,24.628,,
holland_hill,5,Holland Hill_Cam4_20251218_071955_643_C.jpeg,,64.589,59.745,60.0,24.647,,
holland_hill,6,Holland Hill_Cam4_20251218_071959_719_C.jpeg,,93.794,79.191,80.0,25.279,4.07,1.0
holland_hill,7,Holland Hill_Cam4_20251218_072009_329_C.jpeg,,104.94,99.367,100.0,26.08,,
holland_hill,8,Holland Hill_Cam4_20251218_072016_405_C.jpeg,,110.438,107.689,108.0,26.435,,
holland_hill,9,Holland Hill_Cam4_20251218_072022_289_C.jpeg,,123.126,116.782,116.0,26.986,,
holland_hill,10,Holland Hill_Cam4_20251218_072027_094_C.jpeg,,133.485,128.306,128.0,25.464,,
holland_hill,11,Holland Hill_Cam4_20251218_072031_906_C.jpeg,,156.032,144.759,144.0,23.947,,
holland_hill,12,Holland Hill_Cam4_20251218_072116_836_C.jpeg,,167.218,161.625,162.0,23.961,,
holland_hill,13,Holland Hill_Cam4_20251218_072202_002_C.jpeg,,178.525,172.871,172.0,25.325,,
holland_hill,14,Holland Hill_Cam4_20251218_072207_408_C.jpeg,,200.785,189.655,190.0,26.674,,
holland_hill,15,Holland Hill_Cam4_20251218_072216_417_C.jpeg,,212.773,206.779,206.0,30.988,,
holland_hill,16,Holland Hill_Cam4_20251218_072221_830_C.jpeg,,224.525,218.649,218.0,34.332,,
holland_hill,17,Holland Hill_Cam4_20251218_072227_235_C.jpeg,,269.404,246.965,246.0,33.128,,
holland_hill,18,Holland Hill_Cam4_20251218_072249_811_C.jpeg,,281.186,275.295,276.0,35.685,,
holland_hill,19,Holland Hill_Cam4_20251218_072258_219_C.jpeg,,290.318,285.752,286.0,36.428,7.5,1.0
holland_hill,20,Holland Hill_Cam4_20251218_072304_225_C.jpeg,,314.963,302.641,302.0,36.81,,
holland_hill,21,Holland Hill_Cam4_20251218_072322_750_C.jpeg,,322.498,318.731,318.0,36.328,-0.625,1.0
holland_hill,22,Holland Hill_Cam4_20251218_072326_955_C.jpeg,,333.505,328.001,328.0,36.378,0.0,1.0
holland_hill,23,Holland Hill_Cam4_20251218_072337_167_C.jpeg,,342.111,337.808,338.0,36.328,-0.625,1.0
holland_hill,24,Holland Hill_Cam4_20251218_072344_375_C.jpeg,,352.745,347.428,348.0,36.178,-1.667,1.0
holland_hill,25,Holland Hill_Cam4_20251218_072426_307_C.jpeg,,363.719,358.232,358.0,35.878,-5.625,1.0
holland_hill,26,Holland Hill_Cam4_20251218_072433_401_C.jpeg,,374.904,369.312,370.0,35.028,-7.5,1.0
holland_hill,27,Holland Hill_Cam4_20251218_072437_605_C.jpeg,,400.563,387.733,388.0,33.678,-7.5,1.0
holland_hill,28,Holland Hill_Cam4_20251218_072443_011_C.jpeg,,412.52,406.541,406.0,32.478,-6.25,1.0
holland_hill,29,Holland Hill_Cam4_20251218_072445_414_C.jpeg,,469.603,441.061,442.0,34.466,,
holland_hill,30,Holland Hill_Cam4_20251218_072456_228_C.jpeg,,513.457,491.53,492.0,26.301,,
holland_hill,31,Holland Hill_Cam4_20251218_072514_731_C.jpeg,,523.49,518.473,518.0,24.304,,
holland_hill,32,Holland Hill_Cam4_20251218_072520_136_C.jpeg,,535.349,529.42,530.0,23.429,,
holland_hill,33,Holland Hill_Cam4_20251218_072524_948_C.jpeg,,546.519,540.934,540.0,22.699,,
holland_hill,34,Holland Hill_Cam4_20251218_072529_152_C.jpeg,,570.162,558.34,558.0,23.413,,
holland_hill,35,Holland Hill_Cam4_20251218_072615_888_C.jpeg,,581.857,576.01,576.0,23.318,,
holland_hill,36,Holland Hill_Cam4_20251218_072620_092_C.jpeg,,592.278,587.068,588.0,23.466,,
holland_hill,37,Holland Hill_Cam4_20251218_072624_296_C.jpeg,,614.543,603.41,604.0,20.836,,
