path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
holland_link,1,Holland Link_Cam4_20251217_074556_361_A.jpeg,,10.825,5.412,6.0,26.022,9.068,2.0
holland_link,2,Holland Link_Cam4_20251217_074600_888_A.jpeg,,23.156,16.99,16.0,26.04,,
holland_link,3,Holland Link_Cam4_20251217_074606_397_A.jpeg,,34.366,28.761,28.0,25.553,,
holland_link,4,Holland Link_Cam4_20251217_074610_902_A.jpeg,,59.149,46.758,46.0,24.403,,
holland_link,5,Holland Link_Cam4_20251217_074619_927_A.jpeg,,69.855,64.502,64.0,23.332,,
holland_link,6,Holland Link_Cam4_20251217_074622_938_A.jpeg,,80.509,75.182,76.0,22.99,,
holland_link,7,Holland Link_Cam4_20251217_074625_954_A.jpeg,,87.369,83.939,84.0,22.67,,
holland_link,8,Holland Link_Cam4_20251217_074627_955_A.jpeg,,114.516,100.943,100.0,21.715,-6.484,1.0
holland_link,9,Holland Link_Cam4_20251217_074635_974_A.jpeg,,124.921,119.719,120.0,20.278,,
holland_link,10,Holland Link_Cam4_20251217_074640_997_A.jpeg,,135.891,130.406,130.0,20.108,,
holland_link,11,Holland Link_Cam4_20251217_074649_037_A.jpeg,,146.942,141.416,142.0,20.567,,
holland_link,12,Holland Link_Cam4_20251217_074749_697_A.jpeg,,170.434,158.688,158.0,19.368,,
holland_link,13,Holland Link_Cam4_20251217_074757_707_A.jpeg,,180.73,175.582,176.0,17.609,,
holland_link,14,Holland Link_Cam4_20251217_074800_219_A.jpeg,,192.8,186.765,186.0,17.723,,
holland_link,15,Holland Link_Cam4_20251217_074803_223_A.jpeg,,203.2,198.0,198.0,15.859,,
holland_link,16,Holland Link_Cam4_20251217_074805_736_A.jpeg,,213.949,208.574,208.0,15.11,-5.0,1.0
holland_link,17,Holland Link_Cam4_20251217_074808_238_A.jpeg,,236.137,225.043,226.0,14.235,-4.687,1.0
holland_link,18,Holland Link_Cam4_20251217_074813_248_A.jpeg,,247.207,241.672,242.0,13.46,-5.0,1.0
holland_link,19,Holland Link_Cam4_20251217_074815_757_A.jpeg,,256.132,251.669,252.0,12.96,-5.0,1.0
holland_link,20,Holland Link_Cam4_20251217_074817_772_A.jpeg,,269.959,263.046,264.0,12.385,-5.625,1.0
holland_link,21,Holland Link_Cam4_20251217_074821_300_A.jpeg,,294.691,282.325,282.0,11.835,,
holland_link,22,Holland Link_Cam4_20251217_075222_749_A.jpeg,,306.288,300.49,300.0,11.335,2.656,1.0
holland_link,23,Holland Link_Cam4_20251217_075227_755_A.jpeg,,317.311,311.8,312.0,11.91,5.0,1.0
holland_link,24,Holland Link_Cam4_20251217_075232_277_A.jpeg,,339.021,328.166,328.0,12.76,3.75,1.0
holland_link,25,Holland Link_Cam4_20251217_075241_865_A.jpeg,,350.167,344.594,344.0,13.535,4.375,1.0
holland_link,26,Holland Link_Cam4_20251217_075245_872_A.jpeg,,361.528,355.848,356.0,14.11,5.0,1.0
holland_link,27,Holland Link_Cam4_20251217_075250_396_A.jpeg,,373.034,367.281,368.0,14.71,5.0,1.0
holland_link,28,Holland Link_Cam4_20251217_075254_917_A.jpeg,,383.426,378.23,378.0,15.185,5.0,1.0
holland_link,29,Holland Link_Cam4_20251217_075258_939_A.jpeg,,405.763,394.595,394.0,16.398,,
holland_link,30,Holland Link_Cam4_20251217_075307_963_A.jpeg,,417.017,411.39,412.0,17.051,,
holland_link,31,Holland Link_Cam4_20251217_075312_973_A.jpeg,,427.783,422.4,422.0,19.582,,
holland_link,32,Holland Link_Cam4_20251217_075317_481_A.jpeg,,438.866,433.324,434.0,21.127,,
holland_link,33,Holland Link_Cam4_20251217_075322_016_A.jpeg,,460.7,449.783,450.0,21.292,,
holland_link,34,Holland Link_Cam4_20251217_075330_074_A.jpeg,,472.591,466.645,466.0,21.334,6.414,1.0
holland_link,35,Holland Link_Cam4_20251217_075334_094_A.jpeg,,483.336,477.964,478.0,21.93,,
holland_link,36,Holland Link_Cam4_20251217_075338_598_A.jpeg,,494.797,489.066,490.0,22.324,1.667,1.0
holland_link,37,Holland Link_Cam4_20251217_075343_121_A.jpeg,,505.021,499.909,500.0,22.674,3.542,1.0
holland_link,38,Holland Link_Cam4_20251217_075437_883_A.jpeg,,528.438,516.73,516.0,23.09,2.292,1.0
holland_link,39,Holland Link_Cam4_20251217_075449_403_A.jpeg,,539.654,534.046,534.0,23.757,4.896,1.0
holland_link,40,Holland Link_Cam4_20251217_075454_930_A.jpeg,,550.907,545.281,546.0,24.768,,
holland_link,41,Holland Link_Cam4_20251217_075500_461_A.jpeg,,557.099,554.003,554.0,24.768,,
holland_link,42,Holland Link_Cam4_20251217_075503_466_A.jpeg,,587.229,572.164,572.0,25.317,,
