path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
holland_rise,Holland Rise,0.0,23440.072,32870.024,24.298,25.048,25.048,,,HOLLAND RISE,10.721
holland_rise,Holland Rise,2.0,23438.682,32868.586,25.048,25.048,25.173,,,HOLLAND RISE,10.003
holland_rise,Holland Rise,4.0,23437.292,32867.149,25.298,25.298,25.298,,,HOLLAND RISE,9.284
holland_rise,Holland Rise,6.0,23435.901,32865.711,25.248,25.592,25.592,,,HOLLAND RISE,8.565
holland_rise,Holland Rise,8.0,23434.511,32864.273,26.76,25.885,25.885,9.844,2.0,HOLLAND RISE,7.847
holland_rise,Holland Rise,10.0,23433.12,32862.836,32.273,26.085,26.048,,,HOLLAND RISE,7.128
holland_rise,Holland Rise,12.0,23431.73,32861.398,32.023,26.285,26.085,,,HOLLAND RISE,6.41
holland_rise,Holland Rise,14.0,23430.34,32859.96,26.048,26.048,26.123,,,HOLLAND RISE,5.691
holland_rise,Holland Rise,16.0,23429.196,32858.321,26.123,26.123,26.198,1.719,1.0,HOLLAND RISE,5.279
holland_rise,Holland Rise,18.0,23428.065,32856.672,26.198,26.198,26.198,3.125,1.0,HOLLAND RISE,4.882
holland_rise,Holland Rise,20.0,23426.934,32855.022,26.223,26.223,26.223,5.313,1.0,HOLLAND RISE,4.485
holland_rise,Holland Rise,22.0,23425.803,32853.372,26.373,26.373,26.373,6.562,1.0,HOLLAND RISE,4.088
holland_rise,Holland Rise,24.0,23424.673,32851.723,26.623,26.623,26.623,6.25,1.0,HOLLAND RISE,3.691
holland_rise,Holland Rise,26.0,23423.542,32850.073,26.723,26.723,26.723,5.938,1.0,HOLLAND RISE,3.294
holland_rise,Holland Rise,28.0,23422.411,32848.424,26.723,26.723,26.723,4.062,1.0,HOLLAND RISE,2.897
holland_rise,Holland Rise,30.0,23421.28,32846.774,26.848,26.848,26.848,4.375,1.0,HOLLAND RISE,2.501
holland_rise,Holland Rise,32.0,23420.149,32845.125,26.948,26.948,26.948,5.0,1.0,HOLLAND RISE,2.104
holland_rise,Holland Rise,34.0,23419.018,32843.475,27.073,27.073,27.073,4.062,1.0,HOLLAND RISE,1.707
holland_rise,Holland Rise,36.0,23417.887,32841.825,27.123,27.123,27.123,3.438,1.0,HOLLAND RISE,1.75
holland_rise,Holland Rise,38.0,23416.425,32840.586,27.173,27.173,27.173,2.5,1.0,HOLLAND RISE,1.771
holland_rise,Holland Rise,40.0,23414.574,32839.83,27.223,27.223,27.223,2.188,1.0,HOLLAND RISE,1.172
holland_rise,Holland Rise,42.0,23412.722,32839.074,27.273,27.273,27.273,1.875,1.0,HOLLAND RISE,0.903
holland_rise,Holland Rise,44.0,23410.871,32838.318,27.298,27.298,27.298,1.875,1.0,HOLLAND RISE,1.169
holland_rise,Holland Rise,46.0,23409.016,32837.573,27.323,27.323,27.323,1.562,1.0,HOLLAND RISE,1.424
holland_rise,Holland Rise,48.0,23407.026,32837.372,27.373,27.373,27.373,2.188,1.0,HOLLAND RISE,1.117
holland_rise,Holland Rise,50.0,23405.036,32837.172,27.398,27.398,27.398,2.5,1.0,HOLLAND RISE,0.811
holland_rise,Holland Rise,52.0,23403.046,32836.972,27.473,27.473,27.473,3.125,1.0,HOLLAND RISE,0.504
holland_rise,Holland Rise,54.0,23401.056,32836.772,27.523,27.523,27.523,3.437,1.0,HOLLAND RISE,0.197
holland_rise,Holland Rise,56.0,23399.066,32836.571,27.623,27.623,27.623,3.125,1.0,HOLLAND RISE,0.11
holland_rise,Holland Rise,58.0,23397.077,32836.371,27.673,27.673,27.673,3.125,1.0,HOLLAND RISE,0.416
holland_rise,Holland Rise,60.0,23395.087,32836.167,27.723,27.723,27.723,2.813,1.0,HOLLAND RISE,0.719
holland_rise,Holland Rise,62.0,23393.148,32835.677,27.773,27.773,27.773,3.125,1.0,HOLLAND RISE,0.732
holland_rise,Holland Rise,64.0,23391.209,32835.187,27.848,27.848,27.848,3.125,1.0,HOLLAND RISE,0.746
holland_rise,Holland Rise,66.0,23389.27,32834.697,27.923,27.923,27.923,3.125,1.0,HOLLAND RISE,0.759
holland_rise,Holland Rise,68.0,23387.331,32834.207,27.973,27.973,27.973,2.813,1.0,HOLLAND RISE,0.773
holland_rise,Holland Rise,70.0,23385.392,32833.717,28.023,28.023,28.023,3.125,1.0,HOLLAND RISE,0.786
holland_rise,Holland Rise,72.0,23383.453,32833.227,28.073,28.073,28.073,,,HOLLAND RISE,0.8
holland_rise,Holland Rise,74.0,23381.514,32832.737,28.173,28.173,28.173,,,HOLLAND RISE,0.813
holland_rise,Holland Rise,76.0,23379.575,32832.246,28.223,28.467,28.467,,,HOLLAND RISE,0.827
holland_rise,Holland Rise,78.0,23377.636,32831.756,28.323,28.761,28.761,,,HOLLAND RISE,0.84
holland_rise,Holland Rise,80.0,23375.697,32831.266,28.398,28.794,28.794,,,HOLLAND RISE,0.854
holland_rise,Holland Rise,82.0,23373.758,32830.776,33.514,28.828,28.828,,,HOLLAND RISE,0.867
holland_rise,Holland Rise,84.0,23371.911,32830.078,30.797,28.861,28.861,,,HOLLAND RISE,0.656
holland_rise,Holland Rise,86.0,23370.247,32828.968,30.288,28.895,28.895,,,HOLLAND RISE,0.0
holland_rise,Holland Rise,88.0,23368.583,32827.859,31.944,28.929,28.929,,,HOLLAND RISE,0.655
holland_rise,Holland Rise,90.0,23366.919,32826.749,34.209,28.962,28.962,,,HOLLAND RISE,1.31
holland_rise,Holland Rise,92.0,23365.163,32825.864,33.619,28.996,28.996,,,HOLLAND RISE,1.725
