path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
jalan_bingka,Jalan Bingka,0.0,22093.458,35901.501,21.283,17.654,17.654,,,JALAN BINGKA,2.245
jalan_bingka,Jalan Bingka,2.0,22092.387,35899.812,21.793,17.654,17.654,,,JALAN BINGKA,2.555
jalan_bingka,Jalan Bingka,4.0,22091.315,35898.123,21.798,17.654,17.654,,,JALAN BINGKA,2.865
jalan_bingka,Jalan Bingka,6.0,22090.244,35896.434,19.868,17.654,17.654,,,JALAN BINGKA,3.175
jalan_bingka,Jalan Bingka,8.0,22089.173,35894.745,17.654,17.654,17.654,,,JALAN BINGKA,3.485
jalan_bingka,Jalan Bingka,10.0,22088.102,35893.056,18.083,17.621,17.621,,,JALAN BINGKA,3.795
jalan_bingka,Jalan Bingka,12.0,22087.031,35891.367,17.988,17.587,17.587,-1.397,1.0,JALAN BINGKA,4.105
jalan_bingka,Jalan Bingka,14.0,22085.873,35889.763,17.553,17.553,17.553,,,JALAN BINGKA,4.294
jalan_bingka,Jalan Bingka,16.0,22084.208,35888.655,17.543,17.543,17.543,,,JALAN BINGKA,3.775
jalan_bingka,Jalan Bingka,18.0,22082.543,35887.547,17.463,17.463,17.463,-3.627,1.0,JALAN BINGKA,3.255
jalan_bingka,Jalan Bingka,20.0,22080.878,35886.439,17.375,17.375,17.375,-3.971,1.0,JALAN BINGKA,2.736
jalan_bingka,Jalan Bingka,22.0,22079.452,35885.058,17.263,17.263,17.263,-3.437,1.0,JALAN BINGKA,2.576
jalan_bingka,Jalan Bingka,24.0,22078.135,35883.553,17.225,17.225,17.225,-2.656,1.0,JALAN BINGKA,2.58
jalan_bingka,Jalan Bingka,26.0,22076.817,35882.048,17.188,17.188,17.188,-1.406,1.0,JALAN BINGKA,2.583
jalan_bingka,Jalan Bingka,28.0,22075.5,35880.543,17.163,17.163,17.163,-1.484,1.0,JALAN BINGKA,2.587
jalan_bingka,Jalan Bingka,30.0,22074.182,35879.038,17.15,17.15,17.15,-1.25,1.0,JALAN BINGKA,2.59
jalan_bingka,Jalan Bingka,32.0,22072.865,35877.533,17.075,17.075,17.106,-0.938,1.0,JALAN BINGKA,2.594
jalan_bingka,Jalan Bingka,34.0,22071.468,35876.104,17.106,17.106,17.088,-0.547,1.0,JALAN BINGKA,2.488
jalan_bingka,Jalan Bingka,36.0,22070.048,35874.695,17.088,17.088,17.088,2.891,1.0,JALAN BINGKA,2.351
jalan_bingka,Jalan Bingka,38.0,22068.628,35873.287,17.081,17.081,17.106,3.273,1.0,JALAN BINGKA,2.214
jalan_bingka,Jalan Bingka,40.0,22067.208,35871.878,17.338,17.338,17.338,4.148,1.0,JALAN BINGKA,2.076
jalan_bingka,Jalan Bingka,42.0,22065.774,35870.484,17.349,17.349,17.349,4.164,1.0,JALAN BINGKA,2.237
jalan_bingka,Jalan Bingka,44.0,22064.335,35869.095,17.439,17.439,17.419,,,JALAN BINGKA,2.427
jalan_bingka,Jalan Bingka,46.0,22062.896,35867.706,17.419,17.419,17.439,,,JALAN BINGKA,2.618
jalan_bingka,Jalan Bingka,48.0,22061.457,35866.317,17.119,17.515,17.515,,,JALAN BINGKA,2.808
jalan_bingka,Jalan Bingka,50.0,22060.018,35864.928,17.329,17.612,17.612,,,JALAN BINGKA,2.998
jalan_bingka,Jalan Bingka,52.0,22058.724,35863.406,17.708,17.854,17.854,,,JALAN BINGKA,3.382
jalan_bingka,Jalan Bingka,54.0,22057.464,35861.853,17.678,18.147,18.147,,,JALAN BINGKA,3.812
jalan_bingka,Jalan Bingka,56.0,22056.204,35860.3,18.162,18.44,18.44,,,JALAN BINGKA,4.242
jalan_bingka,Jalan Bingka,58.0,22054.943,35858.747,18.141,18.733,18.733,,,JALAN BINGKA,4.672
jalan_bingka,Jalan Bingka,60.0,22053.683,35857.194,19.341,19.027,19.021,,,JALAN BINGKA,5.102
jalan_bingka,Jalan Bingka,62.0,22052.089,35856.025,20.521,19.181,19.021,,,JALAN BINGKA,5.023
jalan_bingka,Jalan Bingka,64.0,22050.376,35854.994,20.436,19.021,19.021,,,JALAN BINGKA,4.762
