path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
jalan_hitam_manis,1,Jalan Hitam Manis_Cam4_20251218_073549_063_C.jpeg,,12.677,6.339,6.0,20.381,,
jalan_hitam_manis,2,Jalan Hitam Manis_Cam4_20251218_073554_363_C.jpeg,,24.113,18.395,18.0,22.352,,
jalan_hitam_manis,3,Jalan Hitam Manis_Cam4_20251218_073558_573_C.jpeg,,50.411,37.262,38.0,23.891,,
jalan_hitam_manis,4,Jalan Hitam Manis_Cam4_20251218_073606_383_C.jpeg,,75.223,62.817,62.0,19.507,,
jalan_hitam_manis,5,Jalan Hitam Manis_Cam4_20251218_073613_590_C.jpeg,,100.004,87.614,88.0,18.528,-1.099,1.0
jalan_hitam_manis,6,Jalan Hitam Manis_Cam4_20251218_073621_399_C.jpeg,,109.939,104.972,104.0,18.996,,
jalan_hitam_manis,7,Jalan Hitam Manis_Cam4_20251218_073732_766_C.jpeg,,134.604,122.272,122.0,17.192,-3.437,1.0
jalan_hitam_manis,8,Jalan Hitam Manis_Cam4_20251218_073740_575_C.jpeg,,146.916,140.76,140.0,16.467,-9.323,2.0
jalan_hitam_manis,9,Jalan Hitam Manis_Cam4_20251218_073744_179_C.jpeg,,157.765,152.341,152.0,15.809,-3.125,1.0
jalan_hitam_manis,10,Jalan Hitam Manis_Cam4_20251218_073747_183_C.jpeg,,164.232,160.998,160.0,15.292,,
jalan_hitam_manis,11,Jalan Hitam Manis_Cam4_20251218_073748_986_C.jpeg,,174.849,169.54,170.0,14.892,,
jalan_hitam_manis,12,Jalan Hitam Manis_Cam4_20251218_073751_989_C.jpeg,,203.103,188.976,188.0,14.092,-3.125,1.0
jalan_hitam_manis,13,Jalan Hitam Manis_Cam4_20251218_073759_804_C.jpeg,,228.307,215.705,216.0,13.442,-2.187,1.0
jalan_hitam_manis,14,Jalan Hitam Manis_Cam4_20251218_073806_412_C.jpeg,,237.045,232.676,232.0,13.861,,
jalan_hitam_manis,15,Jalan Hitam Manis_Cam4_20251218_073808_814_C.jpeg,,247.445,242.245,242.0,13.799,,
jalan_hitam_manis,16,Jalan Hitam Manis_Cam4_20251218_073811_818_C.jpeg,,257.202,252.324,252.0,13.242,,
jalan_hitam_manis,17,Jalan Hitam Manis_Cam4_20251218_073814_821_C.jpeg,,281.717,269.46,270.0,12.897,-4.0,1.0
jalan_hitam_manis,18,Jalan Hitam Manis_Cam4_20251218_073828_034_C.jpeg,,294.652,288.185,288.0,12.497,-3.125,1.0
jalan_hitam_manis,19,Jalan Hitam Manis_Cam4_20251218_073832_840_C.jpeg,,301.726,298.189,298.0,12.097,-4.375,1.0
jalan_hitam_manis,20,Jalan Hitam Manis_Cam4_20251218_073835_242_C.jpeg,,310.388,306.057,306.0,11.722,-3.75,1.0
jalan_hitam_manis,21,Jalan Hitam Manis_Cam4_20251218_073838_246_C.jpeg,,320.473,315.43,316.0,11.447,-3.125,1.0
jalan_hitam_manis,22,Jalan Hitam Manis_Cam4_20251218_073842_452_C.jpeg,,346.28,333.376,334.0,10.697,-3.75,1.0
jalan_hitam_manis,23,Jalan Hitam Manis_Cam4_20251218_073850_865_C.jpeg,,359.082,352.681,352.0,10.447,0.625,1.0
jalan_hitam_manis,24,Jalan Hitam Manis_Cam4_20251218_073854_469_C.jpeg,,366.572,362.827,362.0,10.497,1.042,1.0
jalan_hitam_manis,25,Jalan Hitam Manis_Cam4_20251218_073856_874_C.jpeg,,377.899,372.235,372.0,10.581,,
jalan_hitam_manis,26,Jalan Hitam Manis_Cam4_20251218_073900_478_C.jpeg,,423.614,400.757,400.0,11.088,9.037,2.0
jalan_hitam_manis,27,Jalan Hitam Manis_Cam4_20251218_073916_332_C.jpeg,,429.972,426.793,426.0,11.461,,
jalan_hitam_manis,28,Jalan Hitam Manis_Cam4_20251218_073918_734_C.jpeg,,440.443,435.208,436.0,11.694,,
jalan_hitam_manis,29,Jalan Hitam Manis_Cam4_20251218_073923_539_C.jpeg,,452.182,446.313,446.0,12.178,5.964,1.0
jalan_hitam_manis,30,Jalan Hitam Manis_Cam4_20251218_073928_344_C.jpeg,,461.616,456.899,456.0,12.223,-1.771,1.0
jalan_hitam_manis,31,Jalan Hitam Manis_Cam4_20251218_073931_948_C.jpeg,,469.45,465.533,466.0,12.259,,
jalan_hitam_manis,32,Jalan Hitam Manis_Cam4_20251218_073934_834_C.jpeg,,480.767,475.109,476.0,12.545,,
jalan_hitam_manis,33,Jalan Hitam Manis_Cam4_20251218_073939_044_C.jpeg,,508.319,494.543,494.0,14.007,,
jalan_hitam_manis,34,Jalan Hitam Manis_Cam4_20251218_073948_052_C.jpeg,,515.9,512.109,512.0,15.938,,
jalan_hitam_manis,35,Jalan Hitam Manis_Cam4_20251218_073950_455_C.jpeg,,530.487,523.194,524.0,16.096,-2.737,1.0
jalan_hitam_manis,36,Jalan Hitam Manis_Cam4_20251218_074013_879_C.jpeg,,670.101,600.294,600.0,11.956,,
jalan_hitam_manis,37,Jalan Hitam Manis_Cam4_20251218_074100_623_C.jpeg,,700.166,685.133,686.0,10.697,0.0,1.0
jalan_hitam_manis,38,Jalan Hitam Manis_Cam4_20251218_074110_843_C.jpeg,,728.918,714.542,714.0,13.156,,
jalan_hitam_manis,39,Jalan Hitam Manis_Cam4_20251218_074120_453_C.jpeg,,755.739,742.329,742.0,11.647,1.25,1.0
jalan_hitam_manis,40,Jalan Hitam Manis_Cam4_20251218_074130_663_C.jpeg,,767.123,761.431,762.0,12.097,1.875,1.0
