path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
jalan_kampong_chantek,Jalan Kampong Chantek,0.0,22950.624,36461.121,36.236,36.971,36.971,,,JALAN KAMPONG CHANTEK,4.376
jalan_kampong_chantek,Jalan Kampong Chantek,2.0,22949.103,36462.42,36.658,36.971,36.971,,,JALAN KAMPONG CHANTEK,3.908
jalan_kampong_chantek,Jalan Kampong Chantek,4.0,22947.583,36463.719,36.971,36.971,36.971,,,JALAN KAMPONG CHANTEK,3.439
jalan_kampong_chantek,Jalan Kampong Chantek,6.0,22946.062,36465.018,37.121,37.121,37.121,,,JALAN KAMPONG CHANTEK,2.971
jalan_kampong_chantek,Jalan Kampong Chantek,8.0,22944.541,36466.317,37.171,37.171,37.171,8.906,2.0,JALAN KAMPONG CHANTEK,2.502
jalan_kampong_chantek,Jalan Kampong Chantek,10.0,22943.02,36467.616,37.346,37.427,37.427,9.844,2.0,JALAN KAMPONG CHANTEK,2.034
jalan_kampong_chantek,Jalan Kampong Chantek,12.0,22941.659,36469.07,37.684,37.684,37.684,12.109,2.0,JALAN KAMPONG CHANTEK,1.785
jalan_kampong_chantek,Jalan Kampong Chantek,14.0,22940.403,36470.627,37.908,37.908,37.908,,,JALAN KAMPONG CHANTEK,1.682
jalan_kampong_chantek,Jalan Kampong Chantek,16.0,22939.148,36472.184,38.14,38.14,38.14,,,JALAN KAMPONG CHANTEK,1.58
jalan_kampong_chantek,Jalan Kampong Chantek,18.0,22937.893,36473.741,38.371,38.371,38.371,13.261,2.0,JALAN KAMPONG CHANTEK,1.478
jalan_kampong_chantek,Jalan Kampong Chantek,20.0,22936.637,36475.298,38.608,38.67,38.67,13.704,2.0,JALAN KAMPONG CHANTEK,1.376
jalan_kampong_chantek,Jalan Kampong Chantek,22.0,22935.37,36476.844,38.969,38.969,38.969,14.147,2.0,JALAN KAMPONG CHANTEK,1.258
jalan_kampong_chantek,Jalan Kampong Chantek,24.0,22934.065,36478.36,39.236,39.236,39.236,12.073,2.0,JALAN KAMPONG CHANTEK,1.091
jalan_kampong_chantek,Jalan Kampong Chantek,26.0,22932.76,36479.876,39.503,39.503,39.503,10.0,2.0,JALAN KAMPONG CHANTEK,0.925
jalan_kampong_chantek,Jalan Kampong Chantek,28.0,22931.455,36481.391,39.769,39.769,39.769,6.667,1.0,JALAN KAMPONG CHANTEK,0.758
jalan_kampong_chantek,Jalan Kampong Chantek,30.0,22930.15,36482.907,40.036,40.036,39.769,2.708,1.0,JALAN KAMPONG CHANTEK,0.592
jalan_kampong_chantek,Jalan Kampong Chantek,32.0,22930.332,36482.531,39.986,39.986,39.769,-3.958,1.0,JALAN KAMPONG CHANTEK,0.518
jalan_kampong_chantek,Jalan Kampong Chantek,34.0,22931.495,36480.904,39.719,39.719,39.719,-7.396,1.0,JALAN KAMPONG CHANTEK,0.505
jalan_kampong_chantek,Jalan Kampong Chantek,36.0,22932.658,36479.277,39.453,39.453,39.453,-10.758,2.0,JALAN KAMPONG CHANTEK,0.491
jalan_kampong_chantek,Jalan Kampong Chantek,38.0,22933.822,36477.65,39.178,39.178,39.178,-14.121,2.0,JALAN KAMPONG CHANTEK,0.478
