path_key,fid,Image Reference,Road Name,segment_length_m,assigned_chainage_m,profile_chainage_m,elevation_m,gradient_pct,Grade
jalan_keria,1,Jalan Keria_Cam4_20251216_081458_438_C.jpeg,,11.412,5.706,6.0,20.985,,
jalan_keria,2,Jalan Keria_Cam4_20251216_081505_048_C.jpeg,,22.96,17.186,18.0,21.778,,
jalan_keria,3,Jalan Keria_Cam4_20251216_081509_852_C.jpeg,,34.894,28.927,28.0,21.709,,
jalan_keria,4,Jalan Keria_Cam4_20251216_081514_662_C.jpeg,,59.198,47.046,48.0,21.735,1.136,1.0
jalan_keria,5,Jalan Keria_Cam4_20251216_081523_672_C.jpeg,,68.795,63.997,64.0,23.112,,
jalan_keria,6,Jalan Keria_Cam4_20251216_081527_281_C.jpeg,,81.807,75.301,76.0,24.502,,
jalan_keria,7,Jalan Keria_Cam4_20251216_081532_087_C.jpeg,,108.036,94.921,94.0,27.147,,
jalan_keria,8,Jalan Keria_Cam4_20251216_081545_312_C.jpeg,,136.905,122.47,122.0,29.189,,
jalan_keria,9,Jalan Keria_Cam4_20251216_081554_921_C.jpeg,,146.263,141.584,142.0,26.19,,
jalan_keria,10,Jalan Keria_Cam4_20251216_081557_924_C.jpeg,,159.215,152.739,152.0,24.048,,
jalan_keria,11,Jalan Keria_Cam4_20251216_081601_527_C.jpeg,,169.708,164.461,164.0,21.475,,
jalan_keria,12,Jalan Keria_Cam4_20251216_081605_131_C.jpeg,,191.796,180.752,180.0,20.039,,
jalan_keria,13,Jalan Keria_Cam4_20251216_081613_538_C.jpeg,,202.84,197.318,198.0,21.883,,
jalan_keria,14,Jalan Keria_Cam4_20251216_081636_974_C.jpeg,,229.318,216.079,216.0,22.64,,
jalan_keria,15,Jalan Keria_Cam4_20251216_081647_185_C.jpeg,,237.293,233.306,234.0,21.117,,
jalan_keria,16,Jalan Keria_Cam4_20251216_081649_589_C.jpeg,,247.634,242.464,242.0,19.775,,
jalan_keria,17,Jalan Keria_Cam4_20251216_081653_793_C.jpeg,,274.616,261.125,262.0,19.286,-9.375,2.0
jalan_keria,18,Jalan Keria_Cam4_20251216_081702_805_C.jpeg,,285.184,279.9,280.0,17.665,-7.145,1.0
jalan_keria,19,Jalan Keria_Cam4_20251216_081705_814_C.jpeg,,297.081,291.132,292.0,18.541,,
jalan_keria,20,Jalan Keria_Cam4_20251216_081708_818_C.jpeg,,320.057,308.569,308.0,20.343,,
jalan_keria,21,Jalan Keria_Cam4_20251216_081715_424_C.jpeg,,329.168,324.612,324.0,19.027,,
jalan_keria,22,Jalan Keria_Cam4_20251216_081719_028_C.jpeg,,395.513,362.341,362.0,20.201,,
jalan_keria,23,Jalan Keria_Cam4_20251216_082731_894_C.jpeg,,447.756,421.635,422.0,21.825,,
jalan_keria,24,Jalan Keria_Cam4_20251216_082803_745_C.jpeg,,459.149,453.453,454.0,21.21,,
jalan_keria,25,Jalan Keria_Cam4_20251216_082807_953_C.jpeg,,469.553,464.351,464.0,21.751,,
jalan_keria,26,Jalan Keria_Cam4_20251216_082812_758_C.jpeg,,494.457,482.005,482.0,28.235,,
jalan_keria,27,Jalan Keria_Cam4_20251216_082820_568_C.jpeg,,568.475,531.466,532.0,24.496,,
jalan_keria,28,Jalan Keria_Cam4_20251216_082853_596_C.jpeg,,579.282,573.878,574.0,22.329,,
jalan_keria,29,Jalan Keria_Cam4_20251216_082857_202_C.jpeg,,602.585,590.933,590.0,21.356,-11.574,2.0
jalan_keria,30,Jalan Keria_Cam4_20251216_082905_021_C.jpeg,,614.178,608.381,608.0,20.635,,
